combination,model_id,family,n,k,n_columns,aic,bic,adj_r2,rmse,knots,full_action,full_source,sample_id_sha256,status,cache_used,LAD_OOF_RMSE,LAD_OOF_n,LAD_OOF_action,LAD_OOF_source,LAD_OOF_knots,random_OOF_RMSE,random_OOF_n,random_OOF_action,random_OOF_source,random_OOF_knots,year_holdout_RMSE,year_holdout_n,year_holdout_action,year_holdout_source,year_holdout_knots,delta_BIC_best_nonFE,delta_AIC_best_nonFE
E0_all,H01,historical,60437,5,5,255709.30723560823,255754.35401950398,0.012041176185328295,2.0066802029279351,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,2.0072404653146694,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear/cv_lad,none_or_fixed10.8,2.0181376097638002,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear/cv_random,none_or_fixed10.8,2.0116507940743547,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M1_weather_linear/cv_year,none_or_fixed10.8,1253.2787835670169,1451.4846327083651
E0_all,H02,historical,60437,6,6,254975.87890675711,255029.93504743202,0.023974164608259629,1.9945081139761325,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9951358695010932,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq/cv_lad,none_or_fixed10.8,2.003591714679005,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq/cv_random,none_or_fixed10.8,1.9973992174946895,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M2_+gust_sq/cv_year,none_or_fixed10.8,528.85981149505824,718.05630385724362
E0_all,H03,historical,60437,7,7,254961.15989909082,255024.22539654488,0.024227983587395974,1.994232257378596,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9948917073174612,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure/cv_lad,none_or_fixed10.8,2.0039865712114251,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure/cv_random,none_or_fixed10.8,1.9975057328138448,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M3_+gust_x_pressure/cv_year,none_or_fixed10.8,523.15016060791095,703.33729619096266
E0_all,H04,historical,60437,12,12,254547.97409417256,254656.0863755224,0.03095639097139169,1.9872625601397944,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9908757017986281,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio/cv_lad,none_or_fixed10.8,1.9964749233045744,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio/cv_random,none_or_fixed10.8,1.9912894779372521,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M4_+socio/cv_year,none_or_fixed10.8,155.01113958543283,290.15149127269979
E0_all,H05,historical,60437,26,26,254396.15394129584,254630.39721755378,0.03361142793274674,1.9843083749511039,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9886822659446699,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE/cv_lad,none_or_fixed10.8,1.9944528283695551,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE/cv_random,none_or_fixed10.8,1.993984242057619,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#M5_+year_month_FE/cv_year,none_or_fixed10.8,129.32198161681299,138.33133839597576
E0_all,H06,historical,60437,27,27,254307.54753320548,254550.80016624258,0.035043167145484055,1.98282150692244,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A1_gust_cubic,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9871457763390228,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A1_gust_cubic/cv_lad,none_or_fixed10.8,1.9928203169238032,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A1_gust_cubic/cv_random,none_or_fixed10.8,1.993013386507176,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A1_gust_cubic/cv_year,none_or_fixed10.8,49.724930305615999,49.724930305615999
E0_all,H07,historical,60437,25,25,254611.42211229037,254836.65603176918,0.030147108593790883,1.987878330060896,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A2_log_gust,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9923282096865549,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A2_log_gust/cv_lad,none_or_fixed10.8,1.995274652305544,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A2_log_gust/cv_random,none_or_fixed10.8,1.9994635531257663,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A2_log_gust/cv_year,none_or_fixed10.8,335.58079583221115,353.59950939050759
E0_all,H08,historical,60437,26,26,254325.21685659757,254559.46013285551,0.034745047607534163,1.9831441894748176,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A3_hinge_10.8,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9873301293615884,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A3_hinge_10.8/cv_lad,none_or_fixed10.8,1.9926887321544624,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A3_hinge_10.8/cv_random,none_or_fixed10.8,1.9918495829940324,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A3_hinge_10.8/cv_year,none_or_fixed10.8,58.384896918549202,67.394253697711974
E0_all,H09,historical,60437,28,28,254379.40808130524,254631.67007112151,0.033911113755604294,1.9839678331372528,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9882470149577969,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins/cv_lad,none_or_fixed10.8,1.9943305589798348,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins/cv_random,none_or_fixed10.8,1.9917594493299235,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A4_gust_bins/cv_year,none_or_fixed10.8,130.59483518454363,121.58547840538085
E0_all,H10,historical,60437,29,29,254301.58126111107,254562.85260770647,0.035170336059853868,1.9826580265710276,[],DERIVE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather,9822b53edfc840d7c823d220988e6180708fc3f04a4f429e9d971a9b991a1f94,complete,True,1.9871708108838599,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather/cv_lad,none_or_fixed10.8,1.9922000747377624,48324,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather/cv_random,none_or_fixed10.8,1.9933790914257576,60437,REUSE,results/new/20260909183317/results/model_selection/E0_model_comparison.csv#A5_full_quad_weather/cv_year,none_or_fixed10.8,61.777371769509045,43.758658211212605
