k1,k2,sse,lr
8.0,18.0,46038.441146065896,48.761727980863554
8.0,19.0,46004.055966574466,41.396983636745134
8.0,20.0,45975.8782416871,35.35766983870363
8.0,21.0,45946.505906864746,29.058374691405316
8.0,22.0,45924.25912884485,24.284571074050742
8.0,23.0,45912.67525090055,21.797940041043116
8.0,24.0,45905.33308491517,20.22152313582017
8.0,25.0,45904.84020894642,20.115690018427898
8.0,26.0,45909.905611922484,21.203307845810976
8.0,27.0,45917.903180273985,22.92026118438937
8.0,28.0,45927.4898926067,24.97798494483548
8.0,29.0,45936.742180506095,26.963519468439127
8.0,30.0,45948.79264376119,29.54894093251674
8.0,31.0,45960.94758720693,32.15609177294011
8.0,32.0,45971.92612715114,34.510319686683374
8.0,33.0,45980.72623306037,36.397000320370324
8.0,34.0,45986.35854544754,37.60433886771014
9.0,18.0,45998.84757422605,40.280950958267496
9.0,19.0,45962.583720407616,32.50697831377436
9.0,20.0,45933.449992852664,26.257064133012705
9.0,21.0,45902.64560752588,19.644438986685874
9.0,22.0,45879.643405998664,14.703775430838398
9.0,23.0,45868.35760457734,12.278782102463337
9.0,24.0,45861.5678188729,10.819565440029335
9.0,25.0,45862.19770926946,10.954946485568648
9.0,26.0,45868.753538976656,12.363867087710812
9.0,27.0,45878.324159278745,14.420338138922956
9.0,28.0,45889.49959644451,16.82109867086606
9.0,29.0,45900.25055355135,19.130118676117615
9.0,30.0,45914.074953407704,22.098437828088716
9.0,31.0,45927.94736295778,25.076167162140298
9.0,32.0,45940.42330442983,27.75337488777207
9.0,33.0,45950.394529919395,29.89257382740181
9.0,34.0,45956.818319484715,31.270469900742313
10.0,18.0,45968.949603273104,33.87209222489331
10.0,19.0,45931.49562846077,25.83766215800326
10.0,20.0,45902.11294191317,19.530055265676893
10.0,21.0,45870.482785584594,12.73546782256244
10.0,22.0,45847.32414855034,7.757706192002368
10.0,23.0,45836.9187125572,5.520323195229336
10.0,24.0,45831.21680241342,4.294079680097695
10.0,25.0,45833.44677618841,4.773672374735257
10.0,26.0,45841.90068320178,6.591612834768252
10.0,27.0,45853.37167931665,9.057816519668897
10.0,28.0,45866.392844223505,11.856550773204651
10.0,29.0,45878.849585739634,14.533225849249066
10.0,30.0,45894.57718302875,17.911696795683447
10.0,31.0,45910.23232322357,21.27345353209047
10.0,32.0,45924.21826373997,24.275799946858722
10.0,33.0,45935.34540840062,26.663798780555684
10.0,34.0,45942.5536804207,28.210458818547977
