term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],gust_low,gust_ramp,z_temperature_sq
Intercept,0.13312763463592206,-0.00017606291294245524,0.00045808156131420561,-0.00059065895935460778,0.00035938816626038321,0.00047550840552391716,-0.010296064678369523,-0.059765757823947642,-0.0055594655184820893,0.01738879509617312,-0.0010970628172333034,-0.00097406590040415009,-0.0029961088054633652,-0.0024836655450327411,-0.0023152293643815317,-0.0035849103759420546,-0.0034342582745729806,-0.0039328882793666746,-0.0039673543892775869,-0.0039842533663904684,-0.0040047171991487857,-0.0039374229260908762,-0.0037235928297375594,-0.0033822373229394267,-0.00034930010852024176,-4.5035382374395566e-05,-0.00013510865602611149
z_precipitation_24h_sum,-0.00017606291294245524,0.00015975061976106837,2.209951939509003e-05,8.9225659864549598e-05,1.0672100718503369e-05,-1.6505418138914758e-06,1.7567150511302355e-05,0.00038816276180703992,-7.4318809894591755e-05,-5.482893930440628e-05,2.7557032248697385e-06,-7.8525927048558919e-06,-6.9586537881998674e-05,5.139604254078999e-05,3.2782343469141385e-05,3.9735207881690853e-06,-2.6968330305745154e-05,-7.6475828496245921e-05,-6.5708190809904987e-05,-5.3773796362329239e-05,-3.7716348274888884e-05,-8.7765170008591688e-05,-2.3480894497222991e-05,1.129171657556909e-05,-3.6811331317479862e-06,4.0683105163547866e-06,6.564858150663057e-06
z_temperature_0h,0.00045808156131420561,2.209951939509003e-05,0.00039758253833102771,-6.1584456143164734e-06,2.7380435165060557e-05,-2.7219880492284453e-06,2.762990871844414e-05,0.00023605651082302456,-0.00011206429725987382,-4.9297716654116021e-05,-0.00013243987378569087,-0.00011138718663081292,-0.00020828353341197336,4.7029390321330006e-05,-7.2139594019128328e-05,-0.00011995570085012902,-0.00041674036804646507,-0.00075141661709051061,-0.00078921308019602829,-0.0007788863743152188,-0.00070239718532570791,-0.00052695858708658801,-0.00016873863335551765,-4.2660867498100164e-05,-2.6253341483176904e-05,-9.3492194607288355e-06,-6.1317436565099876e-05
z_pressure_msl_0h,-0.00059065895935460778,8.9225659864549598e-05,-6.1584456143164734e-06,0.00025551899084356897,7.3317830460734644e-06,-5.740840802422316e-06,2.4401269502508061e-05,0.00053870544568213952,-6.4709783406928826e-05,-0.00010665164099373539,-1.4320152914490671e-05,5.3266514333755878e-05,8.2446198255026169e-05,9.6473903805194188e-05,9.9041060076928854e-05,6.6559682469815155e-05,5.1309567178347982e-05,3.0585494285806796e-05,5.5119181181746999e-05,6.9015817287833197e-05,7.9316054219444226e-05,0.00012893184394598738,0.0002516200310116411,0.00012000530777626616,7.2347991699347208e-06,2.7185169596034822e-05,6.5741887813140158e-06
z_gust_pressure,0.00035938816626038321,1.0672100718503369e-05,2.7380435165060557e-05,7.3317830460734644e-06,0.0001572950859564047,3.9485972481338269e-06,1.042279675282735e-07,0.00019193214053326107,-3.7269673648583637e-05,-1.5474304113026473e-05,-4.8744733146258998e-06,-1.8538062728517284e-05,-4.9667833975727938e-05,1.831172504033324e-05,2.4617550269594036e-05,1.1406604064889239e-05,-3.4235067208490082e-05,-2.2688008014730742e-05,-5.5287742692476821e-05,-4.0836453174506073e-05,-7.1121010400313747e-05,-7.1360400491962992e-05,5.188908788740719e-08,-4.3653010665830459e-05,-3.4044802904721565e-05,2.0032099518734203e-05,-9.5940440956179194e-07
urban_binary,0.00047550840552391716,-1.6505418138914758e-06,-2.7219880492284453e-06,-5.740840802422316e-06,3.9485972481338269e-06,0.00043947835294151275,-5.45928467871654e-05,0.0010525697917827741,-0.00022236563223859037,-0.0003181508706527977,-1.2668380829538978e-05,3.4520066431209358e-06,-2.7372134415293611e-05,-6.0924485452913324e-06,-3.4463113048846741e-06,1.0462734088128535e-05,-3.6595560978612512e-05,-2.7372246810893159e-05,-1.1362462551241711e-05,-2.9980569604894133e-05,-3.2392933643277677e-05,-2.5838627960267453e-05,-5.129118267120897e-05,-4.4794172629402836e-06,-1.6134883795767166e-07,-9.764451435144274e-08,-2.4789228362214842e-06
log_population,-0.010296064678369523,1.7567150511302355e-05,2.762990871844414e-05,2.4401269502508061e-05,1.042279675282735e-07,-5.45928467871654e-05,0.0008590634198518283,0.004427776333299523,0.00012589115505271109,-0.0013034293720032473,-7.9919735825494389e-06,-1.3103076213658871e-05,-3.5439318772354688e-05,2.7799681685487724e-05,-7.8846510984530978e-06,4.3885211399276791e-05,-5.1341566537840148e-05,-6.0148563191335887e-05,-5.180791177693357e-05,-6.1971530398859592e-05,-5.8691285152122432e-05,-2.8240827375019534e-05,3.9777687180214758e-05,2.2264223185375474e-05,-2.9773525939624293e-06,4.0102306104371698e-06,-8.1574811945201939e-08
income_deprivation_rate,-0.059765757823947642,0.00038816276180703992,0.00023605651082302456,0.00053870544568213952,0.00019193214053326107,0.0010525697917827741,0.004427776333299523,0.39536059805597518,-0.11336011755283487,-0.0087987398371407888,-0.0004017811683295843,-0.0008396737095221011,-0.00055060189750353249,0.00097589700383705479,0.00080190314372262047,0.0015433132159042798,0.00034614597445110673,-0.00020476016538998536,-0.00010734936375030045,-0.00044581263185453719,-6.4862845114041102e-05,-0.00025325459493968027,0.00052445787942727588,0.00039917424997506682,-5.3335140094481755e-05,7.4190991428309966e-05,9.0817476884589978e-06
deprivation_gap_pct,-0.0055594655184820893,-7.4318809894591755e-05,-0.00011206429725987382,-6.4709783406928826e-05,-3.7269673648583637e-05,-0.00022236563223859037,0.00012589115505271109,-0.11336011755283487,0.07455130377961236,-0.016614874680376777,0.00017325446121976826,0.00015472327819969389,0.00010502775182462751,-0.00014503302789312607,-0.00023167546261834029,-0.00018614727919634218,-9.956998845682634e-05,0.0001559107282133122,0.00022488379904014118,0.00029463249011515849,0.00013956022280337029,0.00021640457738912193,-0.00013301890283860424,3.0277137013713057e-05,9.7233919351576616e-06,-1.5044320544430658e-05,2.1661824979398798e-05
morans_i,0.01738879509617312,-5.482893930440628e-05,-4.9297716654116021e-05,-0.00010665164099373539,-1.5474304113026473e-05,-0.0003181508706527977,-0.0013034293720032473,-0.0087987398371407888,-0.016614874680376777,0.014068472756800449,4.4627302387465007e-05,0.00011735162783296083,4.0896455870079644e-05,-0.00019835337679238046,-1.8146263800263859e-05,-0.00022458190223530051,3.3065511746136159e-05,3.7205732297499963e-05,-2.7172759307007383e-05,-9.6643105624528746e-06,6.1293634203892823e-05,-3.8805016922865594e-05,-0.00024213941941009654,-0.00015689658837266066,1.1537404852716438e-05,-1.0534339458061804e-05,-6.0850100105726678e-06
incident_year[2022],-0.0010970628172333034,2.7557032248697385e-06,-0.00013243987378569087,-1.4320152914490671e-05,-4.8744733146258998e-06,-1.2668380829538978e-05,-7.9919735825494389e-06,-0.0004017811683295843,0.00017325446121976826,4.4627302387465007e-05,0.0012695910062674729,0.00075485012641229898,0.0010517205995119764,-0.00025420191630394083,5.494799474852803e-05,0.00020628178072191569,0.00059264937948461224,0.00062803027341828954,0.00065151555334956709,0.00058152975018266762,0.00056388410248935116,0.0005373044155222201,0.00025167051606283375,0.00026036231561687187,5.6244857738693515e-06,5.6171569154180377e-06,-1.9213881707735916e-05
incident_year[2023],-0.00097406590040415009,-7.8525927048558919e-06,-0.00011138718663081292,5.3266514333755878e-05,-1.8538062728517284e-05,3.4520066431209358e-06,-1.3103076213658871e-05,-0.0008396737095221011,0.00015472327819969389,0.00011735162783296083,0.00075485012641229898,0.0011541972349979246,0.0009787175023368384,0.00016910861784387416,1.4077945632832084e-05,0.00016405548413807227,0.00058971045659983858,0.00042295058980119568,0.00047935083404967034,0.00049177556682565918,0.00043802677781798184,0.00052880723689359833,0.00023425748888721067,0.00018236949349692536,2.56588676407169e-06,1.1062430131520201e-05,1.3320689826741396e-05
