term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],gust_low,gust_ramp,z_temperature_sq
Intercept,0.64688632127391754,-0.00027856504614521931,0.0020273614429276565,-0.0033406130200017946,6.9711560906280702e-05,0.0008320593707089631,-0.050452180675978092,-0.31488026670422897,-0.0068652222240491723,0.08742536701280311,-0.0045064614212737032,-0.0039672817321381101,-0.012440005451973185,-0.013365157434983142,-0.013210557063838356,-0.017800022872689357,-0.017647774716245165,-0.019513590112122621,-0.01841832424865477,-0.018475970844758091,-0.019740521363938075,-0.020318426856957741,-0.018663645229138874,-0.016351292588290569,-0.001436259532605815,-0.00047638864912745871,-0.00077772279150724235
z_precipitation_24h_sum,-0.00027856504614579957,0.0007423479579923729,0.00011777481591490954,0.00035387632854698078,2.3114075199569441e-05,-4.3397282037925923e-05,4.1215420982807578e-05,0.0010214328737036746,-0.00016941821873394346,0.00012715923317108743,2.4924366397163973e-05,1.0009549215106504e-05,-0.00026252602250752071,0.00022791080764121585,-2.0512761486907706e-05,-9.7906259193636424e-05,-0.00012493537265348918,-0.00046576732839286917,-0.0003317250233020588,-0.00034188959461672669,-0.00029433678726049038,-0.00044721875929499113,-0.00010817354833010239,-5.3849953227730492e-05,-1.9907246624180009e-05,1.1242843145417596e-05,2.2384239688823241e-05
z_temperature_0h,0.0020273614429275298,0.00011777481591490984,0.0019119056654987353,-1.5527117086069778e-05,0.00015338438373063072,2.8329074948370541e-05,0.00015685023353171349,0.0017766090072727676,-0.00046530897045715149,-0.00040889192457927489,-0.00063635667513386096,-0.00054623196320924923,-0.0011129968606524944,3.6264228158687192e-05,-0.00036228625390531026,-0.00074407471175718005,-0.0022588096557026854,-0.0037443406487102787,-0.0038829026788120662,-0.0038491840951255154,-0.0034890287062195029,-0.0026766209174256435,-0.00084362963190517297,-0.000405305464444375,-0.00013194180919139608,-3.2593160848969036e-05,-0.00030415111940936056
z_pressure_msl_0h,-0.0033406130200029985,0.00035387632854698073,-1.5527117086070862e-05,0.0011647371738132163,0.00010986027551881989,-5.6285272602196994e-05,0.00017761506104737766,0.0015639734454487471,-1.4516348127366352e-07,-0.00051387267527114007,-3.5844693948925061e-05,0.00024780014253552359,0.00045032311129236191,0.00035802373014463508,0.00027970984991213189,0.00023212935893808019,0.00014341271469718803,4.9895073144717167e-05,0.00016484628826238723,0.00019029602384494767,0.00027974016054797303,0.00059998322446917253,0.0010700853599904972,0.00042352104328106856,3.0234692729648962e-05,0.00012362541871368014,2.4971650649192336e-05
z_gust_pressure,6.9711560906392158e-05,2.311407519957023e-05,0.00015338438373062833,0.00010986027551882585,0.00087678912244203719,4.9808831548501424e-05,0.0001562831161773876,0.0017618757499694103,0.00010879405645376457,-0.00038376335788664411,-4.9814835791839513e-05,-0.00012966966644408932,-0.00026929978153886311,5.7795029757242919e-05,8.7592920555240798e-05,5.7364588267886377e-05,-0.00023962391836501729,-0.0002269957119786308,-0.00032728354060118452,-0.00031990591714790352,-0.00047960630152185961,-0.00040733933421571028,-4.8398420554142841e-05,-0.0002626660835525047,-0.0001814101764227222,0.00010378886101391994,-1.4655950198922692e-05
urban_binary,0.00083205937070880004,-4.3397282037923511e-05,2.8329074948367072e-05,-5.6285272602189188e-05,4.9808831548499473e-05,0.0022355034488427319,-0.00015665639045670942,0.0065530452806124278,-0.0014163550842105875,-0.0020307838718804164,-2.3552180869560574e-05,-1.0248118493739588e-05,-3.9416891463654215e-05,9.389774861426033e-05,-3.8662179117654699e-05,0.00012419884807689165,-0.00016024153921916562,0.00010363059619241267,2.3505162663100057e-06,-3.3676052496992709e-05,-1.4950382884469475e-05,-3.7931299497522431e-05,-2.1222875432331005e-05,0.00017433967826686761,-1.7297040683202027e-06,2.5090672702904061e-05,-1.8056166831811513e-05
log_population,-0.050452180675981645,4.1215420982776353e-05,0.00015685023353178109,0.00017761506104727422,0.00015628311617741817,-0.00015665639045674303,0.0042442679747429109,0.024070196390076112,-0.0011001649826283474,-0.0066442456942810528,-8.9217728261691779e-05,-0.0001016687626980632,-0.00040173651888348737,0.0002503541658844874,0.00011647200654800504,0.00022380838047801285,-0.00016650518853069882,-0.00029733714409667378,-0.00031851360776553975,-0.00036782807241245743,-0.00028628557424621682,-7.083012691539456e-05,0.00017769733046734803,9.8582803602025471e-05,-3.8894567309128857e-05,4.8486458326607606e-05,8.004580025579663e-06
income_deprivation_rate,-0.31488026670422831,0.0010214328737033554,0.0017766090072729585,0.0015639734454481538,0.0017618757499692633,0.0065530452806123879,0.024070196390067869,1.8856105631467104,-0.56624788963195227,-0.035106625972543354,-0.0023267922363860126,-0.0018695274008411963,-0.0045750477301851958,0.0019555584147008817,0.0054797410079057661,0.007823184183712556,0.0034087456084675762,-0.0020087016978555671,-0.0023002820552601722,-0.0033669112809880143,-0.0031877537672258954,-0.0010910994115863014,0.0040102491376247801,0.00059976267632275149,-0.00036249527407142062,0.00028232432103357692,0.00029343969400461977
deprivation_gap_pct,-0.0068652222240518923,-0.00016941821873393131,-0.00046530897045718791,-1.4516348134999135e-07,0.00010879405645385066,-0.0014163550842106135,-0.0011001649826254054,-0.56624788963194694,0.37408856587494776,-0.080442226873795319,0.00074572323867878182,-0.00017362531527167352,0.00065742078261848275,-0.00012565880055453267,-0.0028955364681192107,-0.00045648933277967971,-0.0016665569838165313,0.00074452547168862501,0.0021265737430495105,0.00088979085091510715,0.0014625331023367348,0.0014401973146273353,-0.00016585621022911431,-5.1874671911555296e-05,-2.9131730130784557e-05,8.0254758543053329e-06,2.274825091156768e-05
morans_i,0.087425367012783944,0.00012715923317116766,-0.00040889192457947525,-0.00051387267527083899,-0.0003837633578867856,-0.0020307838718804875,-0.0066442456942793189,-0.035106625972544797,-0.080442226873791517,0.069653083192558002,0.00026949833759949693,0.00069908130093054334,0.00088841439969787085,-0.0016493797802005761,-0.00043401652303162903,-0.0015813144007091997,0.00025600565388095992,-0.00028679447192180713,-0.00022492282052603146,-0.00030031085189141486,0.00013878281463285645,-0.0010395940411312057,-0.0016412889752755611,-0.00067749493804907662,0.00010444539021585019,-0.00019730192691612967,-2.0331558802623483e-05
