term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,gust_hinge_11,z_temperature_sq,z_gust_precip
Intercept,0.14060972000366992,0.0011203784842534093,-0.00022746466411437347,7.1640423954767816e-05,-0.00047875042093796863,0.00052701561973398682,-0.011120326484912239,-0.065198537169435064,-0.0058446060042650263,0.018895216101994194,-0.0010717139923843901,-0.00099763365878743969,-0.0029210136633060625,-0.0028147982492256018,-0.0022846901381512906,-0.0036792944682584416,-0.0029566668419617201,-0.0030251269456232481,-0.0031470829086820383,-0.0030080383054976651,-0.0029552053206942873,-0.0034293060707252842,-0.0036612908640729215,-0.0033993599684042086,4.8673902989413907e-05,-0.00019466333525837047,-0.00027809671023133417,-7.4227003954796349e-05,-0.00014815620534187478
z_gust_0h,0.0011203784842534093,0.0017018932620312612,-1.4165221366044596e-05,-0.00017724178475788142,9.0580600052881586e-05,2.8504657505465596e-06,-1.5030160443303564e-05,6.2937822187664601e-05,-2.1962184322803383e-05,3.3992383537406454e-05,5.1092148425753145e-05,-9.6286914692477492e-07,4.8391257983369264e-05,-1.7623436200484787e-05,0.00014744362457762796,0.00011796495667474279,0.00034067141912045993,0.00062208935944243896,0.00048164375872983061,0.0005976323764815449,0.00062199032916934044,0.00034275167337767499,0.00016144774590884527,0.00012020621219298601,3.1450632101325531e-05,-9.001573454164368e-07,-0.00025979841317374998,2.6157957501649651e-05,5.4364687952225802e-05
z_precipitation_24h_sum,-0.00022746466411437347,-1.4165221366044596e-05,0.00017194983674783992,2.0815615291713745e-05,9.9112195641501638e-05,-1.1317265804199178e-06,1.78528146179497e-05,0.00037499319910028683,-7.5612405808369988e-05,-4.7908618989607173e-05,1.816761374569812e-06,-7.9801380184629794e-06,-6.9813292537192079e-05,4.5762427188789679e-05,3.3326615100358762e-05,7.9891619492279074e-06,-2.8027441377327585e-05,-8.0585012231932496e-05,-6.700806844782253e-05,-5.3361431014651188e-05,-3.5920324641219379e-05,-8.5266986494736356e-05,-1.7201694893669431e-05,1.4352643866832806e-05,7.5590652919727061e-06,1.4502259940514055e-06,5.2498158093068743e-06,7.489684592966111e-06,-1.1123949104579205e-05
z_temperature_0h,7.1640423954767816e-05,-0.00017724178475788142,2.0815615291713745e-05,0.00041785678151711809,-9.6329090353494599e-06,-4.0086121683508234e-06,3.0965360992158189e-05,0.00020011685493636668,-0.00010397313348904371,-5.4469239420983422e-05,-0.00014178832969342938,-0.00011661059266792211,-0.00021500135187049445,4.8272432842629714e-05,-7.5996157780078901e-05,-0.00012739422952685807,-0.00043490264088621755,-0.00079272678080496647,-0.00082656754645142269,-0.0008153939227216714,-0.00073609902457626934,-0.00054466459647523199,-0.00017856664847496021,-4.0149389363117673e-05,-4.3247782939210158e-06,-1.4099706659114471e-06,1.4233963977700126e-05,-6.3218473377853087e-05,-9.3145098865192532e-06
z_pressure_msl_0h,-0.00047875042093796863,9.0580600052881586e-05,9.9112195641501638e-05,-9.6329090353494599e-06,0.00028145584739910803,-7.5522017210986159e-06,2.490846732642829e-05,0.00052776805500532903,-6.8869502729471178e-05,-0.00010484579541811533,-1.8794561161916502e-05,5.9124036575220017e-05,9.9200645251209694e-05,8.5662531764245343e-05,0.00011147072022286332,8.3842433081331947e-05,5.3951893287966267e-05,2.4999833461516446e-05,5.8708086125605895e-05,7.1897923049756644e-05,9.0320528038099793e-05,0.0001450118211231805,0.00027975792762303969,0.00013644665840286259,1.2102467362307179e-05,8.5096144228394882e-06,1.1365566809031828e-05,6.8897994918411203e-06,-6.2745396280255313e-06
urban_binary,0.00052701561973398682,2.8504657505465596e-06,-1.1317265804199178e-06,-4.0086121683508234e-06,-7.5522017210986159e-06,0.0004702179383064951,-6.0432580489501072e-05,0.001059818900019397,-0.00023439539264388719,-0.00033050369964422385,-1.086145502359922e-05,8.4654770913590722e-06,-2.1554453595344161e-05,-1.2341625435158724e-05,-7.7581049712413559e-06,9.2086592475648301e-06,-3.9930030643057887e-05,-3.1685746258831428e-05,-8.7149430575705504e-06,-3.1459995409953911e-05,-2.9924824805392544e-05,-2.92370578431129e-05,-5.2754931037070943e-05,-4.8729196200723036e-06,1.7845911959595343e-06,8.6286311486740525e-06,-1.2331458784950267e-06,-2.3113171196303557e-06,-1.1458285793706576e-05
log_population,-0.011120326484912239,-1.5030160443303564e-05,1.78528146179497e-05,3.0965360992158189e-05,2.490846732642829e-05,-6.0432580489501072e-05,0.0009243899110434776,0.004835299654275451,0.00012822433467561982,-0.0014097489603523425,-7.9184205941954421e-06,-1.5042008897011838e-05,-4.5208527944905334e-05,3.4931764853482159e-05,-6.572337642340584e-06,4.9549096041208883e-05,-5.4350512164735989e-05,-6.2113571944359664e-05,-6.1712217477509886e-05,-6.8587391676298083e-05,-6.287068657532456e-05,-3.0134525010069198e-05,3.9108937271397551e-05,2.9500113139217442e-05,1.3896239561534822e-06,1.7384227354544062e-06,4.9872958200849779e-06,-9.345971228872514e-07,1.3821758476428818e-05
income_deprivation_rate,-0.065198537169435064,6.2937822187664601e-05,0.00037499319910028683,0.00020011685493636668,0.00052776805500532903,0.001059818900019397,0.004835299654275451,0.4236699091940912,-0.12208754576097271,-0.0093377968004124436,-0.00041205368397740434,-0.00083884220807548308,-0.00058637970385915232,0.00094823857187737945,0.00079421945880205947,0.0015363479788798482,0.0002469996732345706,-0.00031269507476820258,-0.00024263065762041437,-0.00053956650213803623,-0.00013660011101815684,-0.00036500077137442135,0.00047241725485403532,0.0003154926044087346,5.8371189273496196e-05,-0.0001284852165122245,2.4863871466502625e-05,1.4954902775368041e-05,6.3647660576417983e-05
deprivation_gap_pct,-0.0058446060042650263,-2.1962184322803383e-05,-7.5612405808369988e-05,-0.00010397313348904371,-6.8869502729471178e-05,-0.00023439539264388719,0.00012822433467561982,-0.12208754576097271,0.080324489950741526,-0.017784379998498159,0.00014257432099857534,0.00011087780335552451,5.2039316476723809e-05,-9.1912648713288609e-05,-0.0002322184388427729,-0.00018173490146910438,-0.00013568535441538249,0.00012791730023829046,0.00023410440113968777,0.00029292385487019346,0.00014047700207412022,0.00022816031531841614,-0.00016550029619274645,6.5322167661532345e-05,6.9085430871921279e-05,4.5829942327706132e-05,-9.4675865733035903e-06,1.4415859000457083e-05,3.2461945198465964e-05
morans_i,0.018895216101994194,3.3992383537406454e-05,-4.7908618989607173e-05,-5.4469239420983422e-05,-0.00010484579541811533,-0.00033050369964422385,-0.0014097489603523425,-0.0093377968004124436,-0.017784379998498159,0.015037043368657545,6.527207662635879e-05,0.00013324369489003097,6.0048918090161768e-05,-0.00025067409997451764,-4.2908002660239945e-05,-0.00023113654028987795,3.9331406788883909e-05,5.648370134542284e-05,-1.0787089660223317e-06,-5.4570764142340572e-06,7.6019035742529709e-05,-4.3004950599601195e-05,-0.00023437076592865895,-0.00018929315809975661,-2.2270205799775481e-05,2.8944298184345208e-06,-9.1301778155815601e-06,-3.6064414230192572e-06,-5.602607692194407e-05
