term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,gust_hinge_11,z_temperature_sq,z_gust_precip
Intercept,0.31205069315254341,0.0019222413706292442,-0.00017765847449381341,0.00060448322007899339,-0.00013487368261549796,-0.00022445967220609611,-0.025075926947260102,-0.17085484760532799,-0.0035772548332820911,0.049669718692544162,-0.00088158515393832633,-0.00067323381617838906,-0.0038110682986453592,-0.0030241408767812429,-0.0034071281838597613,-0.0074240301647449068,-0.0049387817510967089,-0.0052728663938865997,-0.0046232635029023715,-0.0059299017575458711,-0.0049432861358056183,-0.0050687455779719302,-0.0042700001349145859,-0.0042941874158464628,-0.00045369813014462662,-0.00026845735865391185,-0.00046932817593291166,-0.00030649446358892358,-0.0003545299611601336
z_gust_0h,0.0019222413706310934,0.0027797516315063563,3.8216313718823205e-05,-0.00031541126984307478,0.00023592575785369972,-7.2738144142510164e-05,5.1108062523691315e-06,-0.002975116578137503,0.00071987238450144098,-0.00013267101025376616,0.00011319746803011075,2.5641229732586382e-05,-2.2733161217716735e-05,0.00039266345617559786,8.5698501220489963e-05,-9.009483172751475e-05,0.0002330287666617566,0.00069082563493341005,0.00055670354926145834,0.00064349110869955017,0.00075857687006691214,0.0003070201800999441,0.00016062226176735001,-0.00010548825361884114,-1.501073369025805e-06,2.9790449038335728e-05,-0.00046419373916648811,3.6670466186049439e-05,0.00016421112230266197
z_precipitation_24h_sum,-0.00017765847449397083,3.8216313718824019e-05,0.00026740785133992227,1.3552427753255622e-05,0.00016058519973333283,-1.7996670674224865e-06,1.4745951501588276e-05,2.087925544403714e-06,9.7017040392003676e-05,-0.00016538217337216344,-1.2581015713906745e-05,-3.4015180095040123e-05,-0.00010161717136045981,0.00018250965484496924,9.0625217997650416e-05,5.608360800100795e-05,3.7261680904226578e-05,-7.9084294667915926e-05,-2.5938791270076027e-05,-3.2543074343563969e-05,1.9603134418128844e-05,-6.8286871245574685e-05,5.1603222964855563e-05,0.00011710465127307663,1.3700461388861014e-05,1.4547468002553521e-05,-7.3452061079576985e-06,1.3072412759624914e-05,1.5037635764908003e-05
z_temperature_0h,0.00060448322007874478,-0.00031541126984307522,1.3552427753255947e-05,0.00082907739386901044,-2.0096911758108946e-06,2.1527648363946867e-06,3.6626239807430313e-05,0.0019631089324742279,-0.0013216887044593464,0.00031887529716240941,-0.00029773425029209826,-0.0002334709339379741,-0.00040700984796931267,1.9435481085155158e-05,-0.00014387729116758043,-0.00023843199630602856,-0.00086419959692300707,-0.0015778033627903681,-0.001619138069872305,-0.0016060824535259555,-0.001496386881455025,-0.0010759194417571966,-0.00032075093095071351,-0.00013234897749686856,-3.3437377183753589e-05,-7.8984930669043392e-05,2.0965578923512278e-05,-0.00015708362737905954,-1.0629595161901597e-06
z_pressure_msl_0h,-0.00013487368261540694,0.00023592575785369842,0.00016058519973333245,-2.0096911758120872e-06,0.00049691559484791605,-2.7622343016903931e-05,-7.0542328741153267e-06,-0.00097757068996414537,0.00035549514418913323,7.3679219214332231e-06,-6.5509056765856324e-05,9.3446335425977967e-05,0.0002806594501626636,0.00026672269200663049,0.00021859080222898859,0.00022931076661744198,0.00017245803963121401,5.2837691950459193e-05,0.000159278231561599,0.00013514638075448398,0.00017521698921008338,0.00028223087090525488,0.00057492871620745678,0.00034187202782308586,1.4681451330501595e-05,5.809940097687425e-06,-4.2432998968596717e-06,3.3187527115285075e-06,7.7529873866333891e-06
urban_binary,-0.00022445967220607183,-7.273814414252106e-05,-1.7996670674215107e-06,2.1527648363952288e-06,-2.7622343016903944e-05,0.0014159138712419965,-6.1794491343598618e-05,0.0087961957442399558,-0.0012389751554988926,-0.0019968139169419547,-8.4179251863854501e-05,4.6497614821307571e-06,3.5961404174610382e-05,-0.00026042475973296413,0.00014460060927912752,0.00025986573957518665,2.3085304161109873e-05,1.8967276666379202e-05,0.00011928098717400295,3.5514356316692676e-05,1.4406604345647538e-05,4.1308560935717463e-05,3.9016613923781177e-05,0.00017342260882841174,5.6437003217073094e-06,5.7781907569830942e-05,2.136104108742021e-06,-2.0319996132601793e-06,-5.713716095285714e-05
log_population,-0.025075926947254662,5.110806252529485e-06,1.47459515015654e-05,3.6626239807409442e-05,-7.0542328741262229e-06,-6.1794491343584524e-05,0.0021073084444352495,0.012467125721447394,-0.00043002336576027133,-0.0037655818950417461,-4.0856556701560803e-05,-8.0862090958194006e-05,-0.00015857875523005518,1.7848443640369445e-05,-7.5201065794271887e-05,0.00015352430782457864,-0.00013753613251345958,-0.00016086391440797948,-0.00022760759918266974,-0.00011729343422439969,-0.0001787981316136645,-0.0001463465506530544,-0.00011364913920391644,-0.00010429688628929893,3.0113234331086668e-05,-1.4559198704998196e-05,-2.8155878595235713e-06,4.3501716546899238e-06,4.7025459940221059e-05
income_deprivation_rate,-0.1708548476052954,-0.0029751165781383496,2.0879255442857528e-06,0.0019631089324740839,-0.00097757068996416792,0.0087961957442400495,0.012467125721445652,1.0252755354025143,-0.29930074588301925,-0.032005114133276308,-0.0027186203215826509,-0.0034028090448479757,-2.8625996803515602e-05,-0.0065655950954692545,0.0046925349585400788,0.0079529989088590949,0.0022995670254959549,0.00028737682827691818,-0.0012312445436953416,0.00092917497396158635,0.00065223169413881205,0.00094731337735928789,0.0011747651005223209,0.0021816878888287761,0.00017465068992852592,1.218860881780845e-05,0.00053164103202101715,-2.1540285767862512e-05,3.1031495223132624e-05
deprivation_gap_pct,-0.0035772548332803564,0.00071987238450182608,9.7017040391999014e-05,-0.0013216887044593447,0.00035549514418916663,-0.0012389751554988523,-0.00043002336575871658,-0.29930074588301803,0.18615613079477333,-0.036683575359181896,0.00090226469313091015,0.00085812856416253233,-0.00024796085514771152,0.0016263524963311443,-0.0015915370701957525,-0.0021549792703147927,-0.00055623507912770545,0.00087476954020420609,0.0016429910858484463,0.00086983298866925851,0.0009074278037993367,0.00049093800106249016,-0.00059499747140839311,-0.00015806576442472034,0.00019898085294947198,0.00012531882649773486,-0.00015359614938647995,0.0001893764709600728,-1.3312278738749446e-05
morans_i,0.049669718692539333,-0.00013267101025406279,-0.00016538217337213397,0.00031887529716242199,7.3679219214215137e-06,-0.0019968139169419599,-0.0037655818950425319,-0.032005114133276294,-0.036683575359182825,0.036953468969899102,0.00025985536327466558,0.00033247477487310679,0.00046227127013847668,-4.8057428095488533e-05,-0.00011286330737939054,-0.00050377014250993632,5.5079487692370407e-05,-0.00029139184703435433,-0.00062234123000178519,-0.00061775843794739226,-0.00024078078192634952,-0.00036430602776093592,-3.6320175712623547e-05,-0.00031268212098855457,-8.2168994964463009e-05,-0.00013289888114650797,8.2122312597825349e-05,-9.8369342384658012e-05,-0.00014912458349211556
