sample,margin,group,cum_r2,marginal,n
all,E0,Regional + calendar,0.0095941581744981574,0.0095941581744981574,60437
all,E0,Non-gust weather,0.018709622430817974,0.0091154642563198163,60437
all,E0,Gust,0.03357414092499067,0.014864518494172696,60437
all,R0c,Regional + calendar,0.034649325156548949,0.034649325156548949,51173
all,R0c,Non-gust weather,0.040734178508284979,0.0060848533517360304,51173
all,R0c,Gust,0.047755857546113223,0.0070216790378282434,51173
all,R0c,Affected customers,0.10744636693345111,0.059690509387337887,51173
weather,E0,Regional + calendar,0.0078399897255018169,0.0078399897255018169,9857
weather,E0,Non-gust weather,0.02865757266993918,0.020817582944437363,9857
weather,E0,Gust,0.044279931371417058,0.015622358701477879,9857
weather,R0c,Regional + calendar,0.2017671242074156,0.2017671242074156,9254
weather,R0c,Non-gust weather,0.22704570327232199,0.025278579064906381,9254
weather,R0c,Gust,0.24581903907345903,0.018773335801137048,9254
weather,R0c,Affected customers,0.28124514606246198,0.035426106989002948,9254
