combination,model_id,term,coef
E0_all,final,Intercept,3.363184077294711
E0_all,final,z_precipitation_24h_sum,0.053437689689673613
E0_all,final,z_temperature_0h,-0.03405759290387636
E0_all,final,z_pressure_msl_0h,-0.080630788835995518
E0_all,final,z_gust_pressure,-0.034933705867966493
E0_all,final,urban_binary,-0.14940762955466874
E0_all,final,log_population,-0.072417151693353901
E0_all,final,income_deprivation_rate,-3.1002204091423309
E0_all,final,deprivation_gap_pct,0.18041891797817167
E0_all,final,morans_i,-0.032088449919336397
E0_all,final,incident_year[2022],0.075615226402691291
E0_all,final,incident_year[2023],0.014684134962428628
E0_all,final,incident_year[2024],-0.022469656008992756
E0_all,final,incident_month[2],0.086620425450868899
E0_all,final,incident_month[3],0.039419824044390608
E0_all,final,incident_month[4],-0.0059718892867345382
E0_all,final,incident_month[5],0.085491698522288412
E0_all,final,incident_month[6],0.32137845794595582
E0_all,final,incident_month[7],0.33411504513331985
E0_all,final,incident_month[8],0.20010301630364019
E0_all,final,incident_month[9],0.12683628243029538
E0_all,final,incident_month[10],0.052857792548054477
E0_all,final,incident_month[11],-0.046192994265807551
E0_all,final,incident_month[12],0.1052837481711833
E0_all,final,z_temperature_sq,0.056553411291127419
E0_all,final,gust_low,-0.026952197980057893
E0_all,final,gust_ramp,0.12146172840850161
E0_all,paper,Intercept,3.2846344129928138
E0_all,paper,z_gust_0h,-0.036014312441059258
E0_all,paper,z_precipitation_24h_sum,0.045551840569328338
E0_all,paper,z_temperature_0h,-0.01116361668800947
E0_all,paper,z_pressure_msl_0h,-0.090572680922929943
E0_all,paper,z_gust_sq,0.1059969204504316
E0_all,paper,z_gust_pressure,-0.046618128427459812
E0_all,paper,urban_binary,-0.155714154163233
E0_all,paper,log_population,-0.077510452639106414
E0_all,paper,income_deprivation_rate,-3.179793362792477
E0_all,paper,deprivation_gap_pct,0.1743677847783188
E0_all,paper,morans_i,-0.025734744023142849
E0_all,paper,incident_year[2022],0.090785258444310624
E0_all,paper,incident_year[2023],0.016200310719304781
E0_all,paper,incident_year[2024],-0.018447156890876702
E0_all,paper,incident_month[2],0.023767952936842279
E0_all,paper,incident_month[3],-0.02505741797875315
E0_all,paper,incident_month[4],-0.080373281528607066
E0_all,paper,incident_month[5],-0.0043651625712677672
E0_all,paper,incident_month[6],0.26057838650383458
E0_all,paper,incident_month[7],0.30592723271380518
E0_all,paper,incident_month[8],0.14391916141413941
E0_all,paper,incident_month[9],0.061359307822818419
E0_all,paper,incident_month[10],-0.053222733134743641
E0_all,paper,incident_month[11],-0.1244640515250343
E0_all,paper,incident_month[12],0.074958979630980888
E0_all,control,Intercept,3.7739646751227567
E0_all,control,z_precipitation_24h_sum,0.04124672137027139
E0_all,control,z_temperature_0h,-0.0082769596667909215
E0_all,control,z_pressure_msl_0h,-0.16708342086682049
E0_all,control,urban_binary,-0.17500073625286225
E0_all,control,log_population,-0.09369603588739836
E0_all,control,income_deprivation_rate,-3.3444473611741183
E0_all,control,deprivation_gap_pct,0.21676473603111196
E0_all,control,morans_i,-0.032032015020834338
E0_all,control,incident_year[2022],0.088171977397856677
E0_all,control,incident_year[2023],-0.040115452473680972
E0_all,control,incident_year[2024],-0.17742943743481612
E0_all,control,incident_month[2],0.1148753984506912
E0_all,control,incident_month[3],-0.12672327556862989
E0_all,control,incident_month[4],-0.19530567780247501
E0_all,control,incident_month[5],-0.13096032196845134
E0_all,control,incident_month[6],0.10414843933997772
E0_all,control,incident_month[7],0.14783437317920106
E0_all,control,incident_month[8],-0.025781404483943126
E0_all,control,incident_month[9],-0.081096315032287591
E0_all,control,incident_month[10],-0.22680075115231257
E0_all,control,incident_month[11],-0.28510196743093913
E0_all,control,incident_month[12],-0.085590534188309114
E0_all,cubic,Intercept,3.1858452262744659
E0_all,cubic,z_gust_0h,0.0066076342523555083
E0_all,cubic,z_precipitation_24h_sum,0.042125154439839829
E0_all,cubic,z_temperature_0h,-0.0039930064628078644
E0_all,cubic,z_pressure_msl_0h,-0.086773907741635875
E0_all,cubic,z_gust_sq,0.19667035554675061
E0_all,cubic,z_gust_cu,-0.028515812397257569
E0_all,cubic,z_gust_pressure,-0.039853489094293412
E0_all,cubic,urban_binary,-0.1512007581654263
E0_all,cubic,log_population,-0.075405947093786618
E0_all,cubic,income_deprivation_rate,-3.1729828151589858
E0_all,cubic,deprivation_gap_pct,0.17928372024161679
E0_all,cubic,morans_i,-0.028423953383165401
E0_all,cubic,incident_year[2022],0.095443834810771538
E0_all,cubic,incident_year[2023],0.018046840333771769
E0_all,cubic,incident_year[2024],-0.014255768856458999
E0_all,cubic,incident_month[2],0.041781558051264121
E0_all,cubic,incident_month[3],-0.0077022680788291524
E0_all,cubic,incident_month[4],-0.06336691691265206
E0_all,cubic,incident_month[5],0.01350747666303795
E0_all,cubic,incident_month[6],0.28690653042597442
E0_all,cubic,incident_month[7],0.31651162390258009
E0_all,cubic,incident_month[8],0.16662342165834571
E0_all,cubic,incident_month[9],0.065712482018194074
E0_all,cubic,incident_month[10],-0.041033608153353468
E0_all,cubic,incident_month[11],-0.1116175324217005
E0_all,cubic,incident_month[12],0.08643111279431856
E0_all,log,Intercept,3.5775537909837789
E0_all,log,log_gust,-0.057639567805959122
