combination,model_id,grid_index,gust,raw_component,shift,curve,variance,lower,upper,band_valid,band_rule,shift_rule,reference
E0_all,final,0,0.5,-0.013476098990028947,-0.26627689910732777,0.25280080011729883,4.9100496439022673e-06,0.24845770827944702,0.25714389195515064,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,1,0.63210702341137126,-0.017036673639568369,-0.26627689910732777,0.2492402254677594,7.8474237795923043e-06,0.24374962775970593,0.25473082317581286,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,2,0.76421404682274252,-0.020597248289107788,-0.26627689910732777,0.24567965081821999,1.147032984059848e-05,0.2390415472399649,0.25231775439647508,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,3,0.89632107023411367,-0.024157822938647208,-0.26627689910732777,0.24211907616868056,1.5778767826920792e-05,0.23433346672022382,0.2499046856171373,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,4,1.028428093645485,-0.02771839758818663,-0.26627689910732777,0.23855850151914115,2.0772737738559248e-05,0.22962538620048276,0.24749161683779955,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,5,1.1605351170568561,-0.031278972237726049,-0.26627689910732777,0.23499792686960172,2.645223957551383e-05,0.2249173056807417,0.24507854805846174,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,6,1.2926421404682273,-0.034839546887265468,-0.26627689910732777,0.23143735222006229,3.2817273337784557e-05,0.22020922516100061,0.24266547927912396,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,7,1.4247491638795986,-0.038400121536804888,-0.26627689910732777,0.22787677757052288,3.9867839025371427e-05,0.21550114464125955,0.24025241049978621,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,8,1.5568561872909699,-0.041960696186344314,-0.26627689910732777,0.22431620292098345,4.7603936638274432e-05,0.21079306412151846,0.23783934172044843,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,9,1.6889632107023411,-0.045521270835883733,-0.26627689910732777,0.22075562827144404,5.6025566176493587e-05,0.20608498360177741,0.23542627294111068,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,10,1.8210702341137124,-0.049081845485423152,-0.26627689910732777,0.21719505362190461,6.5132727640028864e-05,0.20137690308203635,0.23301320416177287,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,11,1.9531772575250836,-0.052642420134962578,-0.26627689910732777,0.2136344789723652,7.492542102888029e-05,0.19666882256229529,0.23060013538243512,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,12,2.0852842809364547,-0.05620299478450199,-0.26627689910732777,0.21007390432282577,8.5403646343047845e-05,0.1919607420425542,0.22818706660309734,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,13,2.2173913043478262,-0.059763569434041416,-0.26627689910732777,0.20651332967328634,9.6567403582531556e-05,0.18725266152281311,0.22577399782375956,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,14,2.3494983277591972,-0.063324144083580836,-0.26627689910732777,0.20295275502374693,0.00010841669274733138,0.18254458100307208,0.22336092904442179,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,15,2.4816053511705682,-0.066884718733120255,-0.26627689910732777,0.19939218037420753,0.00012095151383744734,0.17783650048333102,0.22094786026508403,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,16,2.6137123745819397,-0.070445293382659674,-0.26627689910732777,0.1958316057246681,0.00013417186685287948,0.17312841996358994,0.21853479148574625,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,17,2.7458193979933108,-0.074005868032199093,-0.26627689910732777,0.19227103107512866,0.00014807775179362769,0.16842033944384888,0.21612172270640845,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,18,2.8779264214046822,-0.077566442681738512,-0.26627689910732777,0.18871045642558926,0.00016266916865969211,0.16371225892410782,0.2137086539270707,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,19,3.0100334448160533,-0.081127017331277931,-0.26627689910732777,0.18514988177604985,0.00017794611745107261,0.15900417840436676,0.21129558514773294,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,20,3.1421404682274248,-0.084687591980817364,-0.26627689910732777,0.18158930712651039,0.00019390859816776935,0.15429609788462564,0.20888251636839514,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,21,3.2742474916387958,-0.08824816663035677,-0.26627689910732777,0.17802873247697099,0.00021055661080978213,0.14958801736488458,0.20646944758905739,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,22,3.4063545150501673,-0.091808741279896203,-0.26627689910732777,0.17446815782743158,0.00022789015537711107,0.14487993684514355,0.20405637880971961,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,23,3.5384615384615383,-0.095369315929435622,-0.26627689910732777,0.17090758317789215,0.00024590923186975614,0.14017185632540247,0.20164331003038183,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,24,3.6705685618729094,-0.098929890578975027,-0.26627689910732777,0.16734700852835274,0.00026461384028771731,0.13546377580566143,0.19923024125104405,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,25,3.8026755852842808,-0.10249046522851446,-0.26627689910732777,0.16378643387881331,0.00028400398063099477,0.13075569528592035,0.19681717247170627,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,26,3.9347826086956519,-0.10605103987805388,-0.26627689910732777,0.1602258592292739,0.00030407965289958819,0.12604761476617929,0.19440410369236852,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
E0_all,final,27,4.0668896321070234,-0.1096116145275933,-0.26627689910732777,0.15666528457973447,0.00032484085709349786,0.1213395342464382,0.19199103491303074,True,"original 1.96 sqrt(aVa), with unshifted a; not individual prediction interval",subtract value at grid point nearest full-sample mean gust (final_models Figure11),full-sample gust scaling; pressure/precipitation z=0; all other component coefficients multiply zero
