combination,model_id,prediction_type,bin,left,right,closed,plot_midpoint,n,mean_gust,mean_observed,mean_prediction,mean_residual,sem,ci_lower,ci_upper,interval_rule,excluded_from_bins
E0_all,final,LAD_OOF,0,0,4,"(left,right]",2,5544,3.0836399732773092,2.2105087208393317,2.171069941786143,0.039438779053188704,0.02693145917814626,-0.013346880935977967,0.092224439042355374,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,1,4,6,"(left,right]",5,9167,5.1041343973912365,2.1462388033732025,2.1231026688216272,0.023136134551574674,0.021211438078619926,-0.018438284082520382,0.064710553185669734,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,2,6,8,"(left,right]",7,10737,7.0598956891763605,2.0338035695190255,2.0763372121232968,-0.042533642604271088,0.019008355381703486,-0.079790019152409922,-0.0052772660561322543,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,3,8,10,"(left,right]",9,10190,9.0231795865958286,1.9600712246602907,2.0217085277619917,-0.061637303101701658,0.01909914568649158,-0.099071628647225157,-0.02420297755617816,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,4,10,12,"(left,right]",11,8314,10.992386341094971,1.9814983395425489,1.9736420830144437,0.007856256528105475,0.020901922310963918,-0.033111511201383802,0.048824024257594752,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,5,12,14,"(left,right]",13,5563,12.981934217418374,1.9899232355043868,1.9345071934354814,0.05541604206890581,0.025973466426611025,0.0045080478727482012,0.10632403626506343,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,6,14,16,"(left,right]",15,3762,14.984502928235441,2.0924590593036148,2.0552413445349313,0.037217714768683581,0.031969655600207557,-0.025442810207723231,0.099878239745090386,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,7,16,18,"(left,right]",17,2569,16.985870004953139,2.2966430008818506,2.3578976585606934,-0.061254657678842375,0.039072039874509856,-0.13783585583288169,0.015326540475196937,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,8,18,20,"(left,right]",19,1578,18.963624858735329,2.5816134017104506,2.6400930877452899,-0.05847968603483969,0.053256066174240724,-0.16286157573635152,0.045902203666672123,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,9,20,23,"(left,right]",21.5,1412,21.436898036989206,3.0677045676845704,3.043558821896061,0.024145745788508872,0.060092839213229887,-0.093636219069421711,0.14192771064643944,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,10,23,26,"(left,right]",24.5,765,24.442614349664428,3.479167770568719,3.4406578278558193,0.038509942712899786,0.082409382692175903,-0.12301244736376499,0.20003233278956456,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,11,26,30,"(left,right]",28,494,27.806477751326465,3.7251843202773722,3.6498798003366075,0.075304519940764481,0.10501359337976984,-0.13052212308358441,0.28113116296511337,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,12,30,45,"(left,right]",37.5,342,32.344736941376624,3.7337033757813236,3.7898805844823005,-0.056177208700976693,0.12546344322047148,-0.30208555741310078,0.18973114001114741,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,0,0,4,"(left,right]",2,387,3.1428940602667264,3.5613921004166453,3.585949012022613,-0.024556911605968044,0.11112555391350783,-0.24236299727644336,0.19324917406450728,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,1,4,6,"(left,right]",5,749,5.1401869152512187,3.420413974335375,3.4596499970288868,-0.039236022693511181,0.077525756428054649,-0.19118650529249828,0.11271445990547593,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,2,6,8,"(left,right]",7,1065,7.0858215936472719,3.4088008010176591,3.3825527440746339,0.026248056943025413,0.064768734633277064,-0.10069866293819764,0.15319477682424848,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,3,8,10,"(left,right]",9,1100,9.0381818173148414,3.2097310966301631,3.2110786775480897,-0.0013475809179266465,0.062593800262762872,-0.12403142943294188,0.12133626759708857,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,4,10,12,"(left,right]",11,1039,11.038017341790002,3.0525392499766038,3.0305255063459229,0.02201374363068127,0.065067673238835291,-0.10551889591743589,0.14954638317879843,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,5,12,14,"(left,right]",13,881,13.010102168114583,3.0584017568584652,3.0629746578384944,-0.0045729009800293359,0.071686258229049074,-0.14507796710896551,0.13593216514890685,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,6,14,16,"(left,right]",15,848,15.037617942072311,3.2094369652043664,3.1109983322814694,0.098438632922897423,0.075191206566120355,-0.048936131946698463,0.24581339779249331,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,7,16,18,"(left,right]",17,869,17.0567318814259,3.0262100439453734,3.2359373188218647,-0.20972727487649154,0.071340881524441069,-0.349555402664396,-0.069899147088587049,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,8,18,20,"(left,right]",19,708,19.022033890761897,3.3755972862936128,3.4060570398296179,-0.030459753536005277,0.081874111594844326,-0.19093301226190015,0.13001350518988961,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,9,20,23,"(left,right]",21.5,893,21.488465865542079,3.7137620783121896,3.6272732274851851,0.086488850827004637,0.075669102763064822,-0.0618225905886024,0.23480029224261167,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,10,23,26,"(left,right]",24.5,591,24.458206389761212,3.8181185312888251,3.7986667182678855,0.019451813020940199,0.094570892283525609,-0.16590713585476999,0.2048107618966504,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,11,26,30,"(left,right]",28,417,27.833812956043857,3.9395977472302381,3.8498450225839029,0.089752724646335102,0.11501155795184131,-0.13566992893927388,0.31517537823194408,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_weather,final,LAD_OOF,12,30,45,"(left,right]",37.5,310,32.370967852684757,3.7376827139807536,3.9293479846803465,-0.19166527069959297,0.13433324298794669,-0.45495842695596844,0.071627885556782539,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_all,final,LAD_OOF,0,0,4,"(left,right]",2,4724,3.078365793793914,1.8940952317307069,1.9247676486210976,-0.030672416890390328,0.015378886329766845,-0.060815034096733347,-0.00052979968404731279,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
