margin,sample,n,spec,validation,log_RMSE,OOF_R2,calibration_slope
E0,all,60437,final,LAD-CV,1.9847572062476286,,
E0,all,60437,final,year-CV,1.9897302076515422,,
R0c,all,51173,final,LAD-CV,1.1502526389581602,,
R0c,all,51173,final,year-CV,1.1752623352016709,,
E0,weather,9857,paper quadratic,LAD-CV,2.1784068292120016,0.035081089500443086,0.86550216638610911
E0,weather,9857,ramp (11/24 m/s),LAD-CV,2.1713940054430343,0.041283708936649677,0.88521474925498633
E0,weather,9857,final specification,LAD-CV,2.1668618569786582,0.045281610793264759,0.89402865943161647
R0c,weather,9254,paper quadratic,LAD-CV,1.250445938476036,0.27797207521320511,0.98176466677279617
R0c,weather,9254,hinge (11 m/s),LAD-CV,1.2496658577536097,0.27887265693600261,0.98157644456622273
R0c,weather,9254,final specification,LAD-CV,1.2459205206576509,0.28318871891418906,0.97983293504315327
