term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp,alpha
Intercept,1.138127009249557,0.005554499798803232,0.005086146535518931,0.00013535908770099787,-0.00038731921058457767,0.0079486913732408383,-0.097314040947981892,-0.2226302786308379,0.0051089811200403911,0.11546663015821505,0.0085125595701519684,0.013073188217224602,0.018900270258902094,0.013331893247047184,-0.011249173664903446,0.0039362384949570258,0.00083172774879060817,0.0089339124709528865,-0.008121451960904592,-0.038921753446844974,0.016009042937688289,0.009718250297327197,0.0077087594660167251,-0.0023346827157008764,0.0018369479045843994,0.00044716376413126698,-0.0023919150559728705,-0.025742038721461823
z_precipitation_24h_sum,0.0055544997988030481,0.00065986393623070679,-4.0531721537993811e-06,0.00017807665635915474,-7.3635305692099754e-06,-0.00024604650065584874,-0.00054535796570397241,0.0059483591219910877,-0.0025231797204654629,0.0020111757173942985,9.2387232363658569e-05,0.00025355758634028927,0.00023990207878419754,0.0004580104273199004,0.00016354254494241595,0.00065962940082793086,0.00068450189611453426,0.00066055667635350692,0.00073619731761239847,0.00043149539985541706,0.00031111490840333403,0.00060281740392211978,0.00047014517619020332,0.00046306171033389654,4.8734765232278122e-05,2.1420463479173821e-06,-1.0106249295994688e-05,4.4849819964108903e-05
z_temperature_0h,0.0050861465355249687,-4.0531721538094828e-06,0.0010386802541005064,-3.8132883312136848e-05,8.0593181679267922e-05,4.1509531516473601e-05,-0.00038088216566077934,0.0050958377084449136,0.0040108489693669895,-0.002183167449447858,0.00046512174675403343,0.00028342987291331143,-6.2202849843861853e-05,-0.00023882905457132519,0.00096265270685017728,-1.0787245562358229e-05,-0.00068377787699332561,-0.0014487829564200888,-0.0023136426599894666,-0.0025189920477557211,-0.0011497181667706193,-0.0011255096020467848,-0.00016442519132732152,0.00010507156136321023,-6.0779818255386945e-05,-0.00010889787367144809,2.0199371580655924e-05,-0.00036934208612104762
z_pressure_msl_0h,0.00013535908770165292,0.00017807665635915306,-3.8132883312111477e-05,0.00045524081117740209,-5.4583775369961689e-07,-0.0001819609452454117,-0.00010777180534782258,-0.0042317790755917201,0.003199054368971868,-0.0014339280514250353,0.00030211387091948493,0.0006579872832764345,0.00084898682986482403,0.00020443470269267889,0.00019083447509724279,0.00042004247843388818,0.00045463463916158974,0.00057245934078715033,0.00036718269692813746,0.00052281288952206863,0.00026165716824679431,0.00055258963904419747,0.00054441881575580543,0.00038228390659594483,5.3675100746052251e-05,3.6814059756345092e-05,8.9834871780981735e-05,-0.00032204248103946144
z_gust_pressure,-0.00038731921058415738,-7.3635305692102744e-06,8.0593181679263626e-05,-5.4583775370031485e-07,0.00022241114547484102,4.9933699167511055e-05,4.25946792745567e-05,0.0071549038602688759,-0.001987457188417066,-0.00092449698329041851,0.00017840820105818431,-3.2271964273101339e-05,-0.00013748074065212475,0.00023344908321261618,0.00057745098715835481,-0.00019692890539641669,0.00023705498068799562,7.5351743384639738e-05,-0.00033146813209943406,-0.00010839808611252842,-8.208222491477576e-05,-9.249839320185902e-05,0.00013531712485300893,-9.9094703328570416e-05,1.5308876060048998e-05,-2.1506426518032844e-05,0.00013244577027637339,2.623082496045249e-05
urban_binary,0.0079486913732394748,-0.0002460465006558437,4.1509531516420719e-05,-0.00018196094524540715,4.9933699167509591e-05,0.0044975625978437789,-0.00059894996322933385,-0.010958593574060276,0.001912936627892364,-0.00424208466115303,-0.00028626398493896468,-0.00043566855863532404,-0.0010519323321185119,-0.00046683880788617432,5.2311579225311541e-05,-0.0011688468255492376,-0.00065318037364333909,-0.00080370414780020895,-0.0010348301606108304,-0.00051265889168061187,-0.0010403042328624194,-0.0006605098799965705,-0.00012724014864944297,-0.0012892192144080762,6.6758305389758607e-05,-2.5784192602896437e-05,-2.7652555143492864e-05,-0.0005518606567871411
log_population,-0.097314040947977937,-0.00054535796570400071,-0.00038088216566037835,-0.00010777180534776802,4.2594679274562853e-05,-0.00059894996322925275,0.008560427140340077,0.016931126827525324,-0.0054925429683749761,-0.0086853780583752791,-0.00094730446154986619,-0.001612278067659923,-0.0023712294972279167,-0.0016725588951203244,0.00055701982878831615,-0.00082296574751528941,-0.00095858520515576051,-0.0015897068463006224,-0.00012362125505630133,0.0028646100291385371,-0.0020776207983291208,-0.001640832175155119,-0.0013657239396401065,-0.00067416407322553197,-0.00021345470399272704,-0.00010191060279375948,0.00020868208261358767,0.0024402259216127001
income_deprivation_rate,-0.22263027863081203,0.0059483591219910903,0.0050958377084440055,-0.0042317790755918658,0.0071549038602689305,-0.010958593574060784,0.016931126827528072,3.3088986164647824,-1.3074984631076947,0.034040098549305751,0.021305579718088805,-0.0010421808417483578,-0.032800468828865545,0.01848520001197497,0.087093101286778607,-0.019728043213550248,0.011314428981642668,0.0019738305858029827,0.011723397549425765,-0.011981916960702546,-0.00072087138196059921,-0.017249330366142818,0.0079293196642603991,0.02043097847492947,-0.0028844565173735599,0.00089824559941856534,0.0017253102837786684,0.0276384943687796
deprivation_gap_pct,0.0051089811200422655,-0.0025231797204654837,0.0040108489693676487,0.00319905436897196,-0.0019874571884171185,0.0019129366278927838,-0.005492542968379463,-1.3074984631076814,0.964666893576277,-0.20410888574840028,-0.0070254708097926173,0.0066773749345516876,0.020238915224381548,-0.006893279160214507,-0.017527824209889974,0.012758309192964258,0.0015797199899100344,-0.0049589393006228607,-0.013671810630793035,-0.0014458487268551126,-0.0035558051993323831,0.010977210648423058,0.0039359643820351623,0.0050697232041299056,0.00068160774207070684,-0.00065123689863473089,-0.00010323459691063994,-0.012384583894842821
morans_i,0.11546663015820194,0.0020111757173943401,-0.0021831674494484439,-0.0014339280514250735,-0.00092449698329043271,-0.0042420846611532425,-0.0086853780583736398,0.034040098549304287,-0.20410888574840427,0.15159672547858297,-0.0030425872319416068,-0.0034053289690581462,-0.0020098285107211138,0.0037307189131380622,-0.0091300256273488273,0.0012427080098238522,0.0010124501217184886,0.0042459573032444598,0.0078545359461661482,0.0030527205793952432,0.0049429255894705652,0.00037744478629262406,-0.0032365824717933149,-0.00094637003028316203,0.00027696972464187646,0.00042026955352149863,-0.0010107504156557472,0.00030786788820631104
incident_year[2022],0.0085125595701496595,9.2387232363658623e-05,0.00046512174675405923,0.00030211387091950954,0.00017840820105817712,-0.00028626398493899433,-0.00094730446154983475,0.021305579718088892,-0.007025470809791933,-0.0030425872319420435,0.0049295347860788142,0.0037817614136593965,0.0027738898675977752,-0.00029576372382313651,0.0021973008931150118,-0.0003774700338622332,0.00024570729344210597,-6.6951488983142853e-05,-0.00057466846698425614,-0.0031630538976660577,-0.0005385965322934294,0.00060299916306297057,0.0005641058865614502,0.0010057628814743125,7.7486550335549399e-05,-3.4043707073921272e-06,0.00013953822234196068,-0.0016006568191060944
incident_year[2023],0.013073188217220172,0.00025355758634029501,0.00028342987291333881,0.00065798728327645997,-3.2271964273102484e-05,-0.00043566855863536545,-0.0016122780676596556,-0.0010421808417491614,0.0066773749345528212,-0.0034053289690588332,0.003781761413659452,0.0054567089463882128,0.0040802320162457344,0.00047415511341248869,0.00076526947173145496,-0.0003353458619789102,0.0010957031513040248,0.0010073876803569509,0.0004141101930843201,-0.0022261144394336864,0.00049200637721818379,0.0022141409178660543,0.0014668585799769646,0.0022050090601181166,0.00020201452724835569,0.00012110752160711784,4.0213827439052303e-05,-0.0024159404549846499
incident_year[2024],0.018900270258894781,0.00023990207878420955,-6.2202849843810814e-05,0.00084898682986485926,-0.00013748074065212743,-0.0010519323321186275,-0.0023712294972274769,-0.032800468828865531,0.020238915224381565,-0.0020098285107216555,0.0027738898675977743,0.0040802320162457023,0.010051387450078469,0.0015254576495628575,-0.00058162394907542044,0.0050639086102793511,0.0041583919262100904,0.005369731952459769,0.004736477481729293,0.0032291136415184391,0.0035213472103073217,0.0056717470753641832,0.0049450466514270874,0.0042874390911648444,0.00027635034917046036,0.00010287519959461511,0.00016355990050129815,-0.0025346920744413713
incident_month[2],0.013331893247049802,0.000458010427319894,-0.00023882905457123929,0.00020443470269266653,0.00023344908321261464,-0.00046683880788619096,-0.0016725588951206089,0.018485200011974699,-0.0068932791602143778,0.0037307189131383445,-0.00029576372382321636,0.0004741551134123691,0.0015254576495627038,0.0064188068086796978,0.0021261178813456239,0.0033748684981528953,0.0047519127753977803,0.0048935988970165677,0.0047760105529581478,0.0032138759589397563,0.0047095642911531678,0.0039764650887241697,0.0041910834415734323,0.0035798528109594434,0.00028655422433493453,0.0001565087502477794,4.6611884564552362e-05,-0.0011663665284974015
incident_month[3],-0.011249173664907842,0.00016354254494242333,0.00096265270685022347,0.00019083447509726193,0.00057745098715835579,5.2311579225272171e-05,0.0005570198287885525,0.087093101286778954,-0.017527824209889149,-0.0091300256273494709,0.002197300893115023,0.00076526947173145854,-0.00058162394907540602,0.0021261178813457796,0.011201516717758925,0.0010057325011889869,0.0032070951755496964,0.00062202836431842173,-0.00063551784705121123,-0.00010524787578902275,0.00050352046373629397,0.00070407306251629579,0.002221093586850951,0.0024085324785115539,0.00016932442780949954,-1.4857685557691833e-05,0.00024668847097849005,0.00040290332563296225
incident_month[4],0.0039362384949438974,0.00065962940082795114,-1.0787245562360724e-05,0.00042004247843393952,-0.00019692890539642937,-0.0011688468255493471,-0.00082296574751445663,-0.019728043213553859,0.012758309192966338,0.0012427080098225704,-0.0003774700338621219,-0.00033534586197883778,0.0050639086102795255,0.003374868498153198,0.0010057325011891215,0.014755888673266439,0.006342716783198532,0.0059745763765246167,0.0069824920872561241,0.0069497849965426415,0.0040666572309955478,0.0049809677960776857,0.0057675257576623026,0.0046523360098868847,1.3504018693296942e-05,-8.7370117443839768e-05,7.3823123620055315e-05,0.00047970215901636603
incident_month[5],0.00083172774878430538,0.00068450189611454478,-0.00068377787699323638,0.00045463463916163018,0.00023705498068799389,-0.00065318037364350823,-0.00095858520515550269,0.011314428981638933,0.0015797199899129477,0.0010124501217175111,0.00024570729344205251,0.0010957031513039307,0.0041583919262100418,0.0047519127753980067,0.0032070951755496899,0.0063427167831982632,0.0105512459729801,0.0068038352481535813,0.0077209242852575907,0.0060460600589405259,0.0059686240480248077,0.0061275728658340958,0.0055201853660656816,0.005981349838611677,0.00042954013067261304,0.00016476290967904535,0.00026119236284631808,-0.00029912823294926086
incident_month[6],0.0089339124709521718,0.00066055667635350084,-0.0014487829564200007,0.00057245934078721538,7.5351743384612904e-05,-0.00080370414780025741,-0.0015897068463008937,0.0019738305858072631,-0.0049589393006233638,0.0042459573032442542,-6.6951488983179011e-05,0.0010073876803568841,0.005369731952459854,0.0048935988970169354,0.0006220283643185385,0.0059745763765244337,0.0068038352481537478,0.010881905415714845,0.0091069013782002339,0.0078731249364006866,0.0066561845293831925,0.006796030377360489,0.0060864778855465457,0.004763542750153487,0.00034918904382107217,0.0003036536015633591,0.0001457244473739555,-0.00120641836676791
incident_month[7],-0.0081214519609106722,0.00073619731761240335,-0.00231364265998934,0.00036718269692818771,-0.00033146813209944159,-0.0010348301606110152,-0.00012362125505609753,0.011723397549429245,-0.013671810630794321,0.007854535946165888,-0.0005746684669843201,0.00041411019308422507,0.0047364774817292435,0.0047760105529583785,-0.00063551784705129916,0.0069824920872557433,0.0077209242852574978,0.0091069013782000031,0.014081991116515816,0.010201301057595128,0.0078266835504957957,0.0077178061956979967,0.005623139846612178,0.005315446483338677,0.00031853824050772256,0.00032305704876842573,-8.0314017983586886e-05,0.00010706237715672688
incident_month[8],-0.038921753446842115,0.0004314953998554066,-0.0025189920477555971,0.0005228128895220979,-0.00010839808611254842,-0.00051265889168056026,0.0028646100291378936,-0.011981916960705542,-0.0014458487268535405,0.0030527205793954705,-0.0031630538976661396,-0.0022261144394337914,0.0032291136415183632,0.0032138759589398725,-0.00010524787578911167,0.0069497849965421818,0.0060460600589403567,0.0078731249364002841,0.010201301057595006,0.016555164545051938,0.0054420152083387158,0.0065475487271239108,0.0045463098892380583,0.0023484704872808139,0.00018926928098751144,0.00018221605398783161,0.00022664390740151537,0.0017102279339237473
