term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp,alpha
Intercept,12816.566256434531,1.7248078803800126,1.8760766660263926,-3.3867368033538696,-6341.3827991618127,9565.7182940281382,154709.04771603429,1394.2658230488996,3492.2800182699275,3581.2609621128036,4347.2273425568401,4383.7557830779378,1306.0187486278676,1456.673015879554,1063.7698209279961,858.05064920855318,962.38277123896103,1042.0056647651145,1095.7433809597362,892.92769312498672,890.23993402220844,1079.7002620746357,1114.3868058345647,1134.1601742135886,12821.321936610751,116241.26759201588,9930.1751814499603,-0.010829727892541996
z_precipitation_24h_sum,1.7248078803800126,14266.190598601212,-496.17860454795363,-7186.4977115314923,-2764.9367884329736,-311.09161136604882,-399.51742693422784,0.44096788453586555,-11.543503674500499,30.90548222566764,-528.32575374110979,437.92156683546523,192.12848309915074,-3.797414678864719,-65.772213165821057,-305.02974496873128,-77.662917699383485,-89.356601902261701,-63.634545233220145,-207.50515401119571,-173.60111026424229,767.49165089644282,245.52372141369864,-64.025252343224324,-3832.3748088208258,11890.031101469844,5723.0813149610767,-0.0045721814891948043
z_temperature_0h,1.8760766660263926,-496.17860454795363,12821.321936610751,873.90874348367197,1393.6588912200687,-100.21955643627848,-275.95888890415335,-7.7407823689378006,0.53860597720921533,-37.26691164006894,109.49541224833177,134.66699567444613,-793.38086792057197,-973.23747152526994,-573.94773639081973,-410.21368684624986,116.85135458196324,1013.0901244839406,1450.7838580392909,852.02070526510261,817.48057379780266,272.26526079356927,-552.52650391635586,-952.31163195254589,5185.3323554948774,1604.1858239566027,-2244.2417363085269,0.089832649059786718
z_pressure_msl_0h,-3.3867368033538696,-7186.4977115314923,873.90874348367197,12344.96234167004,4805.7354701748336,511.98953027181824,443.10203132034621,21.787337008595586,64.518866101895924,95.562924355770122,155.01446321236887,-323.90700317571452,-304.9331284584639,-287.1997568679256,-276.28413717177341,481.49287888250353,357.10740726392993,342.19632686098839,109.47728083668144,261.29423381756891,114.30019562199621,-458.6581456852914,-599.13066624673741,-168.75044533434689,2572.2418130240017,-19568.203712705988,-12464.423484793897,-0.024801510032986585
z_gust_pressure,-6341.3827991618127,-2764.9367884329736,1393.6588912200687,4805.7354701748336,24148.774388357699,-4120.5762304839827,-76028.843972210423,-644.20503483318043,-1645.6622930135213,-1605.3428410584934,-2809.3719504184442,-1590.2568852368008,-805.75681840611412,-1935.3876900747171,-467.39659802754983,-424.05881257626754,-263.84498954858014,-180.78902152946887,-331.26182225410065,-179.84852581035841,-187.49437682859809,-307.03503961798555,-763.66031195387518,-425.27986765462026,-3797.5500355468694,-70839.905162628944,-31915.819673660648,0.010147311428823969
urban_binary,9565.7182940281382,-311.09161136604882,-100.21955643627848,511.98953027181824,-4120.5762304839827,9565.7182940281382,116144.92382908484,1092.2226222483437,2714.7116008415801,2935.5250271958016,3216.3970689549328,3197.7400807337467,989.64297611173754,962.48945804459674,856.42681130452274,691.20592664887999,758.78318235338486,775.43885703697799,774.03743875039913,677.85127230129456,698.4730988496209,774.18498195650477,831.93452335405289,855.0178540452514,9620.0169510189644,84442.101817241826,5720.9475368339745,-0.006508369640471301
log_population,154709.04771603429,-399.51742693422784,-275.95888890415335,443.10203132034621,-76028.843972210423,116144.92382908484,1870346.4443112926,16904.206865047265,42313.03130921004,43657.070822532056,52369.733563062407,52804.450161711306,15827.861875777095,17500.343530277747,12917.90829209103,10442.58730015207,11637.203704349469,12560.828717659475,13187.802254237924,10810.692451899899,10741.608755913281,12962.755729395543,13444.607797735993,13684.286679046067,154585.45914189797,1400313.4416091326,118128.47883697,-0.12074235107957065
income_deprivation_rate,1394.2658230488996,0.44096788453586555,-7.7407823689378006,21.787337008595586,-644.20503483318043,1092.2226222483437,16904.206865047265,171.62651072054842,413.44140576449695,440.09305507528506,466.45083264469793,477.82211357822194,141.49046052955069,149.34952718789029,123.72093544230347,99.72439114500277,106.5425924306798,115.90197592450488,117.27186960473119,96.88539744803532,94.393433497863626,116.06104576867858,119.74235612149673,125.42366244418861,1372.5187102305511,12517.546297813284,950.22850454057618,-0.0040178712640681624
deprivation_gap_pct,3492.2800182699275,-11.543503674500499,0.53860597720921533,64.518866101895924,-1645.6622930135213,2714.7116008415801,42313.03130921004,413.44140576449695,1042.3539397837517,1109.5659263512216,1154.7266502898476,1199.0242562121205,359.67763151682516,380.34972021759813,295.70906629641195,250.47402316181189,264.43719857118714,290.57397446929457,293.51827907792148,246.78717619633622,243.68416440866713,285.96382283350374,306.13972952038682,310.01838614761289,3454.7672721757767,31378.317240773475,2467.5571527941729,-0.010584069100275428
morans_i,3581.2609621128036,30.90548222566764,-37.26691164006894,95.562924355770122,-1605.3428410584934,2935.5250271958016,43657.070822532056,440.09305507528506,1109.5659263512216,1353.6125507582815,1179.100924731227,1218.8885149222383,372.79750057218445,388.30225376461522,299.58749620924794,253.09176246065996,275.46849851303381,295.01174636200346,305.07408934591786,250.95315232426188,245.56916411252513,292.78608874598876,325.55826876474163,321.78425705170849,3568.6340949975606,32019.975302891908,2319.751984082789,-0.017508644336771795
