term,value
Intercept,4.5328597498802843
z_precipitation_24h_sum,0
z_temperature_0h,0
z_pressure_msl_0h,0
z_gust_pressure,0
urban_binary,0
log_population,0
income_deprivation_rate,0
deprivation_gap_pct,0
morans_i,0
incident_year[2022],0
incident_year[2023],0
incident_year[2024],0
incident_month[2],0
incident_month[3],0
incident_month[4],0
incident_month[5],0
incident_month[6],0
incident_month[7],0
incident_month[8],0
incident_month[9],0
incident_month[10],0
incident_month[11],0
incident_month[12],0
z_temperature_sq,0
gust_low,0
gust_ramp,0
alpha,19.514671171145928
