term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp
Intercept,2703.7666591670468,88.601326801817407,72.973925312910978,-192.30939712951533,-1760.8880213701702,1932.2599961112796,32550.547007654666,283.58660845351187,718.24872676913151,729.19603408322132,974.15739249562705,918.72999630342633,259.38476046545759,342.8594569610259,225.97066941070008,169.1360507144083,194.81743302846363,228.93089774415196,251.38948749638476,194.44951516753599,183.71855017223405,204.98304375219823,222.89944723715229,234.55389686093372,2915.731644539173,24652.759762566664,2858.9425677279505
z_precipitation_24h_sum,88.60132680181745,3002.9893695245241,-152.52973568428106,-1576.1580617679667,-999.75535870017916,-2.1041290868069158,989.41432113224676,6.8882563657491769,18.204904634123722,18.143594863451831,-99.382945360413586,108.20953013210948,79.231971997386992,9.1673572366972849,3.9884005763773049,-49.271952593075873,-14.168321382644283,-16.240699486209216,-22.011949748947032,-42.67807353308892,-28.178730302548779,127.99466465476969,90.890176621133108,-2.0656509489867481,-858.72050914442752,3587.0393193514651,1769.4068969812288
z_temperature_0h,72.973925312910978,-152.52973568428106,2915.731644539173,267.87572628079755,417.5697838407491,49.668275398798876,846.95218159649733,7.7935854645679186,20.077971035107186,15.725824835561934,53.078506993169647,55.42635744080868,-162.46387358984802,-222.69106595192065,-129.29369235500806,-80.647874355778896,26.28741261680694,232.68345311786615,343.56148326843635,210.55516160291296,170.94947792265029,56.025235405831751,-106.92461373501358,-203.08639038174755,1519.1850426405174,907.11566041603407,-669.7185926760452
z_pressure_msl_0h,-192.30939712951539,-1576.1580617679667,267.87572628079755,2875.4555858117419,1836.6883516412522,-0.43180601651108463,-2202.7284551432649,-13.453488689152614,-35.501619525687673,-20.85684834458991,-26.489839075316912,-128.71818266272658,-111.03131666582456,-142.13117577859697,-65.556892308011399,69.610310929753126,56.279542005529372,77.256276552994478,33.993209647387665,49.667224869620668,19.228551776971695,-84.861162024221557,-156.84413752933489,-51.373308581484785,570.33334682263319,-6644.591127560032,-3944.257026497844
z_gust_pressure,-1760.8880213701702,-999.75535870017916,417.5697838407491,1836.6883516412522,7891.9731351060118,-1043.8865790320572,-21016.185662695028,-172.0738523354959,-443.65085441095511,-419.25872449430739,-868.38702909704489,-439.02150305926551,-205.7259813258085,-659.80655032773961,-135.63573986659108,-92.583559523808702,-67.517781982741354,-40.990858479178222,-77.649144231966318,-35.602516119572364,-42.66520091117232,-67.324558422021738,-208.03183643226998,-96.134339736008485,-989.74395464713473,-20874.273690366826,-10805.340065066312
urban_binary,1932.2599961112796,-2.1041290868069007,49.668275398798876,-0.4318060165110883,-1043.8865790320572,1932.2599961112796,23410.138981223176,214.03770119086491,539.13207422080654,583.48679654685839,681.52125588224715,652.53520447473886,186.1783213350391,211.84873119832073,168.99932225785832,129.86909166005802,147.18313822882612,167.34836939667289,173.7319231886282,143.14714580430655,137.81048570349316,144.64209300740697,161.59830523477009,169.45027521909981,2115.1475664915383,17038.581065236805,1540.2120225832086
log_population,32550.547007654666,989.41432113224698,846.95218159649733,-2202.7284551432654,-21016.185662695028,23410.138981223176,392484.68391658657,3429.4329347294602,8680.7748502916784,8874.9920811414286,11704.343262736847,11058.73480788013,3129.9402588207245,4106.0340450797776,2730.2875240784165,2046.5729739109058,2351.3410143138126,2758.0795610689734,3020.8737863773722,2345.6805712707196,2212.6183453892131,2461.5567593839678,2681.9987487212161,2823.8670179334363,35097.417289319317,296231.36899558653,33965.198348542297
income_deprivation_rate,283.58660845351187,6.8882563657491733,7.7935854645679115,-13.453488689152614,-172.0738523354959,214.03770119086491,3429.4329347294602,33.597985377671627,82.051135782621856,86.662410576429181,100.45692641943515,97.111899701609559,26.88052098848755,33.750215028920387,24.483430873932118,18.599064425199678,20.787027018323744,24.488733374196666,26.129360465890176,20.623050407812958,19.100291481319026,21.550240327884271,23.49736596069177,25.052958882096437,302.84162401566601,2554.5787325177776,268.00753974512861
deprivation_gap_pct,718.24872676913162,18.204904634123718,20.077971035107215,-35.501619525687666,-443.65085441095511,539.13207422080654,8680.7748502916784,82.051135782621856,209.52845944831213,221.7453416244617,253.8034477761243,245.68071531174431,68.843412369313029,86.927129116041016,60.701433706207219,47.078093008204611,52.314136279088238,62.0479825365991,66.038668938988465,52.19631189209224,48.917353409130072,53.924860775723261,60.215083619381801,62.849275453471932,768.39715691938989,6483.6927335665414,699.71624943095071
morans_i,729.19603408322132,18.143594863451831,15.725824835561955,-20.856848344589917,-419.25872449430733,583.48679654685839,8874.9920811414286,86.662410576429181,221.74534162446176,271.7252298017375,256.16552351440168,248.68599345648238,70.289322974627595,85.636820860662112,61.400070753722254,48.171883553736052,53.734869065331964,63.08437785025157,67.311590221419451,52.760511113133354,49.409183585641614,54.64973137980455,62.914135627958117,64.597131185798517,786.46338905566665,6520.2251845855935,643.71243599360071
