combination,sample_version,threshold_label,exact_numeric_threshold,operator,bin,left,right,closed,denominator,numerator,frequency,mean_gust,binomial_se,original_95_lower,original_95_upper,interval_rule,excluded_gust_count
R0c_historical_all,historical includes zero customers,>3h,3,>,0,0,4,"(left,right]",5475,3859,0.70484018264840187,3.083214613988519,0.0061642732549841688,0.69275820706863289,0.71692215822817085,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,1,4,6,"(left,right]",9083,6074,0.66872178795552129,5.1038863836084971,0.0049386075541978268,0.6590421171492935,0.67840145876174907,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,2,6,8,"(left,right]",10609,7112,0.67037421057592606,7.0590724870007744,0.0045638568725661112,0.6614290511056965,0.67931937004615561,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,3,8,10,"(left,right]",10091,6725,0.66643543751858092,9.023694380129923,0.0046935547786314084,0.65723607015246333,0.67563480488469851,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,4,10,12,"(left,right]",8235,5614,0.68172434729811782,10.992993326192924,0.0051330359907150553,0.67166359675631626,0.69178509783991937,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,5,12,14,"(left,right]",5509,3675,0.66709021601016516,12.98095844072836,0.0063492025034188578,0.65464577910346422,0.6795346529168661,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,6,14,16,"(left,right]",3730,2520,0.67560321715817695,14.98477212276919,0.0076653097278264991,0.660579210091637,0.6906272242247169,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,7,16,18,"(left,right]",2549,1865,0.73165947430364853,16.986151448695413,0.0087763253700466667,0.71445787657835702,0.74886107202894003,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,8,18,20,"(left,right]",1572,1144,0.72773536895674296,18.963549634579181,0.011226802538819041,0.70573083598065767,0.74973990193282825,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,9,20,23,"(left,right]",1405,1063,0.75658362989323846,21.435160163797942,0.011448937878936036,0.73414371165052383,0.77902354813595309,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,10,23,26,"(left,right]",755,614,0.81324503311258278,24.443576125593374,0.014183170197854936,0.7854460195247871,0.84104404670037847,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,11,26,30,"(left,right]",487,424,0.87063655030800824,27.798151964034876,0.01520756779453636,0.84082971743071699,0.90044338318529948,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>3h,3,>,12,30,45,"(left,right]",334,301,0.90119760479041922,32.33622763970655,0.016327531019505244,0.86919564399218896,0.93319956558864947,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,0,0,4,"(left,right]",5475,1564,0.28566210045662099,3.083214613988519,0.0061050060276086815,0.273696288642508,0.29762791227073399,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,1,4,6,"(left,right]",9083,2324,0.25586260046240228,5.1038863836084971,0.0045784166661028882,0.24688890379684061,0.26483629712796392,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,2,6,8,"(left,right]",10609,2661,0.25082477142049203,7.0590724870007744,0.0042086197838146176,0.24257587664421537,0.25907366619676869,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,3,8,10,"(left,right]",10091,2399,0.23773659696759489,9.023694380129923,0.0042377316550024679,0.22943064292379006,0.24604255101139971,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,4,10,12,"(left,right]",8235,2046,0.24845173041894353,10.992993326192924,0.004761761625605208,0.23911867763275732,0.25778478320512976,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,5,12,14,"(left,right]",5509,1271,0.23071337810854964,12.98095844072836,0.0056760222981196368,0.21958837440423515,0.24183838181286413,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,6,14,16,"(left,right]",3730,963,0.25817694369973193,14.98477212276919,0.0071656315834477844,0.24413230579617429,0.27222158160328958,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,7,16,18,"(left,right]",2549,686,0.26912514711651631,16.986151448695413,0.0087844329460479726,0.25190765854226227,0.28634263569077034,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,8,18,20,"(left,right]",1572,449,0.28562340966921118,18.963549634579181,0.011392898705546828,0.26329332820633938,0.30795349113208298,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,9,20,23,"(left,right]",1405,483,0.34377224199288259,21.435160163797942,0.012671398219271867,0.31893630148310975,0.36860818250265542,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,10,23,26,"(left,right]",755,362,0.47947019867549667,24.443576125593374,0.018181517697145759,0.44383442398909101,0.51510597336190234,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,11,26,30,"(left,right]",487,285,0.58521560574948661,27.798151964034876,0.022325678833883936,0.54145727523507414,0.62897393626389908,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>12h,12,>,12,30,45,"(left,right]",334,250,0.74850299401197606,32.33622763970655,0.023740504686625766,0.70197160482618959,0.79503438319776254,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,0,0,4,"(left,right]",5475,145,0.026484018264840183,3.083214613988519,0.0021700583937343597,0.022230703813120839,0.030737332716559526,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,1,4,6,"(left,right]",9083,278,0.030606627766156556,5.1038863836084971,0.0018073535098482455,0.027064214886853996,0.034149040645459115,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,2,6,8,"(left,right]",10609,278,0.026204166273918372,7.0590724870007744,0.0015508932458141906,0.023164415512122557,0.029243917035714186,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,3,8,10,"(left,right]",10091,285,0.028242988801902687,9.023694380129923,0.0016491762247676097,0.025010603401358172,0.031475374202447198,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,4,10,12,"(left,right]",8235,284,0.034486945962355797,10.992993326192924,0.0020108266920583371,0.030545725645921458,0.038428166278790137,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,5,12,14,"(left,right]",5509,179,0.032492285351243419,12.98095844072836,0.0023888064413376442,0.027810224726221636,0.037174345976265205,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,6,14,16,"(left,right]",3730,169,0.045308310991957104,14.98477212276919,0.0034053840018816728,0.038633758348269029,0.05198286363564518,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,7,16,18,"(left,right]",2549,150,0.058846606512357791,16.986151448695413,0.004661288680961175,0.049710480697673892,0.067982732327041689,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,8,18,20,"(left,right]",1572,124,0.078880407124681931,18.963549634579181,0.006798550235390912,0.065555248663315746,0.092205565586048116,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,9,20,23,"(left,right]",1405,206,0.14661921708185052,21.435160163797942,0.0094368861451665717,0.12812292023732405,0.16511551392637699,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,10,23,26,"(left,right]",755,119,0.15761589403973511,24.443576125593374,0.013261162934120253,0.13162401468885943,0.1836077733906108,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,11,26,30,"(left,right]",487,140,0.28747433264887062,27.798151964034876,0.020508566884123544,0.24727754155598847,0.32767112374175278,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_all,historical includes zero customers,>48h,48,>,12,30,45,"(left,right]",334,166,0.49700598802395207,32.33622763970655,0.027358292259681147,0.44338373519497704,0.55062824085292716,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,0,0,4,"(left,right]",386,215,0.55699481865284972,3.1435233192431493,0.025283449636267202,0.50743925736576601,0.60655037993993344,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,1,4,6,"(left,right]",747,419,0.56091030789825969,5.1401606423149468,0.018157791737767957,0.52532103609223446,0.59649957970428491,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,2,6,8,"(left,right]",1059,593,0.55996222851746935,7.0859301205059628,0.015253740888599225,0.53006489637581489,0.58985956065912382,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,3,8,10,"(left,right]",1098,639,0.58196721311475408,9.0379781410342357,0.014885151584092827,0.55279231600993217,0.61114211021957598,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,4,10,12,"(left,right]",1037,631,0.60848601735776275,11.038476391261661,0.015156871260926514,0.57877854968634679,0.63819348502917872,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,5,12,14,"(left,right]",877,571,0.65108323831242876,13.010034219704849,0.016094569971121818,0.61953788116902997,0.68262859545582755,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,6,14,16,"(left,right]",845,552,0.65325443786982251,15.037633153249526,0.016372623899090537,0.62116409502760506,0.68534478071203997,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,7,16,18,"(left,right]",865,627,0.7248554913294798,17.055144516167612,0.015184415802359155,0.69509403635685585,0.75461694630210374,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,8,18,20,"(left,right]",708,520,0.7344632768361582,19.022033890761897,0.016597042646140675,0.70193307324972243,0.76699348042259397,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,9,20,23,"(left,right]",888,680,0.76576576576576572,21.48581083186038,0.014212375560911258,0.73790950966637969,0.79362202186515174,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,10,23,26,"(left,right]",584,484,0.82876712328767121,24.45736297189373,0.015588467079839123,0.79821372781118649,0.85932051876415594,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,11,26,30,"(left,right]",410,360,0.87804878048780488,27.824390243902439,0.016160711132904373,0.84637378666731233,0.90972377430829743,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>3h,3,>,12,30,45,"(left,right]",302,278,0.92052980132450335,32.362251761733305,0.01556387034956894,0.89002461543934819,0.95103498720965851,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,0,0,4,"(left,right]",386,48,0.12435233160621761,3.1435233192431493,0.016795696249747111,0.091432766956713277,0.15727189625572197,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,1,4,6,"(left,right]",747,77,0.10307898259705489,5.1401606423149468,0.011125047173993267,0.081273890136028093,0.12488407505808169,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,2,6,8,"(left,right]",1059,88,0.083097261567516525,7.0859301205059628,0.0084821707521176189,0.066472206893365998,0.099722316241667053,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,3,8,10,"(left,right]",1098,110,0.10018214936247723,9.0379781410342357,0.0090608993184255384,0.082422786698363171,0.11794151202659128,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,4,10,12,"(left,right]",1037,159,0.15332690453230471,11.038476391261661,0.011188649921134853,0.1313971506868804,0.17525665837772902,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,5,12,14,"(left,right]",877,165,0.18814139110604333,13.010034219704849,0.013197223718040016,0.16227483261868492,0.21400794959340175,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,6,14,16,"(left,right]",845,172,0.20355029585798817,15.037633153249526,0.01385117741835295,0.17640198811801638,0.23069860359795996,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,7,16,18,"(left,right]",865,230,0.26589595375722541,17.055144516167612,0.015021960630821236,0.2364529109208158,0.29533899659363505,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,8,18,20,"(left,right]",708,201,0.28389830508474578,19.022033890761897,0.01694541158562253,0.2506852983769256,0.31711131179256596,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,9,20,23,"(left,right]",888,335,0.37725225225225223,21.48581083186038,0.016265428933911221,0.34537201154178621,0.40913249296271825,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,10,23,26,"(left,right]",584,299,0.51198630136986301,24.45736297189373,0.020684201194980587,0.47144526702770106,0.55252733571202495,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,11,26,30,"(left,right]",410,249,0.60731707317073169,27.824390243902439,0.024117752079757623,0.56004627909440674,0.65458786724705664,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>12h,12,>,12,30,45,"(left,right]",302,238,0.78807947019867552,32.362251761733305,0.023516249056815028,0.74198762204731805,0.834171318350033,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,0,0,4,"(left,right]",386,3,0.0077720207253886009,3.1435233192431493,0.0044697070238262004,-0.00098860504131075173,0.016532646492087952,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,1,4,6,"(left,right]",747,12,0.016064257028112448,5.1401606423149468,0.0045999529527666824,0.0070483492406897517,0.025080164815535145,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,2,6,8,"(left,right]",1059,6,0.0056657223796033997,7.0859301205059628,0.0023064596994433768,0.0011450613686943816,0.010186383390512418,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,3,8,10,"(left,right]",1098,25,0.022768670309653915,9.0379781410342357,0.0045015943301953375,0.013945545422471053,0.031591795196836775,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,4,10,12,"(left,right]",1037,58,0.055930568948891035,11.038476391261661,0.0071357102692863059,0.041944576821089874,0.069916561076692196,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,5,12,14,"(left,right]",877,53,0.060433295324971492,13.010034219704849,0.0080464098626321784,0.04466233199421242,0.076204258655730564,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,6,14,16,"(left,right]",845,70,0.082840236686390539,15.037633153249526,0.0094823243768774046,0.064254880907710824,0.10142559246507026,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,7,16,18,"(left,right]",865,105,0.12138728323699421,17.055144516167612,0.011103944552745489,0.099623551913613051,0.14315101456037538,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
R0c_historical_weather,historical includes zero customers,>48h,48,>,8,18,20,"(left,right]",708,96,0.13559322033898305,19.022033890761897,0.012866530121550528,0.11037482130074402,0.16081161937722208,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
