term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,z_temperature_sq,z_gust_precip
Intercept,0.039753203608994647,0.00051713399713997912,-0.00031224802197999519,-0.00020044288439706085,-0.00047393664186424811,-0.00061618671934324546,-0.0005016704028902824,-0.0029542233525226532,-0.0084689904182833498,-0.00060991522969752136,0.0033900418490126188,0.00057207489404360965,-0.001005229914796149,-0.0045613944335864409,0.0074933836678506447,-0.0011263739908298469,-0.0023826673697399207,-0.0022384947794697892,-0.0023359257421835993,-0.0024256321922919806,-0.0025936051372035247,-0.0023757416400361189,-0.0025468107771071508,-0.0025430725884593771,-0.0030464068582516986,4.2043765472542466e-05,-0.00016875808266965817,-5.213140769466412e-05,0.00019651788365126119
z_gust_0h,0.00051713399713971913,0.00039286558814791053,-6.0648224405055986e-05,-0.00026716275914065858,-5.5092716194196505e-05,-7.6545748813132642e-05,-7.5138440696483047e-05,-3.4287981228306281e-05,-0.0013342239690439901,0.00037943491084476864,-0.00012023416445517412,0.00015859942236934047,-0.00014521919043449018,-0.00063306295542010099,0.0014423055644958505,0.00014704577835574428,-2.0338821668115313e-05,0.00020253247314636313,0.00038972783447265599,0.00031440910002163803,0.00035592681869324542,0.000332582386432103,0.00017345172353283003,-0.00011114740527307799,-0.00025653202047052606,1.3204431840419911e-06,5.9271412821083885e-05,5.5144351754091823e-05,1.5585816581433721e-05
z_precipitation_24h_sum,-0.0003122480219800391,-6.0648224405055965e-05,9.8938534522580176e-05,3.4986907135091633e-05,6.2912616927691153e-05,1.3663100178887737e-05,1.0841025002462561e-06,2.0856931792364595e-05,0.00035523976809263412,-0.00010935585263926608,-1.5628902723939027e-05,-2.1079763449983417e-05,3.8674974654147777e-05,0.00018174279559430168,-0.00026512069843192854,-1.0117960839986566e-05,5.0967218666465342e-05,1.4095247333483611e-05,3.4116023776952998e-06,-6.1338223947829059e-06,-1.7296479727482508e-06,-7.799428338651572e-06,-1.8660763704894549e-05,8.7645967906480881e-05,8.6845389468885459e-05,4.7898375433878441e-07,-8.0756322029647002e-06,-4.4907198958512787e-07,-2.5283480703068969e-05
z_temperature_0h,-0.00020044288439694357,-0.00026716275914065912,3.4986907135091782e-05,0.00042411810340433221,7.0713184407118521e-05,7.03709560646842e-05,4.7702237018810101e-05,3.5825785778628088e-05,0.0012769983468253663,-0.00045342021055506319,0.00013985103871990998,-0.00018221852344842748,0.00010669129099628303,0.00043593570152719569,-0.0014102736359506924,-0.00015326323787211114,-0.00013762472043370825,-0.00042621260718784203,-0.00071411366672996675,-0.00071134716751581673,-0.00071393408385911697,-0.00066832056971066322,-0.0004021676388645068,-1.7719981445443644e-05,0.00017200408661340098,7.9050715088152585e-06,-6.8163612487509052e-05,-7.1216506658630134e-05,-3.1294242560369389e-05
z_pressure_msl_0h,-0.0004739366418640742,-5.5092716194196356e-05,6.2912616927691085e-05,7.0713184407119199e-05,0.00020081998121469283,6.2320924814613273e-06,2.5892824896272544e-05,2.9587901439898597e-05,0.00054781237661894583,-0.00015639895346660423,-6.0390028239050631e-06,-5.9041061969411047e-05,9.5235420857022347e-05,0.00040934532135719485,-0.00062774188630481255,1.0792896088692737e-05,5.5097415481631085e-05,2.8146162972559233e-05,-2.1225706152006156e-05,2.198978695354719e-05,-2.2571116585616613e-06,3.0118978149069397e-05,0.00014389804835246545,0.00021043668418623885,0.00022824330135508923,1.2730925727939126e-05,-4.6029370992735077e-05,-1.2382010699480524e-05,-4.0925437506431134e-05
z_gust_sq,-0.00061618671934325837,-7.6545748813132438e-05,1.366310017888789e-05,7.0370956064683319e-05,6.2320924814616602e-06,8.9485606273530404e-05,4.5939069128060557e-05,3.1250706491270651e-05,0.00086302795140386123,-0.00019062598343439906,3.7649073824594032e-06,-7.3582438869168777e-05,5.7106994950288429e-05,0.00026637420060963941,-0.00077938938205571564,3.9060949436117042e-05,0.00012017273176754452,6.6099146015461148e-05,6.6160560939143584e-06,2.0626487237118546e-05,2.1807768086860109e-05,1.6306120658718059e-05,5.2276324627333186e-05,0.00012709890123944735,0.000158943818412622,-5.5821859487518222e-06,1.9264989250179383e-05,-1.0668639775129852e-05,-2.3010094209770419e-05
urban_binary,-0.00050167040289017778,-7.5138440696484145e-05,1.0841025002472306e-06,4.7702237018811382e-05,2.5892824896270579e-05,4.5939069128061675e-05,0.000322827214762022,9.078066313042851e-06,0.00012636100455929396,-0.00014659432219146876,-4.9492645331094531e-05,-4.129096948361873e-05,8.1191686726963627e-05,0.00027852686915263004,-0.00063745436882480801,1.4174558649777614e-05,0.00011648449794153896,0.0001213543566424279,5.9955673312570918e-05,8.7621099818507958e-05,9.226012702941112e-05,2.4828986855917165e-05,0.00010618034091397418,0.00014380164689892406,0.00017562511607068196,1.3356592097698449e-05,3.6021832927597885e-06,-8.0018330490763796e-06,-1.7898035670150929e-05
log_population,-0.0029542233525257536,-3.4287981228291943e-05,2.0856931792359286e-05,3.5825785778620275e-05,2.9587901439913511e-05,3.1250706491264505e-05,9.0780663130134827e-06,0.00024298022224933621,0.00032897043644466452,-4.9635042849690337e-05,-0.00025080608182359137,-6.2401398023256499e-05,2.4301406292873894e-05,0.0001683865398525545,-0.00048000724385677637,7.1275259590829743e-06,3.2238385105479094e-05,3.6984416315392491e-06,4.1013281144373436e-06,1.2453631820712205e-05,1.9009674833353441e-05,6.3004926513071483e-06,2.4769091650918459e-05,4.0482553608719261e-05,9.4944787527074563e-05,1.7135352083593758e-06,1.6294686899759381e-06,-1.1611741805041976e-06,-1.5419141489394835e-05
income_deprivation_rate,-0.0084689904182750596,-0.0013342239690439671,0.00035523976809265369,0.0012769983468253409,0.00054781237661893553,0.00086302795140389126,0.00012636100455925924,0.00032897043644615904,0.084817642766068804,-0.026835935793690223,0.00076330280055290911,-0.0012078435150215626,0.0012684251326978225,0.0060628250215835986,-0.013109274781814576,-0.00021882884796413206,0.0017985950494710757,0.00056533583049591003,0.00015143591392280574,0.00054537986634424615,0.00022392449889874037,0.00083888604748505533,0.001566698457273472,0.002747241352053472,0.0028927311292901905,-2.4265266712805533e-05,-4.9899486548230563e-05,-0.00014480172133406438,-0.00017389355180323814
deprivation_gap_pct,-0.0006099152297041802,0.0003794349108447906,-0.00010935585263927757,-0.00045342021055510011,-0.00015639895346657008,-0.00019062598343442405,-0.00014659432219141111,-4.9635042850597807e-05,-0.026835935793690407,0.020170503765665874,-0.0041326296990365731,0.00020456707814098867,-0.00028060188799812578,-0.0012658089614194779,0.0031308499045269969,0.00043725748567171701,-3.614288631167916e-05,0.00026764009372504734,0.00058103475407917282,0.00019713851471136836,0.00053171171704998626,0.00037316250841805041,2.0980102113700802e-05,-0.00062586053715438825,-0.00036685687326289346,-5.640360439166046e-05,5.0483750529307239e-05,8.7521404953525713e-05,4.8395278200866905e-05
