term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,z_temperature_sq,z_gust_precip
Intercept,0.13910662508290925,0.00013066603620956319,0.00028417386204196155,-5.880544215390056e-05,-0.00034843584758899489,-0.00050585259979956656,-0.0013866084773637355,-0.011786624244565544,0.049740527395679419,-0.011087883881639889,0.011804374732556761,0.0013664426380318561,0.00038160375392121549,-0.0026016661525001244,0.0086170741247469443,-0.0015752880000674029,-0.0012743187883541827,-0.0021404856011834534,-0.0021933267805526466,0.00025479791787455476,-0.0025085224458290829,-0.0030248706967791776,-0.0025343652002382169,-0.0011815159140848739,-0.0014529776354058493,-0.00013385092238251501,-0.00011718617131765176,-8.3876644979474568e-05,0.00041213493488181328
z_gust_0h,0.00013066603620908151,0.00037603325741738668,-7.0214379928346734e-05,-0.00022908959524205907,-6.9090622018255917e-05,-7.1679389925582033e-05,-0.00012250383011190767,2.0339048340052735e-05,-0.00053246126677134234,-0.0006193927763185848,4.4005514365805858e-05,0.00012892821005382998,-0.000170619302175948,-0.00071658259428121712,0.0014129462095373261,0.00010584245515274334,-8.9203767957798258e-05,0.00016000099696295681,0.0002940542557744978,0.00023616617190760829,0.00030131906428728207,0.00028152422579387352,0.00010292281575369529,-0.00018016613326674231,-0.00024758735072840564,-4.6123315550568895e-05,6.3432271188891871e-05,4.863582685496412e-05,1.2967263785673632e-05
z_precipitation_24h_sum,0.00028417386204193098,-7.0214379928346883e-05,0.00010138417023505735,2.9144110097342959e-05,7.1540873408817014e-05,1.5380222164593165e-05,-3.2628766789976397e-05,-2.9861108079750713e-05,0.00030880898547501869,-0.00034339173314884135,0.00033643302780016004,-7.782410395215425e-06,4.7979833778019794e-05,0.00018883104507826605,-0.00014897763804495246,-3.2147664183064818e-05,1.8358417158697345e-05,-2.5931517264476619e-05,-2.5657559183070347e-05,-4.6226385083883801e-05,-5.8827295207548622e-06,-6.2501447493318575e-06,-6.5702594756404529e-05,0.00011669123941337413,4.3780128651474969e-05,1.8563038763317075e-05,1.1319710177956339e-06,-4.7853087504775465e-06,-3.0300702786124778e-05
z_temperature_0h,-5.8805442153123241e-05,-0.00022908959524206064,2.914411009734261e-05,0.0004308181891337922,7.7779197773384274e-05,6.9641496754910677e-05,-5.9193922777389408e-06,3.8062784373495574e-05,0.0014253222850868338,-0.00084458402497208191,0.00015241029240096232,-0.00017888107416844749,0.00012285125131285908,0.00043773185635589712,-0.001493139586046131,-0.00019590766820045091,-8.0727916154123378e-05,-0.00041101701116320649,-0.00072937172799700549,-0.00068852523719421885,-0.00070781328167818865,-0.00064761352814578113,-0.00044945707629822501,-3.0810613825894747e-06,0.00015344202908908972,3.333435407656107e-05,-9.7830647753343914e-05,-7.5302873203097426e-05,-2.7618563817011669e-05
z_pressure_msl_0h,-0.00034843584758881816,-6.9090622018256215e-05,7.1540873408817e-05,7.7779197773386171e-05,0.00020911185101026719,1.1307379658267673e-05,3.0448525643575149e-05,2.5004281909632679e-05,0.00025633072846461868,-0.00048177996413050834,0.00018290246714856934,-8.9723130721400658e-05,6.8354604262691902e-05,0.00035479788528687648,-0.00052180046197986907,-2.2768305516271424e-05,-1.2268971473351184e-06,-1.7047581386961324e-05,-5.3737741084103451e-05,-2.603236731153939e-05,-1.5939412719162026e-05,5.9722311693124959e-05,7.1703413874976474e-05,0.00020542906907097428,0.00018956266757569557,3.7671899070833803e-06,-2.0880666948317107e-05,-1.7228079131679299e-05,-4.4139764286148548e-05
z_gust_sq,-0.00050585259979960614,-7.1679389925581829e-05,1.5380222164593358e-05,6.964149675490985e-05,1.1307379658268172e-05,7.9012735125260722e-05,6.0698544837599631e-05,2.2080389465605584e-05,0.00055008761374102967,1.8778162420207257e-05,-6.6713485393193287e-05,-7.0652885719075232e-05,5.6031891912593267e-05,0.00029669574530197891,-0.00079499918198340654,3.021338122521083e-05,0.00013399445590129446,6.0402494490459249e-05,1.2884969366959441e-05,1.8312323090092596e-05,2.2114000075628406e-05,3.0539384841257732e-05,3.543792503216713e-05,0.0001360255313857912,0.00016384043543562132,3.5442545194047271e-06,8.8956217556573427e-06,-1.0068363886592661e-05,-2.0138882252536631e-05
urban_binary,-0.0013866084773636596,-0.00012250383011190637,-3.2628766789975448e-05,-5.9193922777447506e-06,3.0448525643572841e-05,6.069854483760075e-05,0.0025743696184397031,-1.4082283746395451e-05,0.0060774630699759183,-0.0043165592020152806,-0.0016780623424331102,-5.5963892238176516e-05,0.00025182059968662792,0.00052039922233482541,-0.0016999888887556408,-0.00012816869624201652,0.00045550393628521419,-3.6273208254549615e-05,3.9131455384120958e-05,0.00026949299252886354,0.00025361196698784591,5.3067990700686437e-05,0.00040444169520304543,0.0001989375190171584,0.00014513041659589731,0.0001140177620344924,5.800364045990441e-05,-1.3889460829051075e-05,2.5799525756805206e-05
log_population,-0.011786624244565374,2.0339048340038139e-05,-2.9861108079757361e-05,3.8062784373559026e-05,2.5004281909643914e-05,2.2080389465596528e-05,-1.4082283746415712e-05,0.0010673366533734277,-0.0046313166527224905,-0.00076721960885183568,-0.00062878530001475802,-0.00014838507988221733,-0.00011036713304236815,-4.8115850503320233e-05,-0.00053294826201241946,3.88942007508008e-05,-6.2643873168819275e-05,-2.2225209842316037e-05,-5.6660225268835876e-05,-0.00027475286579274377,-3.4386018455436106e-05,4.5663009205696101e-05,-3.7482324228356299e-05,-9.2741578895916526e-05,-7.6401608563262584e-05,1.8243339635234729e-05,-2.4771525571418025e-05,3.1494819469198439e-06,-4.3095777703873922e-05
income_deprivation_rate,0.049740527395671683,-0.00053246126677130689,0.00030880898547503544,0.0014253222850866875,0.00025633072846457624,0.00055008761374106718,0.0060774630699758202,-0.0046313166527216509,0.35127639971165064,-0.16662354233038695,0.0094116597113358073,-0.0029316723049000082,0.0016720590849342723,0.0058516519103400926,-0.016333691467285066,0.00067875731765788176,0.0035299261042157043,0.0010749958771870804,0.0029849122020402545,0.0057435002457287511,0.0019503856209831698,-0.00020023017423560806,0.0056252820629464247,0.006436899263459187,0.0038829203415667824,0.0011844085434890184,-0.00046576444843557098,4.8253141839343229e-05,-3.3491932256991041e-06
deprivation_gap_pct,-0.011087883881640672,-0.00061939277631857395,-0.00034339173314884992,-0.00084458402497202434,-0.0004817799641304506,1.8778162420187809e-05,-0.004316559202015284,-0.00076721960885211367,-0.16662354233038801,0.1819521904891854,-0.02729825554841454,0.0021727285308784958,0.00042450469570027265,0.0014518695685370084,0.0022518462422471126,0.00032026747207513539,-0.0011273959863720398,0.0018168659693964778,0.0017842402818386849,0.00051681130724329097,0.0017735507732148175,0.001139079173477172,-5.2315589130008533e-05,-0.0014014726223640145,0.0014489061975741916,-0.0012529462375832714,0.0006983536003939883,-8.2267330715487348e-05,0.00035099107963338424
