term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,z_temperature_sq,z_gust_precip
Intercept,25863.830513447781,8.7512508351039742e-10,1.8700596626786137e-10,-9.5454311122011859e-11,-4.0935432821243012e-10,25863.325093979722,18968.898110335474,311809.86222115945,2772.3516397330181,6985.1169261548102,7117.963906619234,8867.5845926261663,8640.145831344289,2550.8520626378099,2955.1876382494784,2090.9203453800037,1676.9817998479323,1901.3880443122184,2134.8918392277783,2232.943216313512,1783.6253079154319,1803.3366672265008,2198.0692729170487,2249.1166393379626,2349.1896943017673,3.2230218494078144e-10,25863.325093979071,25863.325093978227,6816.353791642935
z_gust_0h,8.7517948443860405e-10,25863.325093979722,6816.3537916429341,-1290.2198651403232,-12716.16716100773,32270.370519839667,-1826.0201554771188,-1657.4174611044339,-121.15510883049291,-195.05887211871664,-407.89692197658633,1753.2367800332656,-880.06654483573084,543.42720765406432,3463.0758477153536,-160.36008776928603,-404.08127493279494,-362.15355239869689,-845.22381661931354,-494.33347162595442,-611.43260261661101,-678.58844046885201,-315.54970020227887,-14.465727148860982,-56.906824428600245,2895.8725915855111,4306.9947762113252,-7960.7006090200202,6269.8723386985066
z_precipitation_24h_sum,1.8700774262470077e-10,6816.3537916429341,26071.978181234874,-990.18992356783508,-13154.219804410855,6269.8723386985066,-651.48965370719714,-565.63817744342464,-46.616660981092451,-84.515315763336346,-151.01900811743735,-887.3609601981982,419.7273776490116,539.63060472366362,46.883393791862623,68.885422582391413,-518.83232854719313,-324.56517353584093,-95.695528385280809,-201.37140582368713,-390.8906769993082,-251.82256063123845,957.33328460767416,618.28121747497323,-16.867617367295491,1132.7150662025613,798.65381283823785,-7286.8093646656098,7401.6020670083781
z_temperature_0h,-9.5027985480555799e-11,-1290.2198651403235,-990.18992356783508,25863.325093978227,2479.724783224458,-6406.7973771041115,369.30514526935951,223.19667313277284,39.226250980824901,51.729486389822689,47.165971320129223,-5.633954435090935,440.84523340466569,-1823.5081839299505,-1948.8021119100908,-1266.217538002687,-779.65794111157652,281.61784540080617,2113.4785888335755,2797.8921199407382,2066.4041654133853,1552.3577441574878,556.52933316009762,-1039.3631486949787,-1958.4396099891783,240.51613872866281,1188.8425137411521,9167.6799908723096,-1165.436556189273
z_pressure_msl_0h,-4.0931880107564211e-10,-12716.167161007726,-13154.219804410855,2479.724783224458,24911.756448444503,-17449.360349699495,1117.8184565663641,826.59121598579316,70.580373802115332,120.51348861389644,244.15372316872867,232.24943421569932,-658.91479140951913,-816.78501163336523,-1200.2024358304272,-480.16647964726798,687.99976724808027,642.9601890194607,860.75726059820374,441.31419236899654,494.61143121747557,277.22150512493533,-627.6148084262677,-1074.6084880683181,-378.54729521363748,-2372.6076738499942,-2566.7590987555172,6097.2715273412377,-5138.9566165370361
z_gust_sq,25863.325093979722,32270.370519839664,6269.8723386985066,-6406.7973771041115,-17449.360349699495,129388.54543467359,16111.106758233886,309138.10231805069,2572.5104586508087,6644.7611894865058,6407.3721004439221,13176.537253534116,5783.8869078333337,2938.3837809705788,9610.2983054542801,1494.5705695087877,1097.8668829534713,1283.1617322789011,915.05878108441584,1317.8960587807805,770.76953245530615,1231.4682755322542,1602.3718172609833,1750.4741044445973,1672.265681159957,8761.2300115075268,36724.209665516675,17713.086977696639,23000.666188935244
urban_binary,18968.898110335474,-1826.0201554771188,-651.48965370719725,369.30514526935929,1117.8184565663644,16111.106758233886,18968.898110335474,230220.15670388599,2158.0908605083114,5384.9273623976351,5818.8068549182999,6251.2442969838557,6395.2510783586395,1842.7058065746546,1753.3029653364522,1560.4099982399741,1302.5958857788951,1454.8990329330179,1638.5700154223391,1669.2643014181911,1345.5324471141168,1331.8828362587681,1638.4840213396792,1689.4753982223192,1790.8161817580635,-1204.0370835563579,17116.456627357496,19326.984467549271,4601.5305142719053
log_population,311809.86222115945,-1657.417461104433,-565.63817744342657,223.19667313277648,826.59121598579497,309138.10231805069,230220.15670388599,3764877.2893007011,33575.270364946438,84522.558788639901,86717.609374380801,106556.17195985594,104324.06421789418,30758.417995174706,35253.466266521908,25256.917656013964,20265.428129586504,23006.380771667427,25789.488649326864,26942.61087943615,21547.320800693306,21714.097099535229,26518.833984942368,27136.797066339579,28364.381492258533,-795.71277769454014,310316.40454565984,312050.49378880684,81618.39392915112
income_deprivation_rate,2772.3516397330191,-121.15510883049291,-46.616660981092465,39.226250980824865,70.580373802115218,2572.5104586508087,2158.0908605083114,33575.270364946438,335.31234512948896,813.15136253603157,855.51850091394033,919.8469894630565,937.01447312945209,268.17777952069508,280.6245406303849,227.99299695717963,186.98306232862546,209.48315467496184,229.60769555479033,243.63524521194918,198.03047204355582,193.13459527769294,237.20498544686581,246.09335757337206,256.03229526656946,-53.859245526511764,2618.592222679451,2771.3241445984218,703.88523244548901
deprivation_gap_pct,6985.1169261548112,-195.05887211871664,-84.515315763336318,51.729486389822576,120.51348861389644,6644.7611894865067,5384.9273623976351,84522.558788639901,813.15136253603146,2065.5003920036929,2183.8113053369539,2344.1776358149696,2361.0778433093828,679.03797874828695,739.39643128896307,569.57535610221908,466.98568548630101,521.22796736388511,578.00690191989418,607.37749116883322,489.95887282684413,483.45833820354386,594.29833423948037,624.00783847818479,643.90513486783163,-122.01277925185829,6655.0919734377703,6974.8136651512878,1794.0162085041577
morans_i,7117.9639066192349,-407.8969219765865,-151.01900811743747,47.165971320128996,244.15372316872879,6407.3721004439221,5818.806854918299,86717.609374380801,855.51850091394033,2183.8113053369539,2671.9037335029911,2370.9504807118878,2414.1573397609513,685.49894806345799,705.11056890477903,590.49228966333794,487.28863346379512,536.53760180726704,590.51874952347521,624.84343498075327,498.39215228168086,476.2605887822765,602.40947046510007,660.57967200341295,666.0058476895382,-329.74653479863508,6465.3639532589759,7141.5906118480962,1787.8278500528645
incident_year[2022],8867.5845926261663,1753.2367800332659,-887.3609601981982,-5.6339544350910842,232.24943421569938,13176.537253534116,6251.2442969838557,106556.17195985596,919.8469894630565,2344.1776358149696,2370.9504807118878,8867.5845926261663,0,0,2148.1884634087473,544.16139157334214,543.01852092252386,516.72841365971203,517.5713180572659,684.25731048020327,643.31902128745776,610.63645857164749,561.03837670521591,807.45875467442204,815.18462692230275,459.28801623315496,9679.9265140648313,10337.261430845329,1742.9368689067098
