term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,z_temperature_sq,z_gust_precip
Intercept,0.050134829882169517,0.0022584604919181064,-0.00050573505518601645,-0.0014774975339652166,-0.0010667913279822235,-0.0016025931304347806,-0.0018955650334662674,-0.0035750859426296367,-0.028101302525089213,0.0043328140648908973,0.0033473181204003006,0.0018796786009700423,-0.002212689961692512,-0.0093658275704527859,0.013851503564066886,-0.0013202759672620024,-0.0033409291089196744,-0.0024036787431587279,-0.0015042804142876148,-0.001777165361937691,-0.0018441770907316262,-0.0017342821385261801,-0.0030522852347280543,-0.0043363228625239543,-0.0053200356231161653,-0.00014968609687579965,0.00026661895107382851,0.00014948103539971341,0.00054807206634921609
z_gust_0h,0.0022584604919183792,0.00069052568890489655,-8.0230516516238996e-05,-0.00054129707632940964,-0.00014933674673812562,-0.00028137861377060573,-0.00030586146486043583,-0.00015396183549289219,-0.0037942684483239435,0.00092017798359180576,-0.00010517959718360906,0.00034785761612010104,-0.0003380692381359428,-0.0013215626894084187,0.0023258463348685312,0.00015162562154450368,-8.4610501698068456e-05,0.00033025348558993455,0.00070613803655723807,0.00059564386566062822,0.00065815100169394885,0.0006276949406657232,0.00023766466083806196,-0.00031997187690276406,-0.00057399326671647927,-2.9997201057427324e-05,0.00020371440999345558,0.00010388963969062918,0.00010796041809350154
z_precipitation_24h_sum,-0.00050573505518601081,-8.0230516516239321e-05,9.6464575858680189e-05,4.8853675489192665e-05,6.7513628224039049e-05,3.8981129971434377e-05,2.7274318798412602e-05,3.2992764621882545e-05,0.00059303679770591946,-0.0001510110976182875,-1.6282899919380955e-05,-3.1457034595360695e-05,5.7648045533875425e-05,0.00023184739649733836,-0.00028551484860828185,-1.6304026964349277e-05,5.7449852671456213e-05,8.4576402053858516e-06,-2.1314219890548379e-05,-1.453556161146341e-05,-1.2441242040545097e-05,-2.1258739081194508e-05,-1.4938988294901254e-05,0.0001010557544182589,0.00010694331740265599,4.8053223294592269e-06,-2.0864597461625531e-05,-1.5194431010812535e-06,-3.3867803033737156e-05
z_temperature_0h,-0.0014774975339651652,-0.00054129707632940931,4.8853675489192618e-05,0.0007180185659661836,0.00013974306358202407,0.00024245973748517226,0.00022972155050519748,0.00013117563530805543,0.0035494725823319662,-0.0010089203136733605,0.00016023277096477849,-0.0003504129469973097,0.00025533527178383511,0.00095626507628768828,-0.0021177685885701561,-0.00019383007457348449,-0.00014235525696150209,-0.00064711659577514253,-0.0011300877095537739,-0.001105955904894167,-0.0011250362660713677,-0.0010654664209654987,-0.00057982804325187735,9.0695110387801965e-05,0.00039693639467371637,2.9307403371010858e-05,-0.00019737644328772847,-0.00012449814054683297,-0.00011459341782180963
z_pressure_msl_0h,-0.0010667913279825321,-0.00014933674673812527,6.7513628224039402e-05,0.00013974306358202401,0.00025194225712107113,9.1880172826117507e-05,0.00011759366919234424,6.6783703827846374e-05,0.0012763843534980503,-0.00030269107098032839,-4.9512998595223821e-06,-0.00011840028505355179,0.00016953940023615467,0.00065324730327342658,-0.00085686865617302281,2.7687291960125209e-05,9.655037972697247e-05,2.6865900988731933e-05,-7.8434904140680024e-05,-1.8355214898649565e-05,-4.7093269862433572e-05,-1.659489797767376e-05,0.00016401577297078563,0.00031946068621719481,0.00035220055117915808,2.6419863771336353e-05,-0.00011626359183163819,-2.3466233840460205e-05,-8.5142986556995215e-05
z_gust_sq,-0.0016025931304348732,-0.00028137861377060573,3.8981129971434323e-05,0.00024245973748517245,9.1880172826117236e-05,0.00016559500327076847,0.00016466974352378732,9.9218078574791907e-05,0.0024121265793774021,-0.00052517282389990063,7.1149047442654276e-06,-0.00020271728342475013,0.00018974233297535412,0.00078907033045888606,-0.0014300004902851541,1.9024327106317489e-05,0.00016107028336109837,-2.0470254952845606e-06,-0.00018948417816421311,-0.00014585877538407822,-0.00016230506121634957,-0.00015057387900234821,3.1007433707221026e-05,0.00028413530463121671,0.00038411838140077421,1.1934087011240553e-05,-6.7174909604935878e-05,-4.1899155333287099e-05,-6.3111145168769623e-05
urban_binary,-0.0018955650334669305,-0.00030586146486043692,2.7274318798411677e-05,0.00022972155050519585,0.00011759366919234562,0.00016466974352378658,0.00043623427938329907,0.00010522434635276577,0.002225148234848096,-0.00055688059376379827,-6.7762256234183806e-05,-0.00020187342124609439,0.00022518235535772367,0.00087071249457699106,-0.001499025129077333,1.6573398595398596e-05,0.00019658257256234765,8.0906140023523484e-05,-0.00011623382869278224,-5.5405507439307285e-05,-6.9480577969733006e-05,-0.00011513835531357509,0.0001110780903064305,0.00035332164720105428,0.00044278236321853507,3.1866234527922279e-05,-0.00010225326012394398,-3.9440161264586722e-05,-7.3883186144556458e-05
log_population,-0.0035750859426392973,-0.00015396183549282375,3.2992764621891659e-05,0.00013117563530802725,6.6783703827841915e-05,9.9218078574787855e-05,0.00010522434635263409,0.00028050305259203883,0.001659541878216518,-0.00041271256752398541,-0.00023278979286329339,-0.00015038850803649332,0.0001003028432895352,0.00047518565632288611,-0.00092130592197321216,8.4569002939437959e-06,8.3419524417871496e-05,-3.5704131078212729e-06,-7.6501780278023676e-05,-5.5937460679058231e-05,-5.8291170224857039e-05,-5.9853961766500815e-05,4.1036255695898365e-05,0.00014594300411402029,0.00023844710709551575,1.5866322794420141e-05,-3.2886679117998941e-05,-1.6568692046733997e-05,-4.3332897011928133e-05
income_deprivation_rate,-0.028101302525065503,-0.0037942684483239955,0.00059303679770591176,0.0035494725823319441,0.0012763843534980466,0.0024121265793774255,0.0022251482348483909,0.001659541878218699,0.10709118069332624,-0.030469217547013705,2.3035172393340053e-05,-0.0030753027673379825,0.0029363844147046406,0.012462711531712068,-0.021426483756246645,-0.00012988983700608768,0.002728701177442016,-4.5532658317325088e-05,-0.0021345356286352275,-0.001454668408384629,-0.0019209436915567271,-0.0013775433536627004,0.0012238751321864711,0.0047206184936070712,0.005774885374051816,0.00022360376632075949,-0.00071025991655249631,-0.00050894904380941017,-0.00072498725072393767
deprivation_gap_pct,0.0043328140648864408,0.00092017798359189499,-0.00015101109761828712,-0.0010089203136734281,-0.00030269107098032227,-0.00052517282389992221,-0.00055688059376393401,-0.00041271256752547277,-0.030469217547014975,0.019672293400936756,-0.0035911311718392811,0.00063792451174177569,-0.00057976971402236939,-0.0025075464947038571,0.0047924606110769591,0.0004140057398683504,-5.1784461830216482e-05,0.00062129522564577789,0.0012555473305706827,0.0009036871236057216,0.0012801246898349315,0.0011080201927881009,0.00032662818701240592,-0.00085655523320390654,-0.00085229455411553316,-0.00012980768582131194,0.00026154106668519763,0.00017130436500486111,0.00020854253146685502
