term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,z_temperature_sq,z_gust_precip
Intercept,0.15640612027439738,-0.00066486995717435443,0.000633308685617832,0.00023011376514750305,0.00021858404407306691,8.6572847412433421e-05,-0.001133550993601953,-0.013668653510601165,0.063391068079138913,-0.0084847197198138144,0.013870801885704854,0.0006740073336743025,0.0011340645284094542,0.0016149337857698733,0.00070628697599609729,-0.0013640793433187459,0.00029898749951286875,-0.0012274945051793779,-0.0011196961916494473,0.001101691404054391,-0.0013775398755313958,-0.0017556916488762509,-0.0008950775791389282,0.00035735983095405683,0.00061736300060508001,-0.00013609082991481171,0.00018908604238745735,-0.00011489086138652369,0.00011470982083097633
z_gust_0h,-0.00066486995717467492,8.6066065179315909e-05,-9.2158190090463333e-06,-1.9238056642917971e-05,1.0988878897026169e-05,-1.9226454056085847e-05,-8.7339763843058315e-05,7.5074509392283569e-05,0.00051328184800854542,-0.00098069216401082079,0.00022376628776647406,-2.3499589781949425e-06,-3.7561544915921354e-05,-0.00012618015159357541,0.00015009033737309121,-3.4503606824495711e-06,-4.6872278513704315e-05,3.9558113946520964e-05,3.5924616817239792e-05,2.6384245042421409e-05,7.6406762920066545e-05,6.3044184415976943e-05,2.9105937978964708e-05,-2.3155055148310619e-05,-2.8904892081119976e-06,-4.5501972794541017e-05,1.9462102163659833e-05,5.5414321568771994e-06,-5.0236420193803277e-06
z_precipitation_24h_sum,0.00063330868561778809,-9.2158190090464163e-06,5.5860354303561272e-05,1.145854241682929e-06,3.2453927418419339e-05,4.4123744522210353e-06,-4.372903909567904e-05,-5.3555815528495881e-05,-0.00015749590675734969,-0.0002179536872844235,0.00035869504347815014,2.586932925956218e-05,6.4118402303313184e-06,-1.321402024946508e-05,0.00010190468956913135,6.5777010217317561e-07,-1.8181777063762485e-05,-3.531713781359568e-05,-4.2379220685385468e-05,-3.8535277274776967e-05,-1.447209008273956e-05,-3.4437355382201287e-06,-7.1599996150536479e-05,2.8683160632363967e-05,-1.9795010532899612e-05,1.9191159882828429e-05,1.1106396197752013e-05,-2.2329201394897842e-06,-9.4598359949084178e-06
z_temperature_0h,0.00023011376514761622,-1.9238056642916978e-05,1.1458542416830345e-06,0.0001535911032334778,1.06225845507895e-05,1.0415602473781988e-05,-4.4116435996702767e-05,8.445318376454811e-06,0.00015537005644814265,-0.00030474695835156515,1.8700089514241631e-05,-5.4418253359457559e-05,1.083530062844178e-05,-1.0006712964608013e-05,-0.0002232721914568372,-0.00011002255632004762,-2.9506373642354299e-05,-0.0001739235068172698,-0.00032205718409344106,-0.00029724287563410762,-0.00030925386617952562,-0.00027056565811784961,-0.00025766937805090945,-6.1471092100730086e-05,-2.7438677927668772e-05,2.4475434271123523e-05,-3.2293327251913926e-05,-1.5207681421076476e-05,7.9133471005085817e-06
z_pressure_msl_0h,0.00021858404407301072,1.0988878897025845e-05,3.2453927418419251e-05,1.0622584550789647e-05,7.8317543441815517e-05,7.2193238837934352e-06,-4.3777174663577863e-05,-1.2397358217798367e-05,-0.00051416151211898531,-0.00020484851916871669,0.00020047487385722683,-2.3665555857765349e-05,-1.1350801389148274e-05,-1.1972744201142486e-05,7.4774815596414067e-05,9.7106405744591993e-06,-2.5541166082904873e-05,-1.5919453745164215e-05,-2.0790612459843338e-05,-1.1944498496251069e-05,4.7046823208866456e-06,6.0168055325102569e-05,-2.6423636153061436e-05,7.5811272310177496e-05,2.724963131806949e-05,-6.9375119072973053e-06,1.6735634628619822e-05,-4.8351530390816729e-06,-5.5193184873193048e-06
z_gust_sq,8.6572847412408335e-05,-1.9226454056085769e-05,4.4123744522210201e-06,1.0415602473781865e-05,7.2193238837935013e-06,1.4425667193422704e-05,4.5117587298834417e-05,-1.2701352991325169e-05,-0.00015996612673344293,0.00020765975286533842,-8.2626459037086369e-05,-7.9864893821733126e-06,1.4268477053326051e-05,7.1851363916803688e-05,-9.6696157501963617e-05,2.6286423017798244e-06,3.6401214160708718e-05,-4.2816220570192146e-06,1.7438214855617559e-06,3.0256037757235728e-07,6.3608693188799768e-06,1.6148369894665182e-05,-1.369154459607296e-05,3.2322601016520155e-05,2.8141205815275105e-05,9.7262464624589025e-06,-1.2352317666107077e-05,1.101210456901811e-07,-2.7349828742557455e-06
urban_binary,-0.0011335509936012524,-8.7339763843056215e-05,-4.3729039095678837e-05,-4.4116435996704739e-05,-4.3777174663578059e-05,4.5117587298834397e-05,0.0034943143309277497,-8.2734764262811902e-05,0.0082300370959542384,-0.0043116017101002121,-0.0030329270186673575,-9.4471970421750048e-05,0.00023885887607634807,0.00047328053230539049,-0.0012622383611509286,-3.0763600611679223e-05,0.00048444209124887875,-1.676915505262309e-05,0.00010899500960489514,0.00034716439488612132,0.00026100463824989685,8.4543833624869011e-05,0.00042967314065125322,0.0001244969470221014,0.00016004059841296698,3.1344310543073099e-05,6.8360688558184336e-05,3.7258675809380402e-06,1.2855696670382283e-05
log_population,-0.013668653510603668,7.507450939225248e-05,-5.3555815528497284e-05,8.4453183764668558e-06,-1.2397358217801008e-05,-1.2701352991323113e-05,-8.2734764262799312e-05,0.0012541951072958736,-0.0057578222752219556,-0.0010831107826107988,-0.00073623413885712946,-9.0275128889055636e-05,-0.0001494777946403019,-0.00027200687165979034,-8.4780354210640641e-06,4.9690702966648007e-05,-0.00011098822543340437,4.2006584560184808e-07,-5.3955339057930957e-05,-0.00026104829354789595,-3.7338797764448679e-05,2.8339769673186294e-05,-7.8006174079539776e-05,-0.00012789375744258317,-0.0001645594925948385,1.9198819514106927e-05,-3.5493247174173572e-05,5.4915423912862438e-06,-1.5063209060386507e-05
income_deprivation_rate,0.063391068079148752,0.0005132818480085606,-0.00015749590675733473,0.00015537005644819494,-0.00051416151211896904,-0.00015996612673343575,0.0082300370959540632,-0.0057578222752212695,0.39910261590979579,-0.17714787862105541,0.0015979112294125049,-0.0028861142680462006,0.00037755729571798324,0.0031421301124972302,-0.0071389276165473225,0.0011355768622123342,0.0030921003914786724,0.00090476873408049899,0.003510696965423252,0.0065626008483846742,0.0027466693589616848,-0.00050068544161784826,0.004932676588932111,0.0049303070901918992,0.0019504213699977689,0.0012459198419671157,-0.00059842936879172105,0.00019805003176586613,7.5514596019833784e-05
deprivation_gap_pct,-0.0084847197198308615,-0.00098069216401082838,-0.00021795368728442607,-0.00030474695835158732,-0.00020484851916871617,0.00020765975286533717,-0.0043116017101002676,-0.0010831107826102461,-0.17714787862105802,0.18885224030292647,-0.02596540023391232,0.0020530938382441761,0.0011767497517899148,0.0022464710304011875,-0.00026706442494162449,-0.0002116762500826055,-0.0013228464407319626,0.0014547832237046523,0.00094311648586424426,-5.6257996075715148e-05,0.0012540846906378363,0.00098297716487027271,-0.00012665804937454019,-0.00095212988575555236,0.0019359326990127414,-0.0010082875104349769,0.00052548081256916413,-0.00012948234001276747,0.00026210746446206476
