term,Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,z_temperature_sq,z_gust_precip
Intercept,27503.451894104561,2660.1076363531756,463.00656341929295,-1348.1817284729634,-1291.513312244635,34338.188837683185,20564.13773112253,331700.24262865965,2967.2331953041612,7496.5044892371679,7732.1756261615292,10290.892423119578,8746.8192627533936,2699.1777020011136,4471.9980629715292,2140.9409484741195,1667.1242615585177,1846.5842233487695,2135.1461675161217,2169.7897130607025,1766.7014562547079,1799.0571503231888,2183.4653725778094,2301.6438418515304,2458.1733786788859,-2135.8748500870752,25112.881261395938,26738.959846813013,7314.1280664189826
z_gust_0h,2660.1076363531752,34338.188837683185,7314.1280664189826,-1715.036990764032,-16680.334012268802,58969.374707678238,-234.87435717878202,29893.388833374367,135.52695464157273,476.32049128169297,209.83399524762251,3752.5462085906956,-629.45248574165475,655.94213706131563,5319.7965121065099,-64.250607560342473,-314.2788908708564,-240.87615503871663,-842.92746665618336,-409.82670652048324,-599.50762493636535,-617.68164502964078,-206.27390884075012,92.206693199537924,23.464641291495315,3498.8521563538079,6818.401214510106,-7592.0937620320801,8109.6960431435355
z_precipitation_24h_sum,463.00656341929277,7314.1280664189826,27623.795223891462,-838.76873745656246,-14165.909144102461,8109.6960431435355,-177.42573157685294,5030.1598706442073,7.1901882599937981,53.231844068688481,-0.19365249772617421,-892.21881014120186,556.49161853671728,719.6718630690591,30.091733896902319,80.241308534359746,-485.983492718224,-255.74498473583188,-85.357769543035857,-174.87085260830645,-369.758079700883,-206.04639958353627,1027.1462848925889,803.32171075951692,6.7259311608034311,952.93199071127606,936.82068781647945,-7058.646914130828,8601.9022693906609
z_temperature_0h,-1348.1817284729639,-1715.0369907640329,-838.76873745656258,26738.959846813013,2471.6747376629796,-10150.538654359356,-689.84255179997285,-16110.718788412325,-107.49457680850458,-316.54110877680034,-336.86507758905356,-783.37123830344342,51.257321538457724,-1845.169224538158,-2900.9900076010631,-1299.2315169851465,-789.3021083020468,266.15004694556421,2091.6535585505922,2693.8944183812564,2029.8710802103847,1548.8708211149865,572.84525562349575,-1069.9937271019742,-2061.2805218230346,164.06365904469638,-562.70371264409641,6232.8504232081195,-1630.2207432554287
z_pressure_msl_0h,-1291.5133122446346,-16680.334012268799,-14165.909144102459,2471.6747376629792,28359.580269452963,-29700.048183095954,338.80213612959801,-14509.897207256023,-55.930039147273483,-200.99238764308626,-38.389994949302661,-524.97576831698984,-790.37116632690459,-950.65370163316015,-1775.9005402205598,-450.13286489336281,612.85199468525605,526.07610283897668,834.3713334767416,386.84260571479797,471.0213784609744,227.94259789248278,-693.45343830690535,-1293.4609657043009,-494.71527587076912,-2660.8135810912936,-3851.4067649282415,5856.6084050504915,-6399.6539145453899
z_gust_sq,34338.188837683185,58969.374707678253,8109.6960431435364,-10150.538654359356,-29700.048183095954,229381.95285358661,21757.513297012942,410150.6252998102,3422.3503014254898,8881.5000855848248,8625.2665577316839,20284.207653628622,6488.3464996709254,3181.5380616308348,16545.525209743289,1707.0867942750397,1203.4937954264922,1491.2069909322768,932.4470102421767,1358.5120969094794,786.94857485408011,1301.3421670320531,1698.9393760020562,2084.6408453345848,1876.9102201703267,9013.5794588438166,43760.790401833074,20858.746311780815,28791.195928759447
urban_binary,20564.13773112253,-234.87435717878242,-177.42573157685248,-689.84255179997263,338.80213612959801,21757.513297012945,20564.13773112253,249574.21707073456,2339.921523829023,5860.36254740614,6399.5575358148908,7388.2755746048033,6636.7824461666551,2025.1023731990672,2875.254085071118,1627.4049183762281,1316.5853025209942,1444.1932314727437,1675.1685714228022,1638.1693346075065,1371.0630285611478,1374.1804329845011,1660.6284473275173,1774.834293720899,1898.4173874293879,-2398.4156074232537,17529.398156401356,20414.782376398278,5132.9335974056157
log_population,331700.24262865965,29893.388833374371,5030.1598706442055,-16110.718788412327,-14509.897207256017,410150.6252998102,249574.21707073456,4006516.8278543046,35940.609671362326,90728.201962877894,94203.285792448034,123707.82230280782,105680.61756114138,32599.909250807566,53494.761798213105,25882.489600771703,20148.911398490032,22353.269248544479,25815.218479641746,26186.895971097973,21350.908612913645,21696.366858189285,26355.237656780639,27780.5456628428,29694.18251485072,-26328.519555436797,301779.07150176697,322840.29711927468,87537.017038159232
income_deprivation_rate,2967.2331953041612,135.52695464157279,7.1901882599937981,-107.49457680850455,-55.930039147273511,3422.3503014254898,2339.921523829023,35940.609671362326,359.97126163857456,876.68980410400547,932.49531092823725,1077.393494083469,956.91259296734381,288.63852564982807,441.82812090638572,234.8253584541981,186.11475981237959,204.90773610749704,233.12825050514832,237.81491186535587,196.44985053174605,194.7640260963154,238.75742506765667,253.69397648958676,271.01948806023057,-276.45445535600862,2597.0748940363592,2890.2644678714501,764.32697206760088
deprivation_gap_pct,7496.5044892371679,476.32049128169302,53.231844068688545,-316.54110877680034,-200.99238764308629,8881.5000855848266,5860.36254740614,90728.201962877894,876.68980410400547,2233.3800172809274,2383.8075815891207,2746.7495313525023,2412.9741658898715,731.98588325694197,1149.8456460161779,588.84255160950011,466.42279967306308,511.53459630779071,588.96409247460895,594.21338129012133,488.14999071693757,488.44555652675251,598.68800667844312,644.05926402935518,681.29179015480679,-677.35087570012945,6622.2527843203388,7282.2175050268897,1954.5942194321221
