combination,bin,left,right,closed,n,total,share
E0_all,0,-0.5,0.5,"(left,right]",8979,60437,0.14856793024140841
E0_all,1,0.5,5.5,"(left,right]",25881,60437,0.42823105051541277
E0_all,2,5.5,100.5,"(left,right]",16671,60437,0.27584095835332662
E0_all,3,100.5,1000.5,"(left,right]",7786,60437,0.12882836672899051
E0_all,4,1000.5,inf,"(left,right]",1120,60437,0.018531694160861725
E0_weather,0,-0.5,0.5,"(left,right]",572,9857,0.05802982651922492
E0_weather,1,0.5,5.5,"(left,right]",2728,9857,0.27675763416861116
E0_weather,2,5.5,100.5,"(left,right]",3082,9857,0.31267119813330629
E0_weather,3,100.5,1000.5,"(left,right]",3098,9857,0.31429441006391395
E0_weather,4,1000.5,inf,"(left,right]",377,9857,0.038246931114943698
R0c_all,0,0,3,"(left,right]",11648,51173,0.2276200340023059
R0c_all,1,3,12,"(left,right]",24604,51173,0.48080042209759055
R0c_all,2,12,48,"(left,right]",12900,51173,0.2520860610087351
R0c_all,3,48,inf,"(left,right]",2021,51173,0.039493482891368496
R0c_weather,0,0,3,"(left,right]",2926,9254,0.31618759455370649
R0c_weather,1,3,12,"(left,right]",4085,9254,0.44143073265614868
R0c_weather,2,12,48,"(left,right]",1283,9254,0.13864274908147828
R0c_weather,3,48,inf,"(left,right]",960,9254,0.10373892370866653
R0c_historical_all,0,0,3,"(left,right]",18844,59834,0.31493799511983156
R0c_historical_all,1,3,12,"(left,right]",25247,59834,0.42195073035397934
R0c_historical_all,2,12,48,"(left,right]",13220,59834,0.22094461343049102
R0c_historical_all,3,48,inf,"(left,right]",2523,59834,0.042166661095698096
R0c_historical_weather,0,0,3,"(left,right]",3237,9806,0.33010401794819499
R0c_historical_weather,1,3,12,"(left,right]",4198,9806,0.42810524168876196
R0c_historical_weather,2,12,48,"(left,right]",1357,9806,0.13838466245156028
R0c_historical_weather,3,48,inf,"(left,right]",1014,9806,0.10340607791148276
