combination,sample_version,threshold_label,exact_numeric_threshold,operator,bin,left,right,closed,denominator,numerator,frequency,mean_gust,binomial_se,original_95_lower,original_95_upper,interval_rule,excluded_gust_count
E0_all,current accepted,>0 customers,0.5,>,0,0,4,"(left,right]",5544,4754,0.85750360750360755,3.0836399732773092,0.0046947049365408293,0.84830198582798755,0.86670522917922754,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,1,4,6,"(left,right]",9167,7682,0.83800589069488385,5.1041343973912365,0.0038482167997617557,0.83046338576735079,0.8455483956224169,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,2,6,8,"(left,right]",10737,8986,0.836919064915712,7.0598956891763605,0.0035653473795527811,0.82993098405178856,0.84390714577963544,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,3,8,10,"(left,right]",10190,8520,0.83611383709519138,9.0231795865958286,0.0036670493698312675,0.82892642033032204,0.84330125386006072,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,4,10,12,"(left,right]",8314,7028,0.84532114505653111,10.992386341094971,0.0039657134518525485,0.83754834669090017,0.85309394342216205,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,5,12,14,"(left,right]",5563,4683,0.84181197195757684,12.981934217418374,0.0048926012851381769,0.83222247343870603,0.85140147047644765,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,6,14,16,"(left,right]",3762,3248,0.8633705475810739,14.984502928235441,0.0055996564495189964,0.85239522094001663,0.87434587422213117,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,7,16,18,"(left,right]",2569,2303,0.89645776566757496,16.985870004953139,0.0060109294526820367,0.88467634394031813,0.90823918739483178,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,8,18,20,"(left,right]",1578,1446,0.91634980988593151,18.963624858735329,0.0069696442934088698,0.90268930707085016,0.93001031270101286,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,9,20,23,"(left,right]",1412,1312,0.92917847025495748,21.436898036989206,0.0068267637298947406,0.91579801334436384,0.94255892716555112,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,10,23,26,"(left,right]",765,711,0.92941176470588238,24.442614349664428,0.0092606085665283017,0.91126097191548694,0.94756255749627782,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,11,26,30,"(left,right]",494,466,0.94331983805668018,27.806477751326465,0.010403549805400029,0.92292888043809618,0.96371079567526419,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
E0_all,current accepted,>0 customers,0.5,>,12,30,45,"(left,right]",342,319,0.93274853801169588,32.344736941376624,0.013543162842986007,0.90620393883944328,0.95929313718394849,original descriptive unclustered binomial +/-1.96 SE; no independence-corrected inference,0
