combination,model,term,coef,se_twoway,ci_lower,ci_upper,p_t_G1,df,variance,point_valid,interval_valid,reference
E0_all,OLS_reference,Intercept,3.363184077294711,1.0281767756514328,1.3255790394138969,5.4007891151755256,0.0014315514857434445,110,1.057147481988977,True,True,t(G_LAD-1)
E0_all,OLS_reference,z_precipitation_24h_sum,0.053437689689673613,0.014611940377507366,0.024480253544941332,0.082395125834405891,0.00039299435642113102,110,0.00021350880159583008,True,True,t(G_LAD-1)
E0_all,OLS_reference,z_temperature_0h,-0.03405759290387636,0.028766272601043578,-0.091065593240980208,0.022950407433227488,0.23898819138796601,110,0.00082749843935755042,True,True,t(G_LAD-1)
E0_all,OLS_reference,z_pressure_msl_0h,-0.080630788835995518,0.017651380481558007,-0.11561168185605616,-0.045649895815934871,1.2928038912656143e-05,110,0.00031157123290472693,True,True,t(G_LAD-1)
E0_all,OLS_reference,z_gust_pressure,-0.034933705867966493,0.015771022765372129,-0.066188171248100253,-0.0036792404878327328,0.028817061632121797,110,0.00024872515906588599,True,True,t(G_LAD-1)
E0_all,OLS_reference,urban_binary,-0.14940762955466874,0.074915298396606059,-0.29787216701764957,-0.00094309209168791375,0.048587170244242715,110,0.0056123019338525258,True,True,t(G_LAD-1)
E0_all,OLS_reference,log_population,-0.072417151693353901,0.087253928929737865,-0.24533395877595376,0.10049965538924598,0.40835977177839544,110,0.0076132481136757463,True,True,t(G_LAD-1)
E0_all,OLS_reference,income_deprivation_rate,-3.1002204091423309,0.89678195819592155,-4.8774317595376928,-1.3230090587469694,0.00077738956185596428,110,0.80421788054571153,True,True,t(G_LAD-1)
E0_all,OLS_reference,deprivation_gap_pct,0.18041891797817167,0.53493259874296573,-0.87969193449148464,1.240529770447828,0.73655297906854156,110,0.28615288519790283,True,True,t(G_LAD-1)
E0_all,OLS_reference,morans_i,-0.032088449919336397,0.23500129522965507,-0.4978058580616066,0.43362895822293379,0.89163938061937131,110,0.055225608759615498,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_year[2022],0.075615226402691291,0.032636514684383673,0.010937314671376389,0.14029313813400618,0.022361453630897008,110,0.0010651420907439911,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_year[2023],0.014684134962428628,0.037634517543033992,-0.059898645314157839,0.089266915239015088,0.697159953854249,110,0.0014163569106969334,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_year[2024],-0.022469656008992756,0.06626784248423577,-0.15379696556606784,0.10885765354808233,0.7352009591650146,110,0.004391426947515484,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[2],0.086620425450868899,0.069675139483216381,-0.051459347004699785,0.22470019790643758,0.21643585160743078,110,0.0048546250620056589,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[3],0.039419824044390608,0.065608544044073389,-0.090600910753406635,0.16944055884218784,0.54918679424149863,110,0.0043044810515831186,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[4],-0.0059718892867345382,0.066201199448564521,-0.13716712798942043,0.12522334941595137,0.92828584218708221,110,0.0043825988084286189,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[5],0.085491698522288412,0.072528591736118544,-0.058242946542304164,0.22922634358688099,0.24104876095715425,110,0.0052603966192245636,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[6],0.32137845794595582,0.086142277743070927,0.15066468259093371,0.49209223330097795,0.00030373768815034112,110,0.0074204920147643736,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[7],0.33411504513331985,0.074877319218060678,0.18572577348782415,0.48250431677881556,1.9693440295539451e-05,110,0.0056066129332833598,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[8],0.20010301630364019,0.090407695352720904,0.020936184416017717,0.37926984819126264,0.028938519148302345,110,0.008173551378990394,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[9],0.12683628243029538,0.07820701805252947,-0.028151670765307196,0.28182423562589798,0.10770868724346921,110,0.0061163376726686711,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[10],0.052857792548054477,0.067279534780956954,-0.080474453678863411,0.18619003877497237,0.43376483531491439,110,0.0045265358003419966,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[11],-0.046192994265807551,0.06356843325723209,-0.17217070833453896,0.079784719802923842,0.46897437585362367,110,0.0040409457067791714,True,True,t(G_LAD-1)
E0_all,OLS_reference,incident_month[12],0.1052837481711833,0.058779860355195418,-0.01120413836933197,0.22177163471169858,0.076018752174980289,110,0.0034550719833762742,True,True,t(G_LAD-1)
E0_all,OLS_reference,z_temperature_sq,0.056553411291127419,0.022065835703145541,0.012824104173396633,0.1002827184088582,0.011730078897841879,110,0.00048690110527821245,True,True,t(G_LAD-1)
E0_all,OLS_reference,gust_low,-0.026952197980057893,0.0044317263651549007,-0.035734839430432569,-0.018169556529683221,1.7593768088760861e-08,110,1.9640198575609069e-05,True,True,t(G_LAD-1)
E0_all,OLS_reference,gust_ramp,0.12146172840850161,0.013842871680209501,0.094028405907649007,0.1488950509093542,2.4793463583605642e-14,110,0.00019162509635474624,True,True,t(G_LAD-1)
R0c_all,OLS_reference,Intercept,0.66243464518700046,0.4330196320896243,-0.19570862816994972,1.5205779185439505,0.12893627792240234,110,0.1875060017750336,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_gust_0h,-0.00024523989440493864,0.01920474571933381,-0.038304538213160967,0.037814058424351087,0.98983461828980879,110,0.00036882225814427027,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_precipitation_24h_sum,0.046726713386895387,0.0096225498524985,0.027657078163625882,0.065796348610164895,3.9909592925203888e-06,110,9.2593465663818892e-05,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_temperature_0h,-0.072372198496781046,0.019049853155604618,-0.11012453611027809,-0.034619860883284004,0.00023846010823235859,110,0.00036289690525009925,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_pressure_msl_0h,-0.041644120751923447,0.01294436964368401,-0.067296823110864601,-0.015991418392982296,0.0017008962887392358,110,0.00016755670547232809,True,True,t(G_LAD-1)
R0c_all,OLS_reference,z_gust_sq,0.08096305923144638,0.007413833276507552,0.066270581836546022,0.095655536626346738,3.0019189857304328e-19,110,5.4964923851850704e-05,True,True,t(G_LAD-1)
R0c_all,OLS_reference,urban_binary,0.21786307598579113,0.052219035363698658,0.11437720463557055,0.32134894733601171,6.0503848489732786e-05,110,0.0027268276543152108,True,True,t(G_LAD-1)
R0c_all,OLS_reference,log_population,0.066425487668174368,0.038257474482467371,-0.0093918470432445972,0.14224282237959335,0.085315073079378981,110,0.0014636343537766422,True,True,t(G_LAD-1)
R0c_all,OLS_reference,income_deprivation_rate,0.90166643199248209,0.68643825925394486,-0.45869307852436614,2.2620259425093305,0.1917330660732682,110,0.47119748376758608,True,True,t(G_LAD-1)
R0c_all,OLS_reference,deprivation_gap_pct,-0.13230582549788436,0.49647375042760566,-1.1162002675853651,0.85158861658959639,0.79035993545008809,110,0.24648618486365245,True,True,t(G_LAD-1)
R0c_all,OLS_reference,morans_i,0.2784524837242407,0.15546613700896253,-0.029644909147355902,0.58654987659583724,0.076030404213285871,110,0.024169719756489509,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_year[2022],0.1024216713707953,0.023939656687068246,0.054978890882195375,0.14986445185939523,4.0332061947834875e-05,110,0.00057310716229469147,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_year[2023],0.002903696775680619,0.023978872748937955,-0.044616800742834653,0.050424194294195895,0.90383753359639152,110,0.00057498633830975932,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_year[2024],-0.077738714706510059,0.067029367224014688,-0.21057518755436389,0.055097758141343767,0.24865323595954758,110,0.004492936070451814,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[2],0.44455208392154877,0.10904955243609753,0.22844146687161707,0.6606627009714805,8.6637590725233612e-05,110,0.011891804886513185,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[3],0.04321852045590447,0.036570766148839376,-0.029256154238847192,0.11569319515065613,0.23984238452273166,110,0.0013374209367130962,True,True,t(G_LAD-1)
R0c_all,OLS_reference,incident_month[4],-0.0093482923875606427,0.042193800033742956,-0.092966500415668132,0.074269915640546844,0.82507026305500974,110,0.0017803167612874871,True,True,t(G_LAD-1)
