storm,combination,prediction_type,excluded_from_primary_metrics,n,rmse,mae,mean_observed,mean_prediction,bias,r2,correlation,correlation_p_value
Arwen,E0_all,in_sample,False,270,1.9844023027952686,1.6743318038814909,2.2553727869836906,2.2278251662721873,-0.027547620711503226,0.007688564287051558,0.11472897683927517,not calculated
Arwen,E0_all,LAD_OOF,False,270,1.9899224640665627,1.6783096379244293,2.2553727869836906,2.2295374015717022,-0.025835385411987908,0.0021601106659002722,0.099091586465575282,not calculated
Arwen,R0c_all,in_sample,False,242,0.92125303836914407,0.71860046764237473,1.8014472971830886,1.8944494307452842,0.093002133562195569,0.051431638173678684,0.26649584578192576,not calculated
Arwen,R0c_all,LAD_OOF,False,242,0.92338591619470434,0.72089102566151086,1.8014472971830886,1.9014419192607648,0.099994622077676246,0.047034317640989309,0.26337022841551694,not calculated
Arwen,R0c_all,display_only,True,1,4.3367295113322992,4.3367295113322992,6.2630489952556818,1.9263194839233824,-4.3367295113322992,,,not calculated
Dudley,E0_all,in_sample,False,291,2.0092827306083065,1.7360928685609631,2.3854585432229412,2.5169532909239942,0.13149474770105271,0.082852389749283883,0.29669873056140988,not calculated
Dudley,E0_all,LAD_OOF,False,291,2.0120421819443521,1.7364902640772404,2.3854585432229412,2.5211647065128067,0.13570616328986523,0.080331527935852409,0.29219808219302246,not calculated
Dudley,R0c_all,in_sample,False,254,1.3772696550277717,1.076350654159816,1.5904822981303484,2.3854370811777681,0.79495478304741962,-0.4699937401708556,0.18124528907908652,not calculated
Dudley,R0c_all,LAD_OOF,False,254,1.3826846257415653,1.0822455813856333,1.5904822981303484,2.3890375178034007,0.79855521967305232,-0.48157552594487685,0.17012920478734833,not calculated
Dudley,R0c_all,display_only,True,2,3.3906133779454066,3.3568761907299081,5.8065603693521162,2.4496841786222081,-3.3568761907299081,-69.950349148200829,,not calculated
Eunice,E0_all,in_sample,False,1659,2.2974451412393422,1.9734331897412272,3.4095971316979385,3.1303789122267753,-0.27921821947116349,0.033073100727141092,0.22576226650289136,not calculated
Eunice,E0_all,LAD_OOF,False,1659,2.3021070538262616,1.9770884946330725,3.4095971316979385,3.1299282285227101,-0.27966890317522869,0.029144996346340935,0.21934058867346115,not calculated
Eunice,R0c_all,in_sample,False,1518,1.710841586900673,1.4375074070564309,3.1873144721321789,2.6248052526900447,-0.56250921944213417,-0.084052258352182774,0.23118867016533778,not calculated
Eunice,R0c_all,LAD_OOF,False,1518,1.7171247124318925,1.4421225032675837,3.1873144721321789,2.6258223423449074,-0.56149212978727159,-0.092029319145888078,0.22162092514932558,not calculated
Eunice,R0c_all,display_only,True,14,2.4684789016474231,2.3659618062527614,5.5721031832003698,3.2061413769476093,-2.3659618062527614,-83.233095360681432,-0.25077351730938879,not calculated
Franklin,E0_all,in_sample,False,1132,2.1472803735655317,1.7901790503470509,2.7099557896754565,2.5227829778786979,-0.18717281179675854,-0.011727747161164981,0.10338365413905053,not calculated
Franklin,E0_all,LAD_OOF,False,1132,2.1547696006233941,1.7943377776493552,2.7099557896754565,2.516036579324394,-0.19391921035106266,-0.01879740834209076,0.089422767580767754,not calculated
Franklin,R0c_all,in_sample,False,1064,1.7089512686323987,1.4845019322413551,2.9669813867446422,2.3178320502212069,-0.64914933652343554,-0.048961391421667555,0.32839182918082016,not calculated
Franklin,R0c_all,LAD_OOF,False,1064,1.7162758245899477,1.4899612799352475,2.9669813867446422,2.3159628243874688,-0.65101856235717359,-0.057972346358196258,0.31186814441422894,not calculated
Franklin,R0c_all,display_only,True,4,2.8123155166706471,2.7925518236162019,5.5405110547027245,2.7479592310865226,-2.7925518236162019,-163.34697497348816,-0.51857567393960502,not calculated
Babet,E0_all,in_sample,False,509,1.9511352996668712,1.6478579479723627,2.139311737452243,2.1614454027021361,0.022133665249893113,0.030659790659964936,0.17774273215884415,not calculated
Babet,E0_all,LAD_OOF,False,509,1.9540710368179739,1.6498134218221185,2.139311737452243,2.167551726266832,0.028239988814588883,0.027740598998231447,0.16794975455972835,not calculated
Babet,R0c_all,in_sample,False,449,0.96005122388328124,0.73783438541321478,1.8970765228436022,1.8558841539833333,-0.041192368860268724,0.093091853620323128,0.31244003054454195,not calculated
Babet,R0c_all,LAD_OOF,False,449,0.9657340934548122,0.742767505858965,1.8970765228436022,1.856675088160072,-0.040401434683530413,0.082323481582942226,0.29817758802676125,not calculated
Babet,R0c_all,display_only,True,1,4.0493630828962797,4.0493630828962797,5.885640961286752,1.8362778783904723,-4.0493630828962797,,,not calculated
Ciaran,E0_all,in_sample,False,576,2.0485058426197322,1.7873220815318192,2.2801567263537543,2.529523041207272,0.24936631485351735,0.12601039894204624,0.38528115784360756,not calculated
Ciaran,E0_all,LAD_OOF,False,576,2.0528949883952334,1.7914472769979879,2.2801567263537543,2.5353899993389231,0.25523327298516846,0.12226115177771735,0.37984410351045261,not calculated
Ciaran,R0c_all,in_sample,False,466,1.0661364527258246,0.81999942953864513,1.8736260483272216,1.9515736447817549,0.077947596454533544,0.048040749280559458,0.25230643497015232,not calculated
Ciaran,R0c_all,LAD_OOF,False,466,1.0677162467302015,0.82090463663543489,1.8736260483272216,1.9468432673215332,0.073217218994311786,0.045217445102054499,0.2485772661727764,not calculated
