LAD21CD,grid_lat,grid_lon,lat,lon,centroid_to_grid_km
E06000031,52.5,-0.25,52.608560735653334,-0.25315020604959276,12.05218171198673
E06000032,52,-0.5,51.89422029296275,-0.42560731427819831,12.803941222540711
E06000033,51.5,0.75,51.547767885372608,0.7094715267377425,5.9877604707639476
E06000034,51.5,0.25,51.509095312753139,0.36791983722084926,8.1571277361008434
E06000035,51.5,0.5,51.415145668377491,0.55393987746323414,10.120460275821003
E06000043,50.75,-0.25,50.844598090875095,-0.13406424703734993,13.175407308278265
E06000055,52.25,-0.5,52.189173488328102,-0.47707961168721447,6.9326332514721756
E06000056,52,-0.5,52.006631515125719,-0.43629568712557554,4.4343982214664708
E06000060,51.75,-0.75,51.784952565958051,-0.81155523573536759,5.7363733867075206
E07000008,52.25,0.25,52.199378987000578,0.13293017945016239,9.8056464874281737
E07000009,52.25,0.25,52.342863192523289,0.29488228979265102,10.758382616128255
E07000010,52.5,0,52.56273646864117,0.060748549650529393,8.1168062368731633
E07000011,52.25,-0.25,52.373614723303739,-0.22080470206855601,13.866814232424012
E07000012,52.25,0,52.172757856013384,0.081301119457691223,10.230175267508546
E07000061,50.75,0.25,50.77670861754207,0.26595420013301579,3.1604652775776949
E07000062,50.75,0.5,50.869872730544486,0.57039658469788912,14.156163250522356
E07000063,51,0,50.882735056749922,0.0047166976805789792,13.020434799854218
E07000064,51,0.5,50.952210550188681,0.53732115725767116,5.8908536089529848
E07000065,51,0.25,50.967649848127039,0.19857370569070246,5.0354477896954029
E07000066,51.5,0.5,51.590315905582834,0.46611802434353705,10.291314428886325
E07000067,52,0.5,51.941824350386526,0.58992077884109828,8.9330036587347514
E07000068,51.75,0.25,51.638624863587474,0.31076930214549092,13.047433110324803
E07000069,51.5,0.5,51.545630229654265,0.58119753365519533,7.5312391444359745
E07000070,51.75,0.5,51.725636395226026,0.48059068987506831,3.0147370597422838
E07000071,52,0.75,51.875893157894211,0.85697076898675362,15.610619994502276
E07000072,51.75,0.25,51.708875120543993,0.14867700218011667,8.3193778391059805
E07000073,51.75,0,51.768344713914701,0.10851190286480632,7.7219354102481015
E07000074,51.75,0.75,51.710393400791467,0.76854054641286129,4.576840216025662
E07000075,51.5,0.75,51.595005723641485,0.74358197057241415,10.554833633564087
E07000076,51.75,1,51.870399281219875,1.1102355891772306,15.357851657525782
E07000077,52,0.25,51.934595462341498,0.27979946146985868,7.5425733084611881
E07000095,51.75,0,51.725122547906992,-0.047384975709610602,4.2667468262069814
E07000096,51.75,-0.5,51.778184389614758,-0.54086602767189107,4.2019452440720144
E07000098,51.75,-0.25,51.677276270285219,-0.28110566661708231,8.3499485440926655
E07000099,52,-0.25,51.959071390083601,-0.19273339922595892,6.0076671168641003
E07000102,51.75,-0.5,51.660966673558292,-0.46059602487170531,10.246160069620574
E07000103,51.75,-0.5,51.668091498285385,-0.40334251812329808,11.255372420931407
E07000105,51.25,0.75,51.125291818745247,0.81129432607234975,14.467909587877141
E07000106,51.25,1,51.280879272676749,1.1047725794719532,7.9669581727356711
E07000107,51.5,0.25,51.429809331736003,0.25231561349894693,7.7927854322766938
E07000108,51.25,1.25,51.211506061497779,1.2878931510603557,5.0022831231761913
E07000109,51.5,0.5,51.402334337574139,0.39504605436951168,13.016454128813454
E07000110,51.25,0.5,51.234988264024928,0.58056575764688401,5.7758813463234215
E07000111,51.25,0.25,51.275398408766051,0.17196816994286268,6.0529880542898358
E07000112,51,1,51.055635827901533,0.99410920015109172,6.1888012054456132
E07000113,51.25,0.75,51.335474027725482,0.81609138739474774,10.516502483379517
E07000114,51.25,1.25,51.354252326513461,1.3377470215477649,13.045723065654684
E07000115,51.25,0.25,51.273407096344869,0.35747055875980793,7.8212999588313208
E07000116,51,0.5,51.11439735743911,0.43082342067719687,13.556926969280955
E07000143,52.5,0.75,52.587938549427278,0.83728221855513718,11.453243982028308
E07000144,52.75,1.25,52.701344572393921,1.3101856735268551,6.7997161729714408
E07000145,52.75,1.75,52.642243235695624,1.6598763288534069,13.466140900674112
E07000146,52.75,0.5,52.71810396785019,0.47505502602563482,3.9327911501819477
E07000147,52.75,1.25,52.848045677692248,1.1737563409244747,12.076091386627848
E07000148,52.75,1.25,52.633004176595918,1.2772170618789189,13.120234742612407
E07000149,52.5,1.25,52.514535044755512,1.2755174050615918,2.3814131756433183
E07000179,51.75,-1,51.6337578942044,-1.071388383521269,13.802081316821003
E07000200,52,1,52.052931006489352,0.90812471279073925,8.61934856669453
E07000202,52,1.25,52.05631273343608,1.1597493536200798,8.8006104906372542
E07000203,52.25,1,52.246825713732953,1.0924286194837356,6.3543845753405837
E07000207,51.25,-0.5,51.357140341970215,-0.39217239132446791,14.007775657754623
E07000208,51.25,-0.25,51.339155144185504,-0.26143880697909649,9.9273221864839556
E07000209,51.25,-0.5,51.24781370080138,-0.56166320382101953,4.2397188764768341
E07000210,51.25,-0.25,51.212263888868833,-0.3251199686688821,6.6433887784808938
E07000211,51.25,-0.25,51.253185815607452,-0.19185809454960767,4.0066898986579824
E07000212,51.5,-0.5,51.393777499838549,-0.54133408430898766,12.127278006124111
E07000213,51.5,-0.5,51.424797801224273,-0.46799484122688029,8.6317073050172493
E07000215,51.25,0,51.227033676421755,-0.043403944039829008,3.9211616970525931
E07000216,51.25,-0.75,51.149824575098897,-0.63265690900732541,13.730360459583792
E07000217,51.25,-0.5,51.313891466493438,-0.56072605693501887,8.2262796538278291
E07000223,50.75,-0.25,50.844947908665489,-0.29928616551341747,11.068917268461048
E07000224,50.75,-0.5,50.841570014975829,-0.56762502741030241,11.174106195684271
E07000226,51.25,-0.25,51.125475781011708,-0.18201787077964574,14.588670165626549
E07000227,51,-0.25,50.993864138939777,-0.36622099162483257,8.0068159319174566
E07000228,51,-0.25,51.020848622522557,-0.12704918952871577,8.7512824083852188
E07000229,50.75,-0.5,50.830013154332548,-0.39631580827878482,11.381356418288016
E07000240,51.75,-0.25,51.772057368397618,-0.34248306765657366,6.8041164811047503
E07000241,51.75,-0.25,51.766882418993212,-0.19408317346253803,4.2713420102436466
E07000242,51.75,0,51.865053032881953,-0.0082603749812368912,12.783468117879629
E07000243,52,-0.25,51.904329507993793,-0.18933519069704249,11.406709833723648
E09000001,51.5,0,51.51486170432073,-0.092165439532112842,6.5380797563607915
