start,method,success,iterations,message,theta,beta,p0,nll,prediction_std,projected_gradient,boundary,n_unique_values,n,events,constant_nll,nll_improvement_vs_constant,valid,weak_identification,theta_outside_support,support_min,support_max,near_optimal_solutions,selection_reason,candidate,target,scope
3,L-BFGS-B,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23.13567827422894,0.46107073323593667,0.32077955281798892,61862.208979123599,0.045169222461866249,6.9336459015030363e-10,,96448,96448,33493,62280.043192335703,417.83421321210335,True,False,False,1.9531958165324199,26.755341982171235,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt0,fold_0
0,L-BFGS-B,True,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,22.686103428088689,0.43611104058358324,0.32158227670963541,62513.279003106196,0.045297784145023161,2.4314712690345296e-10,,97544,97544,33797,62939.295766361087,426.01676325489098,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt0,fold_1
5,L-BFGS-B,True,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,22.444566997244888,0.41912570286715273,0.3250037289748785,62654.048796573778,0.045402931789917472,5.6436773732164301e-11,,97544,97544,34021,63080.300287537837,426.25149096405949,True,False,False,1.976063701821996,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt0,fold_2
3,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21.770436956558029,0.40273263738208298,0.31877560027617996,62261.65445764453,0.048197779215178045,6.6335367974023535e-10,,97544,97544,33493,62744.297485365794,482.64302772126393,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt0,fold_3
2,L-BFGS-B,True,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23.182188910267342,0.47060011822597031,0.30921276378227663,61897.048538639778,0.046497729322205861,5.7573475984060686e-11,,97544,97544,32900,62351.812493903511,454.76395526373381,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt0,fold_4
0,L-BFGS-B,True,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24.393836288826687,0.37826039461983257,0.15171498964170949,43166.066868879207,0.04041385043060379,4.84802329819885e-10,,96448,96448,16184,43631.247306416873,465.18043753766688,True,False,False,1.9531958165324199,26.755341982171235,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt5,fold_0
4,L-BFGS-B,True,19,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24.401135809333077,0.38082121753751075,0.15127589702829017,43608.33972466542,0.040369295764749666,1.1553616703459073e-09,,97544,97544,16339,44080.734170702017,472.39444603659649,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt5,fold_1
0,L-BFGS-B,True,24,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23.719719695384615,0.35515874790306434,0.15424898465395059,43946.553073640403,0.04184188126871205,2.1744477957259081e-11,,97544,97544,16566,44442.823757276397,496.27068363599392,True,False,False,1.976063701821996,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt5,fold_2
0,L-BFGS-B,True,21,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23.114084262190961,0.33048554809094305,0.15108473931085778,43285.793667043908,0.042873788758042833,3.4733557336059155e-09,,97544,97544,16169,43807.087151006242,521.29348396233399,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt5,fold_3
8,L-BFGS-B,True,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24.172276223101132,0.37024510249311393,0.14683574246362349,42841.721185258641,0.04115802148248153,3.3794248203238014e-10,,97544,97544,15882,43340.235262500792,498.51407724215096,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt5,fold_4
