start,method,success,iterations,message,theta,beta,p0,nll,prediction_std,projected_gradient,boundary,n_unique_values,n,events,constant_nll,nll_improvement_vs_constant,valid,weak_identification,theta_outside_support,support_min,support_max,near_optimal_solutions,selection_reason,candidate,target,scope
3,L-BFGS-B,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,22.618015665261694,0.43695546737428137,0.3191419228395691,77802.693772497747,0.046087513141949511,8.5063631157747902e-11,,121656,121656,41926,78353.428292212586,550.73451971483883,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt0,full
10,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23.933190075665653,0.3622430925892634,0.15106367470010379,54215.359700120513,0.041314154558755603,8.1259775676857537e-11,,121656,121656,20285,54827.956970412255,612.59727029174246,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt5,full
4,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,25.081615829197219,0.29127807854033655,0.05312495781793599,27206.361176561964,0.031272205201954693,1.6678440860354207e-10,,121656,121656,7369,27803.225476890642,596.86430032867793,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt100,full
0,L-BFGS-B,True,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30.398258168479945,0.2439244322830281,0.0073130170710830411,5701.5668021097381,0.010005696822578897,1.637670790469251e-10,,121656,121656,1020,5892.7346657284606,191.16786361872255,True,False,True,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,any_gt1000,full
0,L-BFGS-B,True,33,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23.124742732582494,0.33010102787203333,0.033569768671302049,22566.344442353777,0.048947920729306052,6.3897381432942443e-11,,121656,121656,6122,24265.859764017576,1699.5153216637991,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,wthr_gt0,full
3,L-BFGS-B,True,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24.243944206760549,0.32123719963142827,0.023860762193691695,17494.497376985502,0.040559205059290115,7.8003362729745999e-10,,121656,121656,4394,18905.962138601535,1411.4647616160328,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,wthr_gt5,full
4,L-BFGS-B,True,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,25.365698679119738,0.29024356932931267,0.013155229561153425,10993.22900582516,0.030953146357514609,5.5338145958144278e-10,,121656,121656,2472,12078.044998426623,1084.8159926014632,True,False,False,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,wthr_gt100,full
5,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.793690364433498,0.27062328929562723,0.0014287508501297402,1862.8900560959021,0.0091768634883239841,2.7030295992919039e-11,,121656,121656,312,2172.9758167098562,310.08576061395411,True,False,True,1.9531958165324199,26.794455809717221,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",PROXY,wthr_gt1000,full
9,L-BFGS-B,True,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28.845152755506767,0.41100081339771161,0.31912213113020071,77783.964961773687,0.04701185041250381,6.378550151968859e-11,,314,121656,41926,78353.428292212586,569.46333043889899,True,False,False,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,any_gt0,full
0,L-BFGS-B,True,24,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30.896400264886058,0.35990552140372029,0.14979921867949714,54181.285425903625,0.042322209008958313,3.0014919875730319e-10,,314,121656,20285,54827.956970412255,646.67154450863018,True,False,False,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,any_gt5,full
6,L-BFGS-B,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.813620372109121,0.2957442958032811,0.052744077942922823,27217.365905803214,0.030337948944554334,2.0794191471193173e-11,,314,121656,7369,27803.225476890642,585.85957108742878,True,False,False,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,any_gt100,full
2,L-BFGS-B,True,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,40.820398372185259,0.26247469061035461,0.0073000305915649341,5729.8921830466816,0.0082055958839260534,6.6689099368452541e-11,,314,121656,1020,5892.7346657284606,162.84248268177907,True,False,True,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,any_gt1000,full
0,L-BFGS-B,True,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29.590527229923463,0.31305395606650721,0.033361419165540571,22528.256217958929,0.049866316953612606,1.0203702433084537e-09,,314,121656,6122,24265.859764017576,1737.6035460586463,True,False,False,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,wthr_gt0,full
0,L-BFGS-B,True,30,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31.027176176469748,0.30532144890828727,0.02378027882469351,17478.837826940406,0.040958918626675063,3.7145032352937068e-10,,314,121656,4394,18905.962138601535,1427.1243116611295,True,False,False,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,wthr_gt5,full
3,L-BFGS-B,True,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,32.67314983040265,0.2806119238368181,0.01312311007874779,11010.312061814839,0.030428835937701355,1.6992417716730675e-11,,314,121656,2472,12078.044998426623,1067.7329366117847,True,False,False,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,wthr_gt100,full
9,L-BFGS-B,True,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42.383846743553278,0.28513411545005596,0.0013935492781872402,1885.9980380483175,0.0078600655815502952,2.2619021084432612e-11,,314,121656,312,2172.9758167098562,286.97777866153865,True,False,True,2.3999999999999999,35.899999999999999,13,"minimum evaluated optimized NLL; validity separately requires convergence, projected stationarity, no better evaluated point, and nonconstant predictions",GRID_MAX,wthr_gt1000,full
