candidate,target,valid_comparison,absolute_gain_lo,absolute_gain_hi,relative_gain_lo,relative_gain_hi,repeats,seed
A01_daily_max,any_gt0,True,0,0,0,0,1000,20260909
A01_daily_max,any_gt5,True,0,0,0,0,1000,20260909
A01_daily_max,any_gt100,True,0,0,0,0,1000,20260909
A01_daily_max,any_gt1000,True,0,0,0,0,1000,20260909
A01_daily_max,wthr_gt0,True,0,0,0,0,1000,20260909
A01_daily_max,wthr_gt5,True,0,0,0,0,1000,20260909
A01_daily_max,wthr_gt100,True,0,0,0,0,1000,20260909
A01_daily_max,wthr_gt1000,True,0,0,0,0,1000,20260909
A02_daily_mean,any_gt0,True,-0.0009032529650705467,-0.00051116393694646261,-0.0040729228567799409,-0.0022954347287440524,1000,20260909
A02_daily_mean,any_gt5,True,-0.00071104133491530787,-0.00037227830901652339,-0.0052134061533550451,-0.0027485932196873817,1000,20260909
A02_daily_mean,any_gt100,True,-0.0004435769129745395,-0.00020684055315491826,-0.0076222304500582734,-0.0038069382091899572,1000,20260909
A02_daily_mean,any_gt1000,True,-6.645797024895799e-05,-2.1491087534116485e-05,-0.0080192768403339037,-0.0026995200155626882,1000,20260909
A02_daily_mean,wthr_gt0,True,-0.00093615465944608522,-0.00046088813684624599,-0.019050420471379004,-0.011689908053873167,1000,20260909
A02_daily_mean,wthr_gt5,True,-0.00069054866185880141,-0.00033450988617278991,-0.018986193912764432,-0.011518958408488796,1000,20260909
A02_daily_mean,wthr_gt100,True,-0.00044841836548433639,-0.00021386480861742649,-0.021906894905756084,-0.01270534658237941,1000,20260909
A02_daily_mean,wthr_gt1000,True,-6.3353907973064615e-05,-2.475671460409035e-05,-0.024270678475439258,-0.010747354947717511,1000,20260909
A03_daily_q90,any_gt0,True,-0.00028808199435469432,-0.00015427055143376188,-0.0012913389794340347,-0.00068093209555849718,1000,20260909
A03_daily_q90,any_gt5,True,-0.00019976357867323066,-8.120450412288309e-05,-0.001469428129411894,-0.00059830792796748689,1000,20260909
A03_daily_q90,any_gt100,True,-0.00014650004328273561,-4.9196466609759479e-05,-0.0025869739556834723,-0.00088394805922612266,1000,20260909
A03_daily_q90,any_gt1000,True,-1.3206507578182757e-05,1.0859545399594652e-05,-0.0015712812160016052,0.0013213696682206992,1000,20260909
A03_daily_q90,wthr_gt0,True,-0.00024399800158543793,-0.00010338153061993587,-0.005229905245750315,-0.0023465797470938071,1000,20260909
A03_daily_q90,wthr_gt5,True,-0.00019566666599008827,-7.5071935511927175e-05,-0.0057373486025369602,-0.0023873446020448576,1000,20260909
A03_daily_q90,wthr_gt100,True,-0.00015738086820597712,-5.3632213354214135e-05,-0.0079686245205826817,-0.0030194274780284244,1000,20260909
A03_daily_q90,wthr_gt1000,True,-2.2065644196420819e-05,8.6644490973180676e-07,-0.008673897217274712,0.00030538902905441527,1000,20260909
A04_top3_mean,any_gt0,True,-0.00011293814290513528,-5.1075433724539839e-05,-0.00050499212063021405,-0.00022440191560716791,1000,20260909
A04_top3_mean,any_gt5,True,-6.5078100787205922e-05,-7.9998251049980458e-06,-0.00047983764596522163,-5.849698676813084e-05,1000,20260909
A04_top3_mean,any_gt100,True,-4.7975980382811609e-05,-2.7129639621627312e-06,-0.00087445663311466141,-4.6722709711165715e-05,1000,20260909
A04_top3_mean,any_gt1000,True,-9.232536222572308e-07,1.1257184780923058e-05,-0.00011560463145517126,0.0013405342137235016,1000,20260909
A04_top3_mean,wthr_gt0,True,-6.0549816387026807e-05,3.2207526062215711e-06,-0.0013756424907232928,7.2506757814083024e-05,1000,20260909
A04_top3_mean,wthr_gt5,True,-4.7734701718693854e-05,4.5596861952383878e-06,-0.0014641002420209492,0.00014384806455500839,1000,20260909
A04_top3_mean,wthr_gt100,True,-5.1610169117318052e-05,-6.0787837837682558e-06,-0.0027381212210930905,-0.00036226570828639244,1000,20260909
A04_top3_mean,wthr_gt1000,True,-4.8586995707409163e-06,6.0311212981562324e-06,-0.001905971042819243,0.0024803770614621298,1000,20260909
A05_max_rolling3h_mean,any_gt0,True,-0.00012963918831360565,-6.1001283065368922e-05,-0.00058299319465171984,-0.00027125441205595648,1000,20260909
A05_max_rolling3h_mean,any_gt5,True,-7.4059150789715001e-05,-1.4337052484886798e-05,-0.00054021756216333797,-0.000103077485945454,1000,20260909
A05_max_rolling3h_mean,any_gt100,True,-4.820070850454604e-05,-1.350923284434202e-06,-0.00087979853549041405,-2.4762938659131841e-05,1000,20260909
A05_max_rolling3h_mean,any_gt1000,True,-1.8184833901167157e-07,1.15211701015684e-05,-2.2590663838709005e-05,0.0013524349170322423,1000,20260909
A05_max_rolling3h_mean,wthr_gt0,True,-7.4421356366432807e-05,-6.5517070338578037e-06,-0.0016554270907660931,-0.00014848745659023563,1000,20260909
A05_max_rolling3h_mean,wthr_gt5,True,-5.9648117786812241e-05,-1.520077264398227e-06,-0.0017540221631674943,-4.5300960613940935e-05,1000,20260909
A05_max_rolling3h_mean,wthr_gt100,True,-5.2870098207000936e-05,-3.8037190745207237e-06,-0.0027691221018193092,-0.00019753873431920847,1000,20260909
A05_max_rolling3h_mean,wthr_gt1000,True,-3.9268546742681657e-06,6.6670846118879873e-06,-0.0015384365743803079,0.0027042574732863024,1000,20260909
