requirement_id,claim_id,source_status,final_status,authoritative_sources,source_run,source_sha256,producer,export_function,configuration,transformation,dependencies,review,gap_and_minimal_action
A01,CL_A01,DERIVE,已生成,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv,,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9,analysis_new/final_models.py; weather_only_regression.py,analysis_new.appendix.exporters:samples,{},samples,"Python,pandas,numpy,matplotlib; existing frozen source files",,
A02,CL_A02,FORMAT,已生成,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;docs/Appendix_revised_copy.docx;analysis_new/final_models.py;analysis_new/model_selection.py,,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;docs/Appendix_revised_copy.docx:12d43bb807be5b412b614bceccf4634379976aecd0be7f65dd6bd1be0233313e;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d,analysis_new/model_selection.py:design; final_models.py:final_design,analysis_new.appendix.exporters:dictionary,{},dictionary,"Python,pandas,numpy,matplotlib; existing frozen source files",,
A03,CL_A03,READY,已有且被明确复用,docs/Appendix_revised_copy.docx,,docs/Appendix_revised_copy.docx:12d43bb807be5b412b614bceccf4634379976aecd0be7f65dd6bd1be0233313e,已成型附录A Table A1,analysis_new.appendix.exporters:docx_table,"{""table"": 0}",docx_table,"Python,pandas,numpy,matplotlib; existing frozen source files",,
A04,CL_A04,DERIVE,已生成,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;analysis_new/model_selection.py;analysis_new/final_models.py;results/new/20260909183317/results/model_selection/knots.json;results/new/20260909183317/results/final_models/E0_final_twoway.csv;results/new/20260909183317/results/final_models/R0c_final_twoway.csv,20260909183317,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;results/new/20260909183317/results/model_selection/knots.json:af506c6ec5b9ba4c3f3450bf88a02afb87e4116f798233bb5920341c95f5bb3b;results/new/20260909183317/results/final_models/E0_final_twoway.csv:491c75aea00d6a4a60a04026978eba65072e1576e0974dfaa211c96954487f94;results/new/20260909183317/results/final_models/R0c_final_twoway.csv:0dab57b08504cba609ca93c282fa3ccf8b1bde92a9b679286efd965255cb54a2,analysis_new/model_selection.py:design; final_models.py:final_design,analysis_new.appendix.exporters:vif,{},vif,"Python,pandas,numpy,matplotlib; existing frozen source files",,
A05,CL_A05,FORMAT,已生成,results/pretest/archive/20260909154556/results/c09_final_cleanup_20260905/raw/appendixG_table_G1_corrected.csv,,results/pretest/archive/20260909154556/results/c09_final_cleanup_20260905/raw/appendixG_table_G1_corrected.csv:2b1957faf4b75a2d517faceabf132da17696bb5516165ae1e3d428d71b60b007,scripts/c09_final_cleanup_20260905/appendixG_recompute.py,analysis_new.appendix.exporters:csv,{},csv,"Python,pandas,numpy,matplotlib; existing frozen source files",,
A06,CL_A06,LOCATE,有具体原因的缺失,,,,Extended P027；已有原因十分位来源见A05,analysis_new.appendix.exporters:gap,{},gap,"Python,pandas,numpy,matplotlib; existing frozen source files",,已找到的固定十分位表最高箱为57.06%，正文91%所用区间/样本计数未定位；两者不能直接替换。需要人工定位该句的分箱来源或按已存十分位证据限定文字，不新增分箱或推断原因。
B01,CL_B01,FORMAT,已生成,results/pretest/archive/20260909154556/results/c01_repair_20260905/raw/step1_summary.json;scripts/code_audit_20260905/audit_pipeline.py;scripts/c02_c08_repair_20260905/corrected_sample_builder.py;docs/Appendix_revised_copy.docx,,results/pretest/archive/20260909154556/results/c01_repair_20260905/raw/step1_summary.json:c114e516f2f947dd0edca5f572c0a209ce325d60e5987e9f89b65c4b23d637d8;scripts/code_audit_20260905/audit_pipeline.py:f269aa8cb95794840c447bc7d3f47eaff92255dad176ec2af8d0021904278547;scripts/c02_c08_repair_20260905/corrected_sample_builder.py:feb1ddd4f42dacd31a127c747826d26a4948e1409cfd406e601e985ed8e8bb8d;docs/Appendix_revised_copy.docx:12d43bb807be5b412b614bceccf4634379976aecd0be7f65dd6bd1be0233313e,C01 representative row repair; corrected_sample_builder,analysis_new.appendix.exporters:construction,{},construction,"Python,pandas,numpy,matplotlib; existing frozen source files",,
B02,CL_B02,DERIVE,已生成,review_package/data/combined_R0c_final.csv,,review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9,固定输入字段 duration_A_customer_weighted_hours / duration_B_full_span_hours,analysis_new.appendix.exporters:duration,{},duration,"Python,pandas,numpy,matplotlib; existing frozen source files",,
B03,CL_B03,FORMAT,已生成,docs/Appendix_revised_copy.docx,,docs/Appendix_revised_copy.docx:12d43bb807be5b412b614bceccf4634379976aecd0be7f65dd6bd1be0233313e,已成型附录B.1,analysis_new.appendix.exporters:docx_table,"{""paragraphs"": [17, 18]}",docx_table,"Python,pandas,numpy,matplotlib; existing frozen source files",,
C01,CL_C01,COMPLETION,已生成,review_package/data/combined_E0_final.csv;review_package/data/combined_R0c_final.csv;analysis_new/model_selection.py;analysis_new/final_models.py;analysis_new/weather_only_regression.py;analysis_new/knot_estimation.py;analysis_new/plateau_model.py;analysis_new/basis_solver.py;results/new/20260909183317/results/model_selection/E0_model_comparison.csv;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx;results/new/20260909183317/results/model_selection/knots.json;results/new/20260909183317/results/model_selection/ramp_model.json;results/new/20260909183317/results/model_selection/ramp_model_R0c.json;results/new/20260909183317/results/final_models/final_summary.json;results/new/20260909183317/results/weather_only/weather_only_summary.json;results/new/20260909183317/results/final_models/E0_final_twoway.csv;results/new/20260909183317/results/final_models/R0c_final_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv,20260909183317,review_package/data/combined_E0_final.csv:6a82fedd4dd77f4218f89f47058cafea7cc7c34867120589cdbeba8fca63ec38;review_package/data/combined_R0c_final.csv:313e5cea062eec015b5dbfdd61986ed277e058ab8fe9e0fa33ee773d936e72a9;analysis_new/model_selection.py:a1bceefb6a24da496b69d64e0414a879e7e5e5eafa65071b02dfc64f2c83cd1d;analysis_new/final_models.py:4ffcc8764848c4c348a5a6aec460d74a1f03c5c90be7365c3ca70345c3f53310;analysis_new/weather_only_regression.py:b7db64e8bd350dfbcabacd3f2ad7d2514ad26a4fb5d7f622d9989072b80ff9bd;analysis_new/knot_estimation.py:69c07f14a33db4942cf7e43db19f1de0fe9094088d1488297a05a3a10606bf8f;analysis_new/plateau_model.py:672d8ee3fc667b9192f4fe6f40bde033d27306e6298677e51af5e411eb3f3bdd;analysis_new/basis_solver.py:ab181c3628721a83aac4d2d2bbe5cd2fbed2074de8ebaa427769f6a1c914cb9a;results/new/20260909183317/results/model_selection/E0_model_comparison.csv:5be68241e8581134a3ef3f54cebe6e5152c73db65e6be184c04aff4aafd3fc8a;results/new/20260909183317/results/model_selection/E0_coefficients.xlsx:d889100fd6c2b0de04260114f1ad100655fb3e496643023c28759bdb4b0f6ea5;results/new/20260909183317/results/model_selection/knots.json:af506c6ec5b9ba4c3f3450bf88a02afb87e4116f798233bb5920341c95f5bb3b;results/new/20260909183317/results/model_selection/ramp_model.json:ce9f95991d1f2d96e084103021153f1c5be63e833f923ae8564b8562b3083623;results/new/20260909183317/results/model_selection/ramp_model_R0c.json:521d363cc4e001e8ff10ae47605d31591014f5f846447bfa9fee1577ae64e3ef;results/new/20260909183317/results/final_models/final_summary.json:3432d0bdbd3a6ccfb3a689613c8483dde5ad26489f49f960a37a9f9abe264741;results/new/20260909183317/results/weather_only/weather_only_summary.json:286b36e35231108b8403bda654ec05e2d41550001797fd365e39b98e086ec555;results/new/20260909183317/results/final_models/E0_final_twoway.csv:491c75aea00d6a4a60a04026978eba65072e1576e0974dfaa211c96954487f94;results/new/20260909183317/results/final_models/R0c_final_twoway.csv:0dab57b08504cba609ca93c282fa3ccf8b1bde92a9b679286efd965255cb54a2;results/new/20260909183317/results/weather_only/E0_weather_paper_twoway.csv:3127bb1e88f37f2ad617beb4ae89d56175f088a1e7dbd032f7a2be7823366632;results/new/20260909183317/results/weather_only/E0_weather_hinge_twoway.csv:f0f47980a4cebdda9722e7d7180e29a7b9f54035179d8018b6fa7f158c3c35ac;results/new/20260909183317/results/weather_only/E0_weather_final_twoway.csv:994d2218bae8a395f72905e708e6f34763ea5990285d5792bf9de0ea890c400a;results/new/20260909183317/results/weather_only/R0c_weather_paper_twoway.csv:aff72a4663243d0d92816628206ca830c55fcf12ca84a01d4600d213207e554e;results/new/20260909183317/results/weather_only/R0c_weather_hinge_twoway.csv:cb846e2ab94541dc74843302eee67fd1da910eeebd1cad64a03be57f70afb9e8;results/new/20260909183317/results/weather_only/R0c_weather_final_twoway.csv:ba69ee5391716b3273a38bb6203da0781b63623dd49be5491a2addf89f7ba220,analysis_new.appendix.c_completion:generate,analysis_new.appendix.c_completion:generate,"{""task"": ""APP-C-COMPLETE"", ""seed"": 20260908}",c_complete,"Python,pandas,numpy,matplotlib; existing frozen source files",,
