term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,-0.032089700249405564,0.013777028070280367,-0.05909267526715509,-0.005086725231656045,0.01984752564977476,E0_original,0,48343,12094,LAD_cluster
z_gust_0h_sq,0.12623238546652804,0.008244684773336283,0.11007280331078892,0.14239196762226716,6.480279875283673e-53,E0_original,0,48343,12094,LAD_cluster
z_gust_0h,-0.03995233101570957,0.016978668448342796,-0.07323052117446145,-0.006674140856957694,0.018618138767803036,E0_original,1,48352,12085,LAD_cluster
z_gust_0h_sq,0.11237757968138198,0.010374835912253619,0.0920429012933649,0.13271225806939907,2.434699905647244e-27,E0_original,1,48352,12085,LAD_cluster
z_gust_0h,-0.03847374589235876,0.015680258377437167,-0.06920705231213561,-0.007740439472581913,0.014141755785728679,E0_original,2,48350,12087,LAD_cluster
z_gust_0h_sq,0.0820237509943593,0.01021301619770883,0.06200623924684999,0.1020412627418686,9.644873737900372e-16,E0_original,2,48350,12087,LAD_cluster
z_gust_0h,-0.012233553537465329,0.016111824052820436,-0.04381272868099338,0.01934562160606272,0.44767885124359885,E0_original,3,48350,12087,LAD_cluster
z_gust_0h_sq,0.10823760503381694,0.00962332994151088,0.08937587834845562,0.12709933171917825,2.3847362718300066e-29,E0_original,3,48350,12087,LAD_cluster
z_gust_0h,-0.04690902630263015,0.015585752031317247,-0.07745710028401195,-0.016360952321248345,0.002614733451623664,E0_original,4,48353,12084,LAD_cluster
z_gust_0h_sq,0.09690847758461893,0.010070284917090885,0.0771707191471208,0.11664623602211706,6.380748597255406e-22,E0_original,4,48353,12084,LAD_cluster
