term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,-0.004108515506528352,0.009544142445664596,-0.02281503470003096,0.014598003686974255,0.6668500885799664,R0c_original,0,47870,11964,LAD_cluster
z_gust_0h_sq,0.04740504485921642,0.006223056179978907,0.03520785474645777,0.059602234971975074,2.5834175166677472e-14,R0c_original,0,47870,11964,LAD_cluster
z_gust_0h,-0.005041662401029079,0.009928833868561788,-0.024502176783410184,0.014418851981352026,0.6116076980463561,R0c_original,1,47865,11969,LAD_cluster
z_gust_0h_sq,0.09427421158457533,0.007176286654909291,0.08020868974095312,0.10833973342819754,2.0232879378747406e-39,R0c_original,1,47865,11969,LAD_cluster
z_gust_0h,0.007343486687483899,0.009884461329100942,-0.012030057517553944,0.026717030892521743,0.4575226018363473,R0c_original,2,47865,11969,LAD_cluster
z_gust_0h_sq,0.07010555624773832,0.0073772682475211826,0.055646110482596794,0.08456500201287984,2.0409464069668705e-21,R0c_original,2,47865,11969,LAD_cluster
z_gust_0h,-0.004183194286670506,0.009315584295684281,-0.0224417395062117,0.014075350932870686,0.6533931753374469,R0c_original,3,47868,11966,LAD_cluster
z_gust_0h_sq,0.08296372350533457,0.006739576274524931,0.0697541540072657,0.09617329300340344,8.009095459674112e-35,R0c_original,3,47868,11966,LAD_cluster
z_gust_0h,0.012189680838405235,0.009459022888128233,-0.006350004022326102,0.030729365699136573,0.19750835737520778,R0c_original,4,47868,11966,LAD_cluster
z_gust_0h_sq,0.08343366811988989,0.007169452419458812,0.06938154137775063,0.09748579486202916,2.6605232312510326e-31,R0c_original,4,47868,11966,LAD_cluster
