term,coef,se,p
Intercept,1.6364161374859807,0.2667450286583159,8.528904713866964e-10
z_gust_0h,-0.000992638820534675,0.01805268786498637,0.9561498941946804
z_gust_0h_sq,0.08495442319039566,0.008135293262378872,1.5824546446357656e-25
z_precipitation_24h_sum,0.05361935316499034,0.009957259288138495,7.246439458330318e-08
z_temperature_0h,-0.07130558317393672,0.017854858968077533,6.50711793042288e-05
z_pressure_msl_0h,-0.041544413889191646,0.01578609449662215,0.008495648562686321
z_gust_pressure,0.021369149505654085,0.017390806836272914,0.21916133493976286
urban_binary,0.13875307186565355,0.0369102275327447,0.00017045486945875112
log_population,0.016619976389661964,0.022756320150856407,0.46517901273503437
income_deprivation_rate,0.18321449665805062,0.5456845454976613,0.7370581393263911
deprivation_gap_pct,-0.18204709395707386,0.4610441236371077,0.6929474741815052
morans_i,0.2626181351310434,0.12381035043824538,0.033910669284311364
z_log1p_customers_v2,0.33555784034364255,0.022893847852462852,1.2131304010485011e-48
z_log1p_customers_v2_sq,-0.3957600036685491,0.024024266665631833,5.702910187147035e-61
incident_year[2022],0.040023020071663536,0.026211773036979115,0.126783376433174
incident_year[2023],-0.10924061858945103,0.025942384795012603,2.5436268626029703e-05
incident_year[2024],-0.24860896260968315,0.06647810503219295,0.0001842312635712715
incident_month[2],0.3497791092276457,0.10369015009121135,0.0007427005242781966
incident_month[3],-0.01840292566242472,0.03813554726306761,0.6294037919191636
incident_month[4],-0.07253103069390107,0.04306582176274252,0.09214493576338496
incident_month[5],-0.06903405905306896,0.048245001753370834,0.15245717758960795
incident_month[6],0.11636401869165311,0.05493603320236726,0.03416042442778989
incident_month[7],0.09120321461753532,0.0522361213574463,0.08081445565094288
incident_month[8],0.07889178959303624,0.054046337165339256,0.1443707550721945
incident_month[9],-0.0020525826646074848,0.049535540625814105,0.9669478629111654
incident_month[10],-0.0554008988117469,0.05019043090395998,0.26967384338767675
incident_month[11],-0.05606541722495063,0.048874388499205744,0.2513267134568904
incident_month[12],0.011002367552089368,0.046060624310759496,0.811208640939246
