storm,eta_pred,observed
Arwen,1.7849686665014999,0.0
Arwen,1.9482945923019395,0.0
Arwen,2.0960785568066345,2.0
Arwen,2.119434027883621,2.0
Arwen,1.8330341614064525,62.0
Arwen,2.0125543984943848,0.0
Arwen,2.676295088736108,190.0
Arwen,1.788817755131191,0.0
Arwen,1.774998850728217,10.0
Arwen,1.7820111967666048,24.0
Arwen,1.7787772684945524,402.0
Arwen,1.6538095302033116,415.0
Arwen,2.1260082335930846,5.0
Arwen,1.8968520577809909,73.0
Arwen,1.9266614740173769,1.0
Arwen,2.3544585850540645,22.0
Arwen,2.0010580303177963,31.0
Arwen,2.1146690750094748,131.0
Arwen,2.002674400718533,17.0
Arwen,2.3566642725218023,271.0
Arwen,2.131580237703129,14.0
Arwen,2.1132834345998655,2261.0
Arwen,2.0844447150391456,1.0
Arwen,2.007624812766982,189.0
Arwen,2.167825317026999,11.0
Arwen,2.233530339550421,1.0
Arwen,2.321492783789401,2.0
Arwen,2.421499560680658,0.0
Arwen,2.079240704332459,72.0
Arwen,1.9469189074311306,5.0
Arwen,2.138198983904157,0.0
Arwen,2.2512852109771084,38.0
Arwen,2.42038873618572,22.0
Arwen,2.2897320764838476,1.0
Arwen,2.3242436111213958,617.0
Arwen,2.541736867221244,2.0
Arwen,1.6208861317314847,116.0
Arwen,2.4320500912678176,392.0
Arwen,1.789152235440265,75.0
Arwen,2.0065141739304955,147.0
Arwen,2.0786138040795756,27.0
Arwen,2.0524355246513615,116.0
Arwen,2.2275133086575196,0.0
Arwen,2.1599993994234805,10.0
Arwen,2.583909036821742,105.0
Arwen,1.755813447657754,19.0
Arwen,1.9779605946855734,1.0
Arwen,1.7990332311966188,87.0
Arwen,1.7033302097269583,140.0
Arwen,2.1929203809271693,165.0
Arwen,2.361012415905311,74.0
Arwen,1.9116610910017477,6.0
Arwen,1.9584463869386577,0.0
Arwen,1.7223013835927454,48.0
Arwen,1.633526031808773,4.0
Arwen,2.1506801678311445,173.0
Arwen,2.051786461212352,4.0
Arwen,2.5568009396879083,13.0
Arwen,2.052543570709963,2.0
Arwen,1.9572327180871396,1083.0
Arwen,1.9110442507535013,1.0
Arwen,1.9835288494251084,124.0
Arwen,2.084672486402204,1.0
Arwen,2.0566338783393014,1.0
Arwen,2.3198835786082124,0.0
Arwen,2.532033209070041,75.0
Arwen,2.243964819954185,231.0
Arwen,2.5843853972876003,6.0
Arwen,1.9548243243988723,11.0
Arwen,1.9655441326531322,280.0
Arwen,2.0942051953609813,9.0
Arwen,2.4174395893212783,2837.0
Arwen,2.2579600983792347,7.0
Arwen,2.346072976503751,1.0
Arwen,2.1542094568182164,1906.0
Arwen,2.607351157844185,16.0
Arwen,2.330163402651499,1.0
Arwen,2.071555103129411,373.0
Arwen,2.073203079101977,32.0
Arwen,2.3682852648486334,168.0
Arwen,1.55464102152686,2.0
Arwen,1.6966097332659373,123.0
Arwen,1.6752512857244848,2591.0
Arwen,1.9741841957841555,0.0
Arwen,1.6587600259308612,1.0
Arwen,1.9176569302670512,2.0
Arwen,1.7123121396113496,39.0
Arwen,1.7224181831738339,22.0
Arwen,1.647671335221634,1.0
Arwen,2.2690014497446067,1.0
Arwen,2.2017723563335188,226.0
Arwen,2.0077255556447615,2.0
Arwen,1.9323600356269408,81.0
Arwen,2.7404788400466216,6.0
Arwen,2.117599291205058,68.0
Arwen,2.2964760607355132,25.0
Arwen,2.653110461532487,12.0
Arwen,2.468779348437901,187.0
Arwen,2.5584070420846463,621.0
Arwen,2.268594957189163,3.0
Arwen,1.9118553681203612,1.0
Arwen,2.0288066520664043,36.0
Arwen,1.8742839726463945,19.0
Arwen,2.0660067611766166,395.0
Arwen,1.9099430323917888,1.0
Arwen,2.0188007195266104,23.0
Arwen,2.054335056403263,5.0
Arwen,1.9314732718424883,3.0
Arwen,2.5568009396879083,0.0
Arwen,2.498552061231924,2.0
Arwen,2.486823753836526,126.0
Arwen,2.146423207359781,224.0
Arwen,1.97720509598474,0.0
Arwen,1.8258966595763761,1.0
Arwen,1.7077318900828693,23.0
Arwen,2.252977467411227,11.0
Arwen,1.937154770325989,1.0
Arwen,2.3820463434354937,1.0
Arwen,2.466528561972568,150.0
Arwen,2.18272344273031,1.0
Arwen,2.2482871014040353,1.0
Arwen,2.034929531931992,1.0
Arwen,1.8102695478722894,1.0
Arwen,2.1653143480681503,1.0
Arwen,1.7329620770315708,692.0
Arwen,1.8315872700197855,0.0
Arwen,1.8610119936918696,0.0
Arwen,2.021960987171347,1.0
Arwen,2.581994029319653,17.0
Arwen,2.0496002576360883,1.0
Arwen,2.1159145994217265,264.0
Arwen,2.3933888970739114,22.0
Arwen,2.5989500597866506,582.0
