term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,-0.05480013851261845,0.014107730138419318,-0.08245128958392031,-0.02714898744131659,0.00010258076132302683,E0_prime_WT,0,48081,12356,LAD_cluster
z_gust_0h_sq,0.12989870226615896,0.008344009850665,0.11354444295885556,0.14625296157346235,1.2029408372312452e-54,E0_prime_WT,0,48081,12356,LAD_cluster
z_gust_0h,-0.03705719574193968,0.015978655356041448,-0.06837536023978091,-0.0057390312440984415,0.020385896417415034,E0_prime_WT,1,48395,12042,LAD_cluster
z_gust_0h_sq,0.08434635075005398,0.010431152034081823,0.0639012927632536,0.10479140873685436,6.165349912538065e-16,E0_prime_WT,1,48395,12042,LAD_cluster
z_gust_0h,-0.01643920803703176,0.016117396455958288,-0.04802930509071,0.01515088901664648,0.30774424337114614,E0_prime_WT,2,48334,12103,LAD_cluster
z_gust_0h_sq,0.10407779928991857,0.010462897131610218,0.08357052091196254,0.1245850776678746,2.5906256711322695e-23,E0_prime_WT,2,48334,12103,LAD_cluster
z_gust_0h,-0.02452546815497196,0.014748051414994703,-0.05343164892836158,0.004380712618417659,0.09631978333319215,E0_prime_WT,3,48568,11869,LAD_cluster
z_gust_0h_sq,0.10675727412129865,0.010387696134539874,0.0863973896976005,0.1271171585449968,8.920860967375247e-25,E0_prime_WT,3,48568,11869,LAD_cluster
z_gust_0h,-0.03293797538392541,0.015633692876619202,-0.06358001342209904,-0.0022959373457517723,0.03512986534157196,E0_prime_WT,4,48370,12067,LAD_cluster
z_gust_0h_sq,0.10192402300459782,0.009263298011728021,0.0837679589016109,0.12008008710758475,3.6964641890708006e-28,E0_prime_WT,4,48370,12067,LAD_cluster
