term,coefficient,std_error,ci_low,ci_high,p_value,model,fold,n_obs_in_fold_train,n_obs_in_fold_valid,inference
z_gust_0h,-0.011698819692752056,0.008905389260732111,-0.029153382643786994,0.005755743258282882,0.18895437051938968,R0c_prime_B_WT,0,47607,12227,LAD_cluster
z_gust_0h_sq,0.059171090476909945,0.006594336675522806,0.04624619059288525,0.07209599036093464,2.8850338391889903e-19,R0c_prime_B_WT,0,47607,12227,LAD_cluster
z_log1p_customers_v2,0.3471755554753119,0.0201141530919921,0.3077518154150074,0.38659929553561645,9.368464158690029e-67,R0c_prime_B_WT,0,47607,12227,LAD_cluster
z_log1p_customers_v2_sq,-0.39649801961746595,0.02086038578008172,-0.43738437574642614,-0.35561166348850576,1.4861233353755019e-80,R0c_prime_B_WT,0,47607,12227,LAD_cluster
z_gust_0h,0.005804396454970424,0.010195262838406877,-0.014178318708307056,0.025787111618247906,0.5691370388483719,R0c_prime_B_WT,1,47920,11914,LAD_cluster
z_gust_0h_sq,0.07155676536422109,0.0074932868538675765,0.05686992313064064,0.08624360759780154,1.3038711149310893e-21,R0c_prime_B_WT,1,47920,11914,LAD_cluster
z_log1p_customers_v2,0.34032242737740304,0.02082799531979081,0.29949955655061306,0.381145298204193,5.153684620286162e-60,R0c_prime_B_WT,1,47920,11914,LAD_cluster
z_log1p_customers_v2_sq,-0.39703669532031377,0.021140934918999935,-0.43847292776155367,-0.3556004628790739,1.0910986549831597e-78,R0c_prime_B_WT,1,47920,11914,LAD_cluster
z_gust_0h,0.0022615108574589923,0.00964772669022517,-0.016648033455382343,0.021171055170300324,0.8146677223732265,R0c_prime_B_WT,2,47824,12010,LAD_cluster
z_gust_0h_sq,0.08725181695285174,0.007074708354678318,0.07338538857768223,0.10111824532802124,6.022356654223365e-35,R0c_prime_B_WT,2,47824,12010,LAD_cluster
z_log1p_customers_v2,0.32955330865231164,0.020710114776408783,0.2889614836905504,0.37014513361407286,5.17548099856565e-57,R0c_prime_B_WT,2,47824,12010,LAD_cluster
z_log1p_customers_v2_sq,-0.3974236122304404,0.021040013932871297,-0.4386620395388682,-0.3561851849220127,1.4063498153286588e-79,R0c_prime_B_WT,2,47824,12010,LAD_cluster
z_gust_0h,0.009665229231886806,0.009941091111954748,-0.009819309347544502,0.029149767811318113,0.3309260215879497,R0c_prime_B_WT,3,48103,11731,LAD_cluster
z_gust_0h_sq,0.08072494180122691,0.00739398891005607,0.06623272353751701,0.09521716006493681,9.492581448603715e-28,R0c_prime_B_WT,3,48103,11731,LAD_cluster
z_log1p_customers_v2,0.3400492229283267,0.021167703114561762,0.29856052482378564,0.3815379210328677,4.522721850961193e-58,R0c_prime_B_WT,3,48103,11731,LAD_cluster
z_log1p_customers_v2_sq,-0.3964014046372599,0.021867206638998014,-0.43926112964969605,-0.3535416796248238,1.9277141601334498e-73,R0c_prime_B_WT,3,48103,11731,LAD_cluster
z_gust_0h,-0.0033704161669427723,0.009838169136933368,-0.022653227675332174,0.015912395341446627,0.7319101533652626,R0c_prime_B_WT,4,47882,11952,LAD_cluster
z_gust_0h_sq,0.08121941790710764,0.006610274821843615,0.06826327925629416,0.09417555655792112,1.0658608846447454e-34,R0c_prime_B_WT,4,47882,11952,LAD_cluster
z_log1p_customers_v2,0.3387909761316344,0.021244844642140402,0.2971510806330392,0.3804308716302296,2.990415744680283e-57,R0c_prime_B_WT,4,47882,11952,LAD_cluster
z_log1p_customers_v2_sq,-0.39309500964014354,0.021363546824222063,-0.43496756141561876,-0.3512224578646683,1.3071412411378158e-75,R0c_prime_B_WT,4,47882,11952,LAD_cluster
