Incident Reference,source_row_used,earliest_source_row,time_used,earliest_recorded_start,lag_hours,hour_diff,date_diff,gust_0h_used,gust_0h_earliest,gust_0h_delta,precipitation_24h_sum_used,precipitation_24h_sum_earliest,precipitation_24h_sum_delta,temperature_0h_used,temperature_0h_earliest,temperature_0h_delta,pressure_msl_0h_used,pressure_msl_0h_earliest,pressure_msl_0h_delta,earliest_weather_status,coordinate_diff,lad_diff,current_date,temporal_partition_change
FREP-14123-W,50,225253,2022-02-19 12:47:00+00:00,2022-02-18 17:19:00+00:00,19.466666666666665,True,True,16.299999237060547,21.39999961853028,-5.100000381469734,0.5,6.900000095367432,-6.400000095367432,7.550000190734863,6.449999809265137,1.1000003814697266,1011.2000122070312,1000.9000244140624,10.299987792968864,matched,False,False,2022-02-19,False
FREP-14126-W,52,52,2022-02-20 11:32:00+00:00,2022-02-20 11:32:00+00:00,0.0,False,False,17.399999618530273,17.399999618530273,0.0,4.699999809265137,4.699999809265137,0.0,11.25,11.25,0.0,1007.2000122070312,1007.2000122070312,0.0,matched,False,False,2022-02-20,False
FREP-13494-W,76,76,2021-08-17 03:01:00+00:00,2021-08-17 03:01:00+00:00,0.0,False,False,4.800000190734863,4.800000190734863,0.0,0.0,0.0,0.0,11.050000190734863,11.050000190734863,0.0,1021.2000122070312,1021.2000122070312,0.0,matched,False,False,2021-08-17,False
FREP-13646-W,90,88411,2021-09-08 08:16:00+00:00,2021-09-08 06:41:00+00:00,1.5833333333333333,True,False,8.699999809265137,8.0,0.6999998092651367,0.0,0.0,0.0,20.89999961853028,17.75,3.1499996185302805,1014.0,1014.2000122070312,-0.20001220703125,matched,False,False,2021-09-08,False
FREP-14105-W,92,92,2022-02-18 17:53:00+00:00,2022-02-18 17:53:00+00:00,0.0,False,False,21.700000762939453,21.700000762939453,0.0,6.200000286102295,6.200000286102295,0.0,6.650000095367432,6.650000095367432,0.0,1000.9000244140624,1000.9000244140624,0.0,matched,False,False,2022-02-18,False
FREP-75759-C,105,148104,2023-06-12 19:55:00+00:00,2023-06-12 19:29:00+00:00,0.43333333333333335,False,False,5.199999809265137,5.199999809265137,0.0,0.3000000119209289,0.3000000119209289,0.0,22.25,22.25,0.0,1015.2999877929688,1015.2999877929688,0.0,matched,False,False,2023-06-12,False
FREP-14172-W,118,118,2022-02-20 03:59:00+00:00,2022-02-20 03:59:00+00:00,0.0,False,False,14.800000190734863,14.800000190734863,0.0,4.5,4.5,0.0,9.399999618530272,9.399999618530272,0.0,1010.2000122070312,1010.2000122070312,0.0,matched,False,False,2022-02-20,False
FREP-14081-W,128,128,2022-02-18 15:14:00+00:00,2022-02-18 15:14:00+00:00,0.0,False,False,29.600000381469727,29.600000381469727,0.0,5.800000190734863,5.800000190734863,0.0,8.649999618530273,8.649999618530273,0.0,996.2000122070312,996.2000122070312,0.0,matched,False,False,2022-02-18,False
FREP-14113-W,130,130,2022-02-18 14:59:00+00:00,2022-02-18 14:59:00+00:00,0.0,False,False,31.200000762939453,31.200000762939453,0.0,3.1000001430511475,3.1000001430511475,0.0,8.949999809265137,8.949999809265137,0.0,989.0,989.0,0.0,matched,False,False,2022-02-18,False
FREP-14345-W,132,132,2022-02-18 12:12:00+00:00,2022-02-18 12:12:00+00:00,0.0,False,False,30.39999961853028,30.39999961853028,0.0,4.399999618530273,4.399999618530273,0.0,9.5,9.5,0.0,989.7999877929688,989.7999877929688,0.0,matched,False,False,2022-02-18,False
