label,decile,n,x_min,x_max,x_median,y_mean,y_median
multi_stage_all_raw,"(-0.001, 2.0]",2043,0.0,2.0,2.0,24.146492086800457,15.483333333333333
multi_stage_all_raw,"(2.0, 7.0]",2141,3.0,7.0,4.0,18.840572940993308,11.766666666666667
multi_stage_all_raw,"(7.0, 14.0]",1743,8.0,14.0,10.0,16.157286288009182,10.75
multi_stage_all_raw,"(14.0, 25.0]",1973,15.0,25.0,20.0,15.12509714478797,10.366666666666667
multi_stage_all_raw,"(25.0, 40.0]",1888,26.0,40.0,32.0,14.400838629943502,10.341666666666667
multi_stage_all_raw,"(40.0, 64.0]",1973,41.0,64.0,51.0,14.11146308498057,9.7
multi_stage_all_raw,"(64.0, 114.0]",1906,65.0,114.0,83.0,12.328707590066458,8.816666666666666
multi_stage_all_raw,"(114.0, 248.0]",1944,115.0,248.0,165.0,11.075214334705075,6.25
multi_stage_all_raw,"(248.0, 533.0]",1950,249.0,533.0,367.0,9.384307692307694,4.233333333333333
multi_stage_all_raw,"(533.0, 27013.0]",1951,534.0,27013.0,929.0,10.20684264479754,3.216666666666667
