Incident Reference,cause_group_official,customers_v2_event_excl_reinterruptions,duration_A_customer_weighted_hours,duration_B_full_span_hours,lat,lon,incident_date_utc,temperature_0h,pressure_msl_0h,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate,cv_fold_v3,urban_binary,log_population,incident_year,incident_month,substation,LAD21NM
FREP-75405-V,technical_asset,0.0,,3.683333333333333,51.3401270967876,-0.112121674562762,2021-11-26,6.199999809265137,995.0,12.699999809265137,1.2000000476837158,matched,E09000008,390691.0,Urban with Major Conurbation,0.4009999999999999,0.49,0.136,2.0,1.0,12.87567224520067,2021,11,PURLEY LOCAL 33/11KV,Croydon
FREP-56955-C,technical_asset,0.0,,1.0,52.5938665883332,-0.266549961436331,2021-11-28,1.4500000476837158,1004.5,18.299999237060547,5.300000190734863,matched,E06000031,216470.0,Urban with City and Town,0.3309999999999999,0.32,0.156,2.0,1.0,12.2852072486939,2021,11,PETERBOROUGH NORTH GRID,Peterborough
FREP-57227-C,technical_asset,2.0,7.983333333333333,7.983333333333333,51.6969245927576,0.255430767380644,2021-11-27,1.2999999523162842,987.7999877929688,12.600000381469728,5.59999942779541,matched,E07000072,134941.0,Urban with Significant Rural (rural including hub towns 26-49%),0.224,0.14,0.091,3.0,1.0,11.812592924855009,2021,11,ONGAR PRIMARY,Epping Forest
FREP-57229-C,technical_asset,2.0,6.108333333333333,8.316666666666666,51.8477438633511,0.156507335423487,2021-11-27,1.7000000476837158,990.2000122070312,11.600000381469728,4.100000381469727,matched,E07000242,150662.0,Urban with Significant Rural (rural including hub towns 26-49%),0.1669999999999999,0.04,0.06,3.0,1.0,11.922794196215245,2021,11,THORLEY PRIMARY,East Hertfordshire
FREP-57317-C,technical_asset,62.0,0.925,1.1,51.803888482106,1.16435758884433,2021-11-28,3.21500015258789,1004.0999755859376,11.899999618530272,1.4000000953674316,matched,E07000076,148925.0,Largely Rural (rural including hub towns 50-79%) ,0.5249999999999999,0.49,0.173,2.0,0.0,11.911198102496888,2021,11,VALLEYBRIDGE RD PRIMARY,Tendring
FREP-57213-C,weather_natural,0.0,,1.6166666666666667,51.8256446215687,1.17971600205067,2021-11-27,2.71500015258789,983.0,11.699999809265137,2.5,matched,E07000076,148925.0,Largely Rural (rural including hub towns 50-79%) ,0.5249999999999999,0.49,0.173,3.0,0.0,11.911198102496888,2021,11,CLACTON GRID,Tendring
FREP-57269-C,weather_natural,190.0,3.0642105263157897,8.583333333333334,52.6668052159131,0.412564926230026,2021-11-27,3.75,1000.4000244140624,20.100000381469727,9.300000190734863,matched,E07000146,154920.0,Largely Rural (rural including hub towns 50-79%) ,0.301,0.29,0.12,3.0,0.0,11.950664133628688,2021,11,WATLINGTON PRIMARY,King's Lynn and West Norfolk
FREP-276576-J,technical_asset,0.0,,1.0,51.5227947036953,-0.192609179198131,2021-11-26,5.949999809265137,996.0,10.899999618530272,0.5,matched,E09000033,205759.0,Urban with Major Conurbation,0.391,0.48,0.135,2.0,1.0,12.234460859988477,2021,11,AMBERLEY RD 11KV,Westminster
FREP-278775-J,technical_asset,10.0,3.2687500000000003,8.6,51.5073730933209,-0.098789646830844,2021-11-27,2.25,990.2999877929688,11.699999809265137,5.100000381469727,matched,E09000028,306762.0,Urban with Major Conurbation,0.374,0.43,0.162,3.0,1.0,12.6338274816124,2021,11,BANKSIDE B3 11KV,Southwark
FREP-278661-J,technical_asset,24.0,2.283809523809524,7.6,51.5931847836538,0.0841496939754189,2021-11-25,1.25,1015.2000122070312,5.0,0.0,matched,E09000026,310130.0,Urban with Major Conurbation,0.2739999999999999,0.41,0.121,1.0,1.0,12.644746843395373,2021,11,FAIRLOP RD,Redbridge
