Incident Reference,cause_group_official,customers_v2_event_excl_reinterruptions,duration_A_customer_weighted_hours,duration_B_full_span_hours,lat,lon,incident_date_utc,temperature_0h,pressure_msl_0h,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate,cv_fold_v3,urban_binary,log_population,incident_year,incident_month,substation,LAD21NM
FREP-14123-W,weather_natural,18.0,22.47777777777777,28.966666666666665,51.1176023620788,-0.162700185396882,2022-02-19,7.550000190734863,1011.2000122070312,16.299999237060547,0.5,matched,E07000226,119959.0,Urban with City and Town,0.2629999999999999,0.28,0.11,1.0,1.0,11.694905296716163,2022,2,CRAWLEY TOWN 33/11KV,Crawley
FREP-14126-W,weather_natural,7.0,54.740476190476194,56.1,51.1511090372096,-0.504034443005657,2022-02-20,11.25,1007.2000122070312,17.399999618530273,4.699999809265137,matched,E07000216,130327.0,Largely Rural (rural including hub towns 50-79%) ,0.1689999999999999,0.03,0.054,2.0,0.0,11.777801955768314,2022,2,CRANLEIGH 33/11KV,Waverley
FREP-14172-W,weather_natural,419.0,6.684586720867209,97.63333333333334,51.0666275092411,0.322967186539106,2022-02-20,9.399999618530272,1010.2000122070312,14.800000190734863,4.5,matched,E07000065,163091.0,Mainly Rural (rural including hub towns >=80%) ,0.237,0.29,0.073,2.0,0.0,12.002063606215954,2022,2,WADHURST 33/6.6KV,Wealden
FREP-14204-W,technical_asset,3.0,52.51666666666667,52.516666666666666,51.1081876089666,1.04230379821497,2022-02-21,5.449999809265137,1002.5999755859376,18.89999961853028,3.300000190734864,matched,E07000112,110372.0,Urban with Significant Rural (rural including hub towns 26-49%),0.3339999999999999,0.43,0.145,3.0,1.0,11.611611757468927,2022,2,STANFORD 33/11KV,Folkestone and Hythe
FREP-14185-W,weather_natural,528.0,20.396748737373738,27.4,50.9836035710203,0.296735092609588,2022-02-20,10.300000190734863,1003.5,22.0,1.7000000476837158,matched,E07000065,163091.0,Mainly Rural (rural including hub towns >=80%) ,0.237,0.29,0.073,2.0,0.0,12.002063606215954,2022,2,BROAD OAK 33/11KV,Wealden
FREP-14200-W,weather_natural,33.0,34.38333333333333,34.38333333333333,50.9519783347092,-0.487030444826157,2022-02-19,6.800000190734863,1009.2999877929688,20.100000381469727,2.6999998092651367,matched,E07000227,148784.0,Largely Rural (rural including hub towns 50-79%) ,0.124,0.03,0.056,1.0,0.0,11.910250868717979,2022,2,PULBOROUGH 33/11KV,Horsham
FREP-14214-W,technical_asset,1.0,28.266666666666666,28.266666666666666,50.7983473761425,0.287142238121887,2022-02-21,8.199999809265137,1005.5999755859376,23.200000762939453,3.5999999046325684,matched,E07000061,102304.0,Urban with City and Town,0.283,0.29,0.141,3.0,1.0,11.535704051859568,2022,2,HAMPDEN PARK 33/11KV,Eastbourne
FREP-174641-J,technical_asset,0.0,,1.0,51.535218783752,-0.0682578840091404,2022-02-21,10.350000381469728,1010.5,19.100000381469727,2.900000095367432,matched,E09000012,261814.0,Urban with Major Conurbation,0.343,0.23,0.196,3.0,1.0,12.47538960696398,2022,2,WHISTON RD,Hackney
FREP-19669-U,weather_natural,10.0,90.48333333333332,90.48333333333332,51.2651428383632,0.487886812615242,2022-02-19,2.299999952316284,1013.2999877929688,11.199999809265137,2.5,matched,E07000110,180144.0,Urban with Significant Rural (rural including hub towns 26-49%),0.297,0.32,0.095,1.0,1.0,12.101511810042911,2022,2,BARMING 33/11KV,Maidstone
FREP-19717-U,weather_natural,483.0,0.25,0.25,51.3031628419803,0.335796293006111,2022-02-20,5.0,1001.7999877929688,16.899999618530273,3.0,matched,E07000115,133655.0,Urban with Significant Rural (rural including hub towns 26-49%),0.231,0.17,0.08,2.0,1.0,11.803017132015809,2022,2,WROTHAM HEATH 33/11KV,Tonbridge and Malling
FREP-19718-U,weather_natural,81.0,39.54444444444445,46.25,51.0470823089683,0.40528412380319,2022-02-20,5.150000095367432,1003.0999755859376,18.0,4.400000095367432,matched,E07000064,94323.0,Largely Rural (rural including hub towns 50-79%) ,0.35,0.37,0.113,2.0,0.0,11.45448034132121,2022,2,TICEHURST 33/11KV,Rother
FREP-19785-U,weather_natural,0.0,,0.1666666666666666,50.9867231707817,0.47252542377737,2022-02-20,10.649999618530272,1006.2999877929688,21.100000381469727,3.200000286102295,matched,E07000064,94323.0,Largely Rural (rural including hub towns 50-79%) ,0.35,0.37,0.113,2.0,0.0,11.45448034132121,2022,2,ROBERTSBRIDGE 33/11KV,Rother
FREP-267252-G,weather_natural,44.0,57.751893939393945,81.41666666666667,51.3412853502412,0.715243085981626,2022-02-21,6.449999809265137,1001.9000244140624,19.200000762939453,2.800000190734864,matched,E07000113,154508.0,Largely Rural (rural including hub towns 50-79%) ,0.407,0.43,0.149,3.0,0.0,11.948001153914678,2022,2,SITTINGBOURNE WEST 33/11KV,Swale
FREP-267488-G,weather_natural,13.0,56.02820512820513,95.36666666666666,50.927579327247,-0.390106657160305,2022-02-19,7.099999904632568,1008.0,23.299999237060547,4.800000190734863,matched,E07000227,148784.0,Largely Rural (rural including hub towns 50-79%) ,0.124,0.03,0.056,1.0,0.0,11.910250868717979,2022,2,ASHINGTON 33/11KV,Horsham
FREP-267394-G,weather_natural,2313.0,3.006009913258984,53.333333333333336,51.1354393754552,-0.169253596536083,2022-02-20,10.100000381469728,996.5999755859376,22.89999961853028,1.3000000715255735,matched,E07000226,119959.0,Urban with City and Town,0.2629999999999999,0.28,0.11,2.0,1.0,11.694905296716163,2022,2,CRAWLEY INDUSTRIAL EAST 33/11KV,Crawley
FREP-267522-G,weather_natural,23.0,24.0,24.0,51.1049953072768,-0.202111196018126,2022-02-19,3.3499999046325684,1013.7999877929688,10.5,1.3000000715255735,matched,E07000226,119959.0,Urban with City and Town,0.2629999999999999,0.28,0.11,1.0,1.0,11.694905296716163,2022,2,SOUTHGATE 33/11KV,Crawley
FREP-268015-G,weather_natural,10.0,22.7,22.7,50.9823414683587,0.0027766790657315,2022-02-22,6.650000095367432,1022.7000122070312,7.199999809265137,0.3000000119209289,matched,E07000063,100693.0,Urban with Significant Rural (rural including hub towns 26-49%),0.225,0.36,0.099,4.0,1.0,11.519831562884328,2022,2,NEWICK 33/11KV,Lewes
FREP-268067-G,weather_natural,1.0,96.25,96.25,50.8796073879873,0.241262929591364,2022-02-20,5.349999904632568,1003.5999755859376,16.700000762939453,4.699999809265137,matched,E07000065,163091.0,Mainly Rural (rural including hub towns >=80%) ,0.237,0.29,0.073,2.0,0.0,12.002063606215954,2022,2,HORSEBRIDGE 33/11KV,Wealden
FREP-268173-G,weather_natural,16.0,33.78333333333333,33.78333333333333,51.1300322898903,-0.0147947832634629,2022-02-19,7.050000190734863,1013.4000244140624,11.899999618530272,0.4000000059604645,matched,E07000228,155159.0,Urban with City and Town,0.155,0.02,0.053,1.0,1.0,11.952205676573094,2022,2,EAST GRINSTEAD 33/11KV,Mid Sussex
FREP-267923-G,weather_natural,4.0,14.425,54.2,51.1693386780882,0.613768125016,2022-02-20,10.899999618530272,1005.2999877929688,20.299999237060547,4.5,matched,E07000110,180144.0,Urban with Significant Rural (rural including hub towns 26-49%),0.297,0.32,0.095,2.0,1.0,12.101511810042911,2022,2,HEADCORN 33/6.6KV,Maidstone
FREP-267962-G,weather_natural,14.0,87.4,87.4,51.1135126645777,0.470287144925582,2022-02-19,8.149999618530273,1012.9000244140624,14.600000381469728,0.3000000119209289,matched,E07000116,116263.0,Urban with Significant Rural (rural including hub towns 26-49%),0.213,0.19,0.073,1.0,1.0,11.663610145154312,2022,2,GOUDHURST 33/11KV,Tunbridge Wells
FREP-267977-G,weather_natural,9.0,129.45,129.45,50.9490589725163,0.453212451572045,2022-02-19,6.900000095367432,1008.7000122070312,21.799999237060547,1.2999999523162842,matched,E07000064,94323.0,Largely Rural (rural including hub towns 50-79%) ,0.35,0.37,0.113,1.0,0.0,11.45448034132121,2022,2,MOUNTFIELD 33/11KV,Rother
FREP-268034-G,weather_natural,8.0,5.35,5.35,50.9700428194242,0.0948016972566031,2022-02-20,10.5,1008.4000244140624,19.799999237060547,4.300000190734863,matched,E07000065,163091.0,Mainly Rural (rural including hub towns >=80%) ,0.237,0.29,0.073,2.0,0.0,12.002063606215954,2022,2,UCKFIELD 33/11KV,Wealden
FREP-268345-G,weather_natural,4.0,124.0,124.0,51.3988356323046,0.303460419871465,2022-02-19,7.349999904632568,1011.7999877929688,12.100000381469728,0.0,matched,E07000107,119042.0,Urban with Major Conurbation,0.2809999999999999,0.34,0.095,1.0,1.0,11.687231651001051,2022,2,LONGFIELD 33/11KV,Dartford
FREP-268351-G,weather_natural,3817.0,8.990807367877432,43.88333333333333,51.1081876089666,1.04230379821497,2022-02-19,8.600000381469727,1006.5,23.799999237060547,3.300000190734864,matched,E07000112,110372.0,Urban with Significant Rural (rural including hub towns 26-49%),0.3339999999999999,0.43,0.145,1.0,1.0,11.611611757468927,2022,2,STANFORD 33/11KV,Folkestone and Hythe
FREP-268453-G,weather_natural,13.0,119.1,119.1,51.0664130545523,0.686629791075036,2022-02-19,7.449999809265137,1010.2999877929688,18.700000762939453,0.8999999761581421,matched,E07000105,135818.0,Urban with Significant Rural (rural including hub towns 26-49%),0.291,0.34,0.11,1.0,1.0,11.819071033187548,2022,2,TENTERDEN 33/6.6KV,Ashford
