term,coef,se,p
Intercept,3.3211008710255747,1.0448882688594632,0.0014807660554006414
z_gust_0h,-0.032325899095631154,0.014108122956168838,0.021946244912677812
z_gust_0h_sq,0.10276170747389514,0.008912256152054618,9.273259664819737e-31
z_precipitation_24h_sum,0.0485997873516786,0.010473487522532039,3.47957886953064e-06
z_temperature_0h,-0.008926639188148044,0.02029510070937384,0.6600514923182021
z_pressure_msl_0h,-0.08420380237006826,0.011031350473845401,2.2911032822115388e-14
z_gust_pressure,-0.0408384359554068,0.009170568410046013,8.459727379456839e-06
urban_binary,-0.15803712783196716,0.07669561951208263,0.03934353954206604
log_population,-0.07898144300011366,0.08903138142597564,0.37501475744913104
income_deprivation_rate,-3.203150255790918,0.9045080528150305,0.0003981340772311689
deprivation_gap_pct,0.1784151437713651,0.54766635364311,0.7445957866142595
morans_i,-0.027438771133783433,0.24108709735865147,0.9093862786026585
incident_year[2022],0.0914004337391774,0.02726957491145471,0.0008030636978708763
incident_year[2023],0.013407702246523767,0.03052490564499264,0.6604890045693133
incident_year[2024],-0.026255950565071337,0.04544793580289475,0.5634566048226188
incident_month[2],0.0352074685308269,0.042535909390038644,0.40783380936528235
incident_month[3],-0.03063645011240304,0.046515017512939835,0.5101297462504617
incident_month[4],-0.08921511832986058,0.04782822585822776,0.06213605940931106
incident_month[5],-0.017727230475259356,0.05254234911162465,0.7358233910131252
incident_month[6],0.2462588755794787,0.05865273691957137,2.6858047058146516e-05
incident_month[7],0.2910981325264724,0.05681332720507454,2.994943583837053e-07
incident_month[8],0.1286981442306338,0.05551974260959201,0.02044601180272594
incident_month[9],0.049287107179608595,0.055108991888615656,0.3711309646929766
incident_month[10],-0.06549607063930604,0.05150513777755196,0.2035005247146513
incident_month[11],-0.12811809654512352,0.04240953473601306,0.0025196309754067538
incident_month[12],0.0663876080498038,0.040895523872775355,0.10451534139195988
