term,coef,se,p
Intercept,3.3211008710255747,1.048828435096268,0.0015429261362506644
z_gust_0h,-0.032325899095631154,0.021986309125191172,0.14148755449903563
z_gust_0h_sq,0.10276170747389514,0.030914420167530973,0.000887138138437923
z_precipitation_24h_sum,0.0485997873516786,0.01607780397958334,0.002504579223173143
z_temperature_0h,-0.008926639188148044,0.04120619149449946,0.8284940198541724
z_pressure_msl_0h,-0.08420380237006826,0.021642453870670302,9.99648342255578e-05
z_gust_pressure,-0.0408384359554068,0.024994849699239385,0.10228530255794396
urban_binary,-0.15803712783196716,0.07687261525764731,0.03979878082157733
log_population,-0.07898144300011366,0.0889786660112567,0.3747318907173619
income_deprivation_rate,-3.203150255790918,0.915611903831622,0.0004681092396552729
deprivation_gap_pct,0.1784151437713651,0.5448598538962607,0.7433264654023689
morans_i,-0.027438771133783433,0.24015396600529793,0.9090357204701954
incident_year[2022],0.0914004337391774,0.03606552198972752,0.011267595721716123
incident_year[2023],0.013407702246523767,0.038466801230842264,0.7274252442943041
incident_year[2024],-0.026255950565071337,0.0721158469443211,0.7157981364121372
incident_month[2],0.0352074685308269,0.08184508616013375,0.6670704916609413
incident_month[3],-0.03063645011240304,0.06931629005125553,0.6585033003295272
incident_month[4],-0.08921511832986058,0.06925992068640016,0.1977040471057161
incident_month[5],-0.017727230475259356,0.08061185928635044,0.8259424412602341
incident_month[6],0.2462588755794787,0.10676300688080351,0.02107748291202419
incident_month[7],0.2910981325264724,0.0809166353857076,0.00032128230509526415
incident_month[8],0.1286981442306338,0.1120189113683494,0.2505986278078245
incident_month[9],0.049287107179608595,0.10106105298229562,0.62576493390689
incident_month[10],-0.06549607063930604,0.08326008151304617,0.43149010399625376
incident_month[11],-0.12811809654512352,0.07215480927918835,0.07579883072254777
incident_month[12],0.0663876080498038,0.06295853524266377,0.29166981364346933
