term,coef,se,p
Intercept,1.6779555866935778,0.17856018825151587,5.606481446128663e-21
z_gust_0h,0.0001979069022939746,0.016967715174776427,0.99069389838773
z_gust_0h_sq,0.07923745080615863,0.008090512007057332,1.1962340674378232e-22
z_precipitation_24h_sum,0.049975896516419135,0.009541215491920529,1.6241734762021188e-07
z_temperature_0h,-0.07303726463000584,0.01794041234444208,4.679107413364467e-05
z_pressure_msl_0h,-0.03886573064101421,0.014919946799673805,0.00918873945212149
z_gust_pressure,0.025261496893503866,0.014741580938195683,0.08659817687530366
urban_binary,0.1364098041272731,0.017147351536639863,1.7891035058427555e-15
log_population,0.014379018689308416,0.014079297225878836,0.30711796352461107
income_deprivation_rate,0.15975569006318913,0.23992133308101135,0.5054961370229083
deprivation_gap_pct,-0.1756356310082466,0.12278118371349261,0.1525802285887366
morans_i,0.26214452696688595,0.049754722245723776,1.373658933635682e-07
z_log1p_customers_v2,0.3391656146084434,0.012787346102724863,5.1888385257893365e-155
z_log1p_customers_v2_sq,-0.39608013293229316,0.011657112930113601,4.7814028160131205e-253
incident_year[2022],0.04033547685843682,0.02372201350106818,0.08906708237644989
incident_year[2023],-0.11122931855992614,0.022408671765436657,6.917237643584527e-07
incident_year[2024],-0.2530289473896094,0.06455370098145552,8.867176621629197e-05
incident_month[2],0.3617885822689871,0.09654620888723309,0.00017874107211246918
incident_month[3],-0.021450234377912044,0.038627720668418075,0.5786848564085014
incident_month[4],-0.0815200795725814,0.04018028529165769,0.042472790406216626
incident_month[5],-0.07446313663682791,0.04613489045812888,0.10652073406342334
incident_month[6],0.10828273358367528,0.05170507720204701,0.03623879094889733
incident_month[7],0.08554300616940556,0.05083517268103115,0.09242304333743061
incident_month[8],0.07288865519762089,0.05448140418187565,0.1809410982837023
incident_month[9],-0.009271234724448095,0.04774151373304384,0.8460220257154865
incident_month[10],-0.05689558892345797,0.04621262034864005,0.21825931241091112
incident_month[11],-0.05830004843859495,0.04669804067172208,0.2118672521048326
incident_month[12],0.0035020488044457446,0.04330498939979523,0.9355458100869515
