term,coefficient_repro,std_error_repro,ci_low_repro,ci_high_repro,p_value_repro,model,outcome_family,fold,n_obs_in_fold_train_repro,n_obs_in_fold_valid_repro,inference_repro,coefficient_cmd1,std_error_cmd1,ci_low_cmd1,ci_high_cmd1,p_value_cmd1,inference_cmd1,n_obs_in_fold_train_cmd1,n_obs_in_fold_valid_cmd1,abs_diff_coefficient,abs_diff_std_error,abs_diff_p_value
z_gust_0h,0.018822642211226683,0.015086066981715327,-0.01074604907293536,0.048391333495388725,0.21214685600741312,R0_legacy_log_OLS,recovery,0,7329,1793,LAD_cluster,0.0188226422112266,0.0150860669817153,-0.0107460490729353,0.0483913334953887,0.2121468560074131,LAD_cluster,7329,1793,8.326672684688674e-17,2.7755575615628914e-17,2.7755575615628914e-17
z_gust_0h_sq,-0.029157820234361757,0.01278237221568166,-0.05421126977709781,-0.004104370691625704,0.02254275705785084,R0_legacy_log_OLS,recovery,0,7329,1793,LAD_cluster,-0.0291578202343617,0.0127823722156816,-0.0542112697770978,-0.0041043706916257,0.0225427570578508,LAD_cluster,7329,1793,5.551115123125783e-17,6.071532165918825e-17,3.8163916471489756e-17
z_gust_0h,0.02551248980901883,0.017198028492214433,-0.008195646035721454,0.059220625653759115,0.13795374218495815,R0_legacy_log_OLS,recovery,1,7307,1815,LAD_cluster,0.0255124898090188,0.0171980284922144,-0.0081956460357214,0.0592206256537591,0.1379537421849581,LAD_cluster,7307,1815,3.122502256758253e-17,3.469446951953614e-17,5.551115123125783e-17
z_gust_0h_sq,0.003077652141197906,0.012520847897587237,-0.02146320973807308,0.027618514020468887,0.8058353426911804,R0_legacy_log_OLS,recovery,1,7307,1815,LAD_cluster,0.0030776521411979,0.0125208478975872,-0.021463209738073,0.0276185140204688,0.8058353426911804,LAD_cluster,7307,1815,6.071532165918825e-18,3.642919299551295e-17,0.0
z_gust_0h,0.013751878853617032,0.01605533712270342,-0.01771658190688167,0.045220339614115736,0.3917046535656189,R0_legacy_log_OLS,recovery,2,7312,1810,LAD_cluster,0.013751878853617,0.0160553371227034,-0.0177165819068816,0.0452203396141157,0.3917046535656189,LAD_cluster,7312,1810,3.122502256758253e-17,2.0816681711721685e-17,0.0
z_gust_0h_sq,0.007674880697897428,0.012362682890081264,-0.01655597776666185,0.0319057391624567,0.5347244548150638,R0_legacy_log_OLS,recovery,2,7312,1810,LAD_cluster,0.0076748806978974,0.0123626828900812,-0.0165559777666618,0.0319057391624567,0.5347244548150638,LAD_cluster,7312,1810,2.7755575615628914e-17,6.418476861114186e-17,0.0
z_gust_0h,0.044405978058109356,0.01720208266448868,0.010689896035711542,0.07812206008050718,0.009839184676419028,R0_legacy_log_OLS,recovery,3,7242,1880,LAD_cluster,0.0444059780581093,0.0172020826644886,0.0106898960357115,0.0781220600805071,0.009839184676419,LAD_cluster,7242,1880,5.551115123125783e-17,7.979727989493313e-17,2.7755575615628914e-17
z_gust_0h_sq,0.008707281197107735,0.014929374715603608,-0.020554293245475336,0.03796885563969081,0.5597374871215155,R0_legacy_log_OLS,recovery,3,7242,1880,LAD_cluster,0.0087072811971077,0.0149293747156036,-0.0205542932454753,0.0379688556396908,0.5597374871215155,LAD_cluster,7242,1880,3.469446951953614e-17,8.673617379884035e-18,0.0
z_gust_0h,0.030112016918204032,0.016727237223887966,-0.0026733680406163807,0.06289740187702444,0.0718324188248571,R0_legacy_log_OLS,recovery,4,7298,1824,LAD_cluster,0.030112016918204,0.0167272372238879,-0.0026733680406163,0.0628974018770244,0.0718324188248571,LAD_cluster,7298,1824,3.122502256758253e-17,6.591949208711867e-17,0.0
z_gust_0h_sq,0.012204712391567852,0.013596228004643648,-0.014443894497533699,0.0388533192806694,0.3693698860049791,R0_legacy_log_OLS,recovery,4,7298,1824,LAD_cluster,0.0122047123915678,0.0135962280046436,-0.0144438944975336,0.0388533192806694,0.3693698860049791,LAD_cluster,7298,1824,5.204170427930421e-17,4.85722573273506e-17,0.0
