LAD21CD,date,gust,precip,n_inc,maxc,wmaxc,log_population,urban_binary,income_deprivation_rate,year,month,any_gt0,wthr_gt0,any_gt5,wthr_gt5,any_gt100,wthr_gt100,any_gt1000,wthr_gt1000
E06000031,2021-04-01,10.39035829837927,0.2357014693557049,0,-1.0,-1.0,12.2852072486939,1.0,0.156,2021,4,0,0,0,0,0,0,0,0
E06000032,2021-04-01,10.23059277069465,0.13288035164963247,0,-1.0,-1.0,12.3236689970955,1.0,0.155,2021,4,0,0,0,0,0,0,0,0
E06000033,2021-04-01,10.058329975815912,0.03538251538885384,1,6.0,-1.0,12.10434441402282,1.0,0.144,2021,4,1,0,1,0,0,0,0,0
E06000034,2021-04-01,10.07364925053392,0.035051319420820126,1,1.0,-1.0,12.077858519724389,1.0,0.13,2021,4,1,0,0,0,0,0,0,0
E06000035,2021-04-01,10.155181265616239,0.029523702817711616,2,17.0,-1.0,12.54219839355972,1.0,0.134,2021,4,1,0,1,0,0,0,0,0
E06000043,2021-04-01,10.838380345972354,0.029118815450143557,1,31.0,-1.0,12.535376392672774,1.0,0.123,2021,4,1,0,1,0,0,0,0,0
E06000055,2021-04-01,10.264610414463313,0.23356000832822552,3,1.0,-1.0,12.132404576604838,1.0,0.114,2021,4,1,0,0,0,0,0,0,0
E06000056,2021-04-01,10.250560468332349,0.16971175247521253,1,2.0,-1.0,12.596934983621066,0.0,0.077,2021,4,1,0,0,0,0,0,0,0
E06000060,2021-04-01,10.35459532008715,0.10612363590978216,0,-1.0,-1.0,13.227013440750667,1.0,0.06325,2021,4,0,0,0,0,0,0,0,0
E07000008,2021-04-01,10.144257127740776,0.18388819113940547,1,7.0,-1.0,11.91064061961833,1.0,0.077,2021,4,1,0,1,0,0,0,0,0
E07000009,2021-04-01,10.395692243911185,0.16803451136903302,0,-1.0,-1.0,11.38651154011457,0.0,0.07,2021,4,0,0,0,0,0,0,0,0
E07000010,2021-04-01,10.586659244833244,0.18159703360109047,1,0.0,-1.0,11.539869200417774,0.0,0.14,2021,4,1,0,0,0,0,0,0,0
E07000011,2021-04-01,10.249285216592666,0.24960953861015767,0,-1.0,-1.0,12.110810964549762,0.0,0.074,2021,4,0,0,0,0,0,0,0,0
E07000012,2021-04-01,10.115850647423139,0.1771730575668541,0,-1.0,-1.0,12.001763115309677,0.0,0.056,2021,4,0,0,0,0,0,0,0,0
E07000061,2021-04-01,11.259689383267716,0.033092379051461535,0,-1.0,-1.0,11.535704051859568,1.0,0.141,2021,4,0,0,0,0,0,0,0,0
E07000062,2021-04-01,11.236701117461354,0.03299062779312812,0,-1.0,-1.0,11.41832903038917,1.0,0.202,2021,4,0,0,0,0,0,0,0,0
E07000063,2021-04-01,10.86246026827374,0.029154923194551204,1,4.0,-1.0,11.514584088693098,1.0,0.099,2021,4,1,0,0,0,0,0,0,0
E07000064,2021-04-01,10.950113275223043,0.03096322276238713,2,48.0,48.0,11.45448034132121,0.0,0.113,2021,4,1,1,1,1,0,0,0,0
E07000065,2021-04-01,10.774967894691555,0.028567576299478318,0,-1.0,-1.0,12.002063606215954,0.0,0.073,2021,4,0,0,0,0,0,0,0,0
E07000066,2021-04-01,10.021935529024416,0.041015680536208854,0,-1.0,-1.0,12.160656781999691,1.0,0.138,2021,4,0,0,0,0,0,0,0,0
E07000067,2021-04-01,9.986640963521788,0.07747199668928424,0,-1.0,-1.0,11.98601183767587,0.0,0.092,2021,4,0,0,0,0,0,0,0,0
E07000068,2021-04-01,10.023514568841158,0.04633671008111866,1,1.0,-1.0,11.253001221229496,1.0,0.064,2021,4,1,0,0,0,0,0,0,0
E07000069,2021-04-01,10.03930580226035,0.036870735558218445,0,-1.0,-1.0,11.404359818363451,1.0,0.107,2021,4,0,0,0,0,0,0,0,0
E07000070,2021-04-01,9.985671238389854,0.0525537856867939,0,-1.0,-1.0,12.110810964549762,1.0,0.077,2021,4,0,0,0,0,0,0,0,0
E07000071,2021-04-01,10.062362337559716,0.05909013796516311,1,1.0,-1.0,12.198529265645048,1.0,0.099,2021,4,1,0,0,0,0,0,0,0
E07000072,2021-04-01,10.065759428382522,0.055670002175047584,1,37.0,-1.0,11.812592924855007,1.0,0.091,2021,4,1,0,1,0,0,0,0,0
E07000073,2021-04-01,10.053378566235756,0.07230163738709519,0,-1.0,-1.0,11.47656226523392,1.0,0.134,2021,4,0,0,0,0,0,0,0,0
E07000074,2021-04-01,10.018608485772962,0.04441456254192697,0,-1.0,-1.0,11.13312810361064,0.0,0.086,2021,4,0,0,0,0,0,0,0,0
