k1,sse,bic
8.0,238082.04517968406,83146.20682963727
9.0,237898.976946861,83099.71718060355
10.0,237774.8336454184,83068.17098776063
11.0,237671.8715642614,83041.99468102436
12.0,237616.0319004844,83027.79368095423
13.0,237591.89185664948,83021.65341368355
14.0,237645.12160426323,83035.19211617879
15.0,237756.57119002537,83063.52890521506
16.0,237923.23854817703,83105.8804001938
17.0,238093.81224587047,83149.19381928894
18.0,238268.6608653019,83193.56056555307
19.0,238437.94683213544,83236.4848138953
20.0,238573.90793391768,83270.93712885909
21.0,238682.594106257,83298.46390443217
22.0,238759.10928146448,83317.8352649597
23.0,238803.9011446554,83329.17234837908
24.0,238831.00581108808,83336.03166583306
25.0,238840.7548945528,83338.49865427955
26.0,238840.37315648358,83338.40205802597
27.0,238836.67137732464,83337.46533967371
28.0,238831.98965763295,83336.28063104156
29.0,238825.23299481944,83334.5708173462
30.0,238822.4118522038,83333.85689611954
