k1,k2,sse,bic,lr
8.0,18.0,95767.29377239755,28461.73277980575,5.214570806490664
8.0,19.0,95776.80305253265,28467.673743557723,11.155534558469299
8.0,20.0,95797.02173256084,28480.303490932198,23.78528193293284
8.0,21.0,95829.91143237642,28500.842590374923,44.324381375658064
8.0,22.0,95875.22703699187,28529.129927466784,72.61171846752201
8.0,23.0,95915.97479723474,28554.55446727611,98.03625827684701
8.0,24.0,95955.15138935494,28578.98849538741,122.4702863881414
8.0,25.0,95988.33067886546,28599.67426816755,143.1560591682833
8.0,26.0,96020.10192895035,28619.47549219828,162.95728319900917
8.0,27.0,96045.94786731381,28635.57897208985,179.06076309058398
8.0,28.0,96077.80506262847,28655.42184328988,198.90363429061583
8.0,29.0,96111.71200449015,28676.534212074206,220.01600307494104
8.0,30.0,96138.84283815543,28693.42203134353,236.9038223442661
8.0,31.0,96164.68878252104,28709.505628263985,252.98741926471592
8.0,32.0,96185.64503957979,28722.543262926723,266.0250539274522
8.0,33.0,96199.75669099783,28731.321024075605,274.80281507634635
8.0,34.0,96212.5012503635,28739.24731707127,282.72910807200105
9.0,18.0,95766.23048542562,28461.068450018836,4.550241019564896
9.0,19.0,95772.86784257327,28465.21527571863,8.69706671936
9.0,20.0,95789.61986609933,28475.680169865733,19.161960866473077
9.0,21.0,95818.59225047834,28493.774735239484,37.25652624021876
9.0,22.0,95859.67360504648,28519.422523692658,62.904314693402625
9.0,23.0,95896.58004867725,28542.454473195157,85.93626419589376
9.0,24.0,95932.11988428907,28564.625196857163,108.10698785790294
9.0,25.0,95962.07537462989,28583.3058747296,126.78766573033954
9.0,26.0,95991.0561175478,28601.373136997703,144.8549279984436
9.0,27.0,96014.68169749458,28616.097831933974,159.57962293469916
9.0,28.0,96044.40096899544,28634.6152889632,178.09707996393917
9.0,29.0,96076.12824493404,28654.377568960397,197.85935996112948
9.0,30.0,96101.3932775303,28670.109980920937,213.59177192167982
9.0,31.0,96125.44052409052,28685.080242145494,228.56203314623144
9.0,32.0,96144.93038782469,28697.210624014875,240.69241501561967
9.0,33.0,96158.05489505091,28705.37785829299,248.8596492937331
9.0,34.0,96169.73451287756,28712.64501667973,256.1268076804617
10.0,18.0,95766.69883839105,28461.3610726131,4.842863613842819
10.0,19.0,95770.69281332739,28463.856413019646,7.338204020372043
10.0,20.0,95783.96174054916,28472.145775598754,15.627566599491326
10.0,21.0,95808.73729822856,28487.62048558395,31.102276584681643
10.0,22.0,95845.04173031377,28510.288855875195,53.770646875934204
10.0,23.0,95877.5005217688,28530.548751489587,74.03054249032473
10.0,24.0,95908.74750166685,28550.04578874884,93.52757974957198
10.0,25.0,95934.8534539876,28566.330132381052,109.81192338178384
10.0,26.0,95960.39349532993,28582.257184947437,125.73897594816862
10.0,27.0,95981.21223457635,28595.236845550124,138.71863655086526
10.0,28.0,96008.1185391176,28612.007692450556,155.48948345128878
10.0,29.0,96036.92704278427,28629.958981077645,173.44077207838416
10.0,30.0,96059.67501447626,28644.129998472068,187.61178947279834
10.0,31.0,96081.2883705083,28657.591090032045,201.0728810327853
10.0,32.0,96098.79025720083,28668.489284046067,211.971075046794
10.0,33.0,96110.56619638689,28675.820889116083,219.30268011682708
10.0,34.0,96120.82062794162,28682.20448409882,225.68627509955576
11.0,18.0,95767.39450252963,28461.795714481214,5.277505481940381
11.0,19.0,95768.78951166244,28462.66728845439,6.149079455128869
11.0,20.0,95778.43363929799,28468.692400423548,12.174191424281183
11.0,21.0,95798.6338288431,28481.310384002634,24.792175003366776
11.0,22.0,95829.52155111352,28500.599156956367,44.08094795710964
11.0,23.0,95856.86300255786,28517.668167054548,61.149958055282326
11.0,24.0,95883.1175624521,28534.054059468857,77.5358504695958
11.0,25.0,95904.72796404405,28547.538092002582,91.01988300330851
11.0,26.0,95926.15044830009,28560.90187304672,104.38366404744966
11.0,27.0,95943.55380373768,28571.75624295538,115.2380339561107
11.0,28.0,95966.90973962995,28586.32010830461,129.80189930534456
11.0,29.0,95991.98272911519,28601.95071798461,145.43250898534546
11.0,30.0,96011.50213989877,28614.1163766407,157.59816764144446
11.0,31.0,96029.98676566155,28625.634815782254,169.11660678299145
11.0,32.0,96044.92848483968,28634.94392130435,178.42571230509142
11.0,33.0,96054.95542791371,28641.19017299609,184.67196399682012
11.0,34.0,96063.40289627385,28646.451989998855,189.93378099959165
12.0,18.0,95768.90082054316,28462.736831483307,6.218622484043171
12.0,19.0,95767.99193905722,28462.16898250083,5.650773501567368
12.0,20.0,95774.12013265997,28465.997637538472,9.479428539207168
12.0,21.0,95789.6097745346,28475.67386627338,19.155657274113505
12.0,22.0,95814.66762505479,28491.323949423095,34.805740423824204
12.0,23.0,95836.44627929635,28504.922659881402,48.40445088213693
12.0,24.0,95857.2331552531,28517.899216485042,61.381007485771214
12.0,25.0,95873.92429138285,28528.316901904673,71.79869290540569
12.0,26.0,95890.73625637335,28538.808168782994,82.28995978373456
12.0,27.0,95904.26636111649,28547.250101862544,90.73189286326948
12.0,28.0,95923.43081397559,28559.20547528434,102.6872662850777
12.0,29.0,95944.04004482688,28572.0594803742,115.54127137493998
12.0,30.0,95959.71626780262,28581.83491307692,125.31670407766006
12.0,31.0,95974.47438257473,28591.03636945134,134.51816045208344
12.0,32.0,95986.36357619047,28598.44806883001,141.929859830751
12.0,33.0,95994.29316381154,28603.3908474833,146.87263848403853
12.0,34.0,96000.63704073378,28607.344905348255,150.82669634898383
13.0,18.0,95764.05433515609,28459.708792716032,3.190583716764346
13.0,19.0,95759.30554099922,28456.741641870052,0.22343287078571208
13.0,20.0,95760.63373529616,28457.57154164826,1.053332649001497
13.0,21.0,95770.12977064081,28463.5046436615,6.986434662239575
13.0,22.0,95787.95888832389,28474.642648200992,18.12443920173123
13.0,23.0,95803.08040991964,28484.087569303287,27.569360304020275
13.0,24.0,95817.45767552874,28493.06624476954,36.54803577027156
13.0,25.0,95828.52331556301,28499.97587577899,43.45766677972358
13.0,26.0,95840.04373328426,28507.16863237311,50.65042337384906
13.0,27.0,95849.1559784907,28512.8572374788,56.339028479541106
13.0,28.0,95863.36078078536,28521.723952666947,65.20574366767906
13.0,29.0,95878.66777379783,28531.277190720786,74.75898172152718
13.0,30.0,95889.85916647746,28538.26087882683,81.7426698275702
13.0,31.0,95900.28950361282,28544.768916878835,88.25070787957026
13.0,32.0,95908.63732691892,28549.977054667477,93.45884566821672
13.0,33.0,95914.12434764756,28553.40011453276,96.88190553349412
13.0,34.0,95918.1219293001,28555.893869417818,99.3756604185532
14.0,18.0,95766.43554180741,28461.196567522784,4.678358523513261
14.0,19.0,95760.30280732294,28457.364767969026,0.8465589697646451
14.0,20.0,95758.94795607103,28456.518208999263,0.0
14.0,21.0,95764.27128462591,28459.84434399321,3.3261349939463156
14.0,22.0,95776.40190341942,28467.42313583706,10.904926837788413
14.0,23.0,95786.19119722789,28473.538448819258,17.020239819988262
14.0,24.0,95795.36678319417,28479.269814791154,22.751605791893834
14.0,25.0,95801.92499724869,28483.365949723382,26.84774072412112
14.0,26.0,95809.05284065804,28487.81754626095,31.299337261684055
14.0,27.0,95814.47470892558,28491.203477729334,34.685268730078214
14.0,28.0,95824.21653255522,28497.286719811418,40.76851081215588
14.0,29.0,95834.69021065494,28503.82627559509,47.30806659582593
14.0,30.0,95841.89066783708,28508.321682944963,51.803473945691515
14.0,31.0,95848.48636937178,28512.439231377823,55.921022378558064
14.0,32.0,95853.69225101912,28515.688946376427,59.170737377170994
14.0,33.0,95856.99845231988,28517.752714942737,61.234505943472314
14.0,34.0,95859.04385262667,28519.02944150656,62.51123250728866
15.0,19.0,95765.0714366801,28460.34428094627,3.826071946999472
15.0,20.0,95762.28170904434,28458.601234215566,2.0830252163128247
15.0,21.0,95764.5487708782,28460.017718552866,3.4995095535989877
15.0,22.0,95771.95355186312,28464.64407081783,8.12586181856443
15.0,23.0,95777.41349607664,28468.055100644717,11.536891645445268
15.0,24.0,95782.39597812107,28471.167672447038,14.649463447776967
15.0,25.0,95785.47333733743,28473.090027297312,16.571818298050285
15.0,26.0,95789.10959203822,28475.361431577214,18.84322257794142
15.0,27.0,95791.64235697602,28476.943484635838,20.42527563657729
15.0,28.0,95797.52760543278,28480.619453964813,24.101244965539294
15.0,29.0,95803.79241943365,28484.532254576126,28.014045576863403
15.0,30.0,95807.67962581608,28486.959949580352,30.441740581092535
15.0,31.0,95811.12530067403,28489.111810506023,32.59360150675707
15.0,32.0,95813.74847203313,28490.749957287495,34.231748288232794
15.0,33.0,95815.2531719614,28491.689608537967,35.171399538693706
15.0,34.0,95815.86725172751,28492.07308329555,35.554874296284076
16.0,20.0,95770.79847915798,28463.9224291007,7.40422010143276
16.0,21.0,95771.29683088805,28464.23377974526,7.715570745995135
16.0,22.0,95775.16960843174,28466.653284274762,10.135075275494136
16.0,23.0,95777.5650922661,28468.14980563716,11.631596637893642
16.0,24.0,95779.62973649341,28469.439612817852,12.921403818586414
16.0,25.0,95780.49840715926,28469.98227314205,13.464064142786023
16.0,26.0,95781.80051802723,28470.79569522053,14.2774862212737
16.0,27.0,95782.48409457011,28471.222717605735,14.7045086064618
16.0,28.0,95785.40760842702,28473.048968618597,16.530759619331164
16.0,29.0,95788.41270032653,28474.926121440836,18.407912441581463
16.0,30.0,95789.94975477569,28475.88623107675,19.36802207748741
16.0,31.0,95791.20087605379,28476.667723309245,20.14951430998131
16.0,32.0,95792.01780099914,28477.17799646905,20.6597874697919
16.0,33.0,95792.25401082236,28477.32553862822,20.807329628952676
16.0,34.0,95792.08770405591,28477.221659584924,20.703450585662523
17.0,21.0,95782.42823981558,28471.187825898873,14.66961689961101
17.0,22.0,95783.78283440993,28472.03401701478,15.51580801552
17.0,23.0,95784.33244267468,28472.37734409576,15.859135096502085
17.0,24.0,95784.73352234188,28472.627887686253,16.109678686983838
17.0,25.0,95784.6578494802,28472.580616982166,16.062407982903597
17.0,26.0,95784.79063818876,28472.663566321433,16.14535732216371
17.0,27.0,95784.6867723636,28472.598684296736,16.080475297463135
17.0,28.0,95785.58910776327,28473.162345188863,16.644136189597816
17.0,29.0,95786.34306199821,28473.63331290509,17.11510390583374
17.0,30.0,95786.53469073877,28473.753015800383,17.234806801110732
17.0,31.0,95786.57276377843,28473.77679849394,17.258589494681097
17.0,32.0,95786.37122425271,28473.65090476667,17.132695767407732
17.0,33.0,95785.88008254163,28473.344106961238,16.825897961979727
17.0,34.0,95785.56104172839,28473.14481328879,16.626604289519204
18.0,22.0,95795.60088291032,28479.416033817935,22.897824818674277
18.0,23.0,95795.54999531453,28479.3842493812,22.866040381934774
18.0,24.0,95795.56525578859,28479.39378108839,22.875572089119743
18.0,25.0,95795.81950278456,28479.55258379005,23.03437479078487
18.0,26.0,95795.92738351398,28479.619965978145,23.101756978889906
18.0,27.0,95796.06950250392,28479.70873323129,23.190524232035376
18.0,28.0,95795.86114770269,28479.57859517031,23.06038617105492
18.0,29.0,95795.33887340294,28479.252382270686,22.734173271419188
18.0,30.0,95795.13396897871,28479.12439833561,22.606189336344656
18.0,31.0,95794.86425218607,28478.95593197807,22.437722978800302
18.0,32.0,95794.35829422594,28478.63990701398,22.121698014715726
18.0,33.0,95793.62880461248,28478.18425964075,21.66605064148974
18.0,34.0,95793.69544384781,28478.225883396633,21.70767439737167
19.0,23.0,95810.6454115471,28488.812119234888,32.29391023562348
19.0,24.0,95811.68043428726,28489.458490166482,32.940281167222466
19.0,25.0,95813.59443373865,28490.653763005692,34.13555400643234
19.0,26.0,95814.79032809792,28491.40057453033,34.882365531071436
19.0,27.0,95816.14666567165,28492.247568274255,35.72935927499316
19.0,28.0,95815.65684635744,28491.94169160546,35.423482606194845
19.0,29.0,95814.73543978125,28491.36629810527,34.848089106006064
19.0,30.0,95814.95298164459,28491.502147617506,34.98393861824809
19.0,31.0,95815.12764093523,28491.611217800666,35.09300880140522
19.0,32.0,95814.8957357912,28491.466399028086,34.948190028819084
19.0,33.0,95814.32229418718,28491.108298052794,34.5900890535338
19.0,34.0,95815.17468185227,28491.64059359558,35.122384596308216
20.0,24.0,95831.04309018889,28501.549167400182,45.03095840090972
20.0,25.0,95836.19062134155,28504.763043586503,48.24483458723754
20.0,26.0,95839.59629762995,28506.88929269013,50.37108369086123
20.0,27.0,95843.06497971037,28509.054800224716,52.536591225452284
20.0,28.0,95842.99299136332,28509.00985850279,52.491649503523895
20.0,29.0,95842.39189976604,28508.63460073702,52.116391737761525
20.0,30.0,95843.66644585793,28509.4302891822,52.91208018293736
20.0,31.0,95844.83196855386,28510.157905972625,53.6396969733583
20.0,32.0,95845.27712130867,28510.435805234694,53.917596235435546
20.0,33.0,95845.13297584561,28510.3458184729,53.82760947363635
20.0,34.0,95847.00953317573,28511.51730030647,54.99909130720301
