sample,margin,group,cum_r2,marginal,n
all,E0,Regional + calendar,0.009594158174498157,0.009594158174498157,60437
all,E0,Non-gust weather,0.018709622430817974,0.009115464256319816,60437
all,E0,Gust,0.03357414092499067,0.014864518494172696,60437
all,R0c,Regional + calendar,0.03464932515654895,0.03464932515654895,51173
all,R0c,Non-gust weather,0.04073417850828498,0.00608485335173603,51173
all,R0c,Gust,0.04775585754611322,0.007021679037828243,51173
all,R0c,Affected customers,0.10744636693345111,0.05969050938733789,51173
weather,E0,Regional + calendar,0.007839989725501817,0.007839989725501817,9857
weather,E0,Non-gust weather,0.02865757266993918,0.020817582944437363,9857
weather,E0,Gust,0.04427993137141706,0.015622358701477879,9857
weather,R0c,Regional + calendar,0.2017671242074156,0.2017671242074156,9254
weather,R0c,Non-gust weather,0.22704570327232199,0.02527857906490638,9254
weather,R0c,Gust,0.24581903907345903,0.018773335801137048,9254
weather,R0c,Affected customers,0.281245146062462,0.03542610698900295,9254
