term,coef,se,p_t_G1,se_lad
Intercept,3.861679760834774,1.405679178264472,0.00708580941078797,1.4682162634231009
z_precipitation_24h_sum,-0.11827051930994266,0.034426828827466734,0.0008512575519770372,0.025769040185908757
z_temperature_0h,0.02719894129667308,0.06903289708607295,0.6943879432561469,0.03948144753118872
z_pressure_msl_0h,-0.18538680336870464,0.040494823128395696,1.3049883523977522e-05,0.03104388744123971
z_gust_pressure,-0.0864819352959449,0.033962198153598695,0.0123486325911744,0.0296861507462907
urban_binary,-0.005810310289825593,0.06645588360729394,0.9304969819499307,0.06415214729894504
log_population,-0.05284918980367698,0.11787119081314697,0.6548232998382731,0.12372491580862
income_deprivation_rate,-1.9483855151618044,2.1835124155496604,0.3742829724447755,2.2261603999886406
deprivation_gap_pct,-1.3852534023926912,0.9972726164561463,0.16778724991365318,1.038704755474082
morans_i,0.5909013989782381,0.37843756446075033,0.12146174354505508,0.39493010794713146
incident_year[2022],0.2634042518454779,0.09031657391656457,0.004337559084304656,0.08240783472717277
incident_year[2023],0.38855665788609633,0.09115890412993123,4.458353380802472e-05,0.08032859481563319
incident_year[2024],0.387142228727465,0.16524077856323768,0.021037689850959166,0.1496270438767697
incident_month[2],-0.10802477212829509,0.12784557177668024,0.40007119587133,0.1104891865372122
incident_month[3],0.24574021891970702,0.14532854160932795,0.09384527586921289,0.13805483613914926
incident_month[4],0.12767927584768599,0.19532736365216183,0.514768317235497,0.1905931807541547
incident_month[5],0.362029179332371,0.20205671124879473,0.07608594964174827,0.17270489234805786
incident_month[6],1.0187404648531597,0.23970548571704858,4.6744815077260675e-05,0.19609679358821688
incident_month[7],0.7828566395394526,0.2025094590116036,0.00019308296868993322,0.14634793638093493
incident_month[8],0.770653203940743,0.19891400510651508,0.00018727507785309632,0.14613012610453988
incident_month[9],0.43633615044710217,0.2102247664074777,0.04040066993180278,0.1612403697984559
incident_month[10],0.5546252470350805,0.2041049366486985,0.007709936331216848,0.15513212379598992
incident_month[11],0.27597963323406105,0.18291804485801091,0.13439187777554665,0.15627662733102554
incident_month[12],0.5596374992888214,0.14798291122292245,0.0002602733472774095,0.12504924834451234
gust_low,-0.05949006680077358,0.01528202491600949,0.00017523335348816935,0.012007383614723416
gust_ramp,0.07850178190697533,0.009952550008442052,3.2369942577389192e-12,0.007610639045038777
z_temperature_sq,0.0928372969509745,0.018884764868212316,3.310449879667024e-06,0.013385474092253945
