term,coef,se,p_t_G1,se_lad
Intercept,3.897027480228378,1.49510487534804,0.010489162110788828,1.5505561640105703
z_gust_0h,0.13294046644423618,0.053813198985498974,0.015121595685663923,0.03614604326240502
z_precipitation_24h_sum,-0.13566855685906076,0.03690122937942815,0.0003760572851500549,0.027080467891889726
z_temperature_0h,0.13865046076117743,0.06294852921176874,0.029830430965735906,0.037888550092353465
z_pressure_msl_0h,-0.23587814524092218,0.060827828102847904,0.00018494155383676282,0.033214329415664046
z_gust_sq,0.04569835340754037,0.07031917462043338,0.5172087931866617,0.023697525890058333
z_gust_pressure,-0.13649101087949642,0.04602217625539181,0.003745357168751961,0.030093628196973442
urban_binary,-0.002505241418136799,0.0696453948381806,0.9713741277915163,0.06697448437487313
log_population,-0.06348551613638129,0.12426747036904236,0.6105192826423088,0.1295338750069446
income_deprivation_rate,-2.134402484197051,2.330390436633249,0.36183869390040546,2.354537207901676
deprivation_gap_pct,-1.3900553665929547,1.0499181329055518,0.18841714229148485,1.0951331889695777
morans_i,0.6273001140910344,0.39019548826927875,0.1109423636556591,0.41386990384128397
incident_year[2022],0.2846535644523455,0.0933883306527112,0.0029204697913934566,0.08232982208988282
incident_year[2023],0.33799847917762565,0.09445620739305803,0.0005268038593336053,0.08212032620193409
incident_year[2024],0.33886873668664813,0.17496914920019074,0.05549132754151731,0.14620971148019654
incident_month[2],-0.163519039503787,0.14565225686132469,0.2641638915965703,0.10845073583511579
incident_month[3],0.17323619272767266,0.15630334359643072,0.27027450228371824,0.1333596129288402
incident_month[4],0.03219797293123166,0.21272942005840811,0.8799877361853915,0.1920022498234256
incident_month[5],0.18233540069710052,0.18694612827246465,0.33165652661095363,0.16167093695906393
incident_month[6],0.7944779871382985,0.23850740812349508,0.001198417001417704,0.19037577472425102
incident_month[7],0.6802748743693054,0.19862614049030358,0.0008813889096753711,0.14390441349561253
incident_month[8],0.5534094596451321,0.20298992928878104,0.0075179974393694395,0.13945489962859917
incident_month[9],0.2600890984029388,0.20412835369387047,0.20545194217082055,0.15412582195540295
incident_month[10],0.32652844969927824,0.20041332415696544,0.10628017333965761,0.14590939705429368
incident_month[11],0.1543965935284649,0.2078420180198387,0.459243838876367,0.15135016074362995
incident_month[12],0.5432222215215438,0.1703668749366432,0.0018895079376142225,0.12249048549379987
