term,coef,se,p
Intercept,3.284634412992824,1.0453291404229825,0.0016768280192439007
z_gust_0h,-0.03601431244105994,0.021736258670215076,0.09754429520442466
z_gust_0h_sq,0.10599692045043259,0.03197987104981256,0.0009181089859312763
z_precipitation_24h_sum,0.045551840569328976,0.016205547725356127,0.0049406298056458384
z_temperature_0h,-0.011163616688009534,0.04176733233219167,0.7892527715508829
z_pressure_msl_0h,-0.0905726809229298,0.023102230771374997,8.835932216931e-05
z_gust_pressure,-0.04661812842745931,0.02761851744440743,0.0914246372668147
urban_binary,-0.15571415416323328,0.07681984878526764,0.04266198577017237
log_population,-0.07751045263910762,0.08867690525217851,0.3820762647399134
income_deprivation_rate,-3.1797933627924575,0.9168011308735566,0.0005236516825824389
deprivation_gap_pct,0.1743677847783147,0.5429119294635122,0.7480805040092604
morans_i,-0.02573474402314224,0.23947956802937664,0.9144231636864695
incident_year[2022],0.09078525844430976,0.03582670469664144,0.011276523989182437
incident_year[2023],0.016200310719303654,0.03867794683736091,0.6753247649864613
incident_year[2024],-0.01844715689087746,0.07122483953484197,0.7956360697316167
incident_month[2],0.023767952936842182,0.07912555274648375,0.763885202594339
incident_month[3],-0.02505741797875245,0.06925682518897394,0.7174982697463165
incident_month[4],-0.08037328152860716,0.06938048171750912,0.24668360480383456
incident_month[5],-0.004365162571267887,0.08019434665901544,0.9565907469464121
incident_month[6],0.2605783865038342,0.10830218836298522,0.01612691087985935
incident_month[7],0.3059272327138071,0.08127220556179157,0.00016706340840964178
incident_month[8],0.14391916141414104,0.1136002311800881,0.20519410691429985
incident_month[9],0.06135930782281945,0.10175007145234137,0.5464824409473295
incident_month[10],-0.05322273313474314,0.0837144744600401,0.5249296009528454
incident_month[11],-0.12446405152503484,0.07289524774427483,0.08774083674361356
incident_month[12],0.07495897963098162,0.06284193498076601,0.23294073112365143
