k1,k2
15.0,23.0
13.0,24.0
14.0,25.0
14.0,25.0
14.0,25.0
14.0,24.0
15.0,25.0
14.0,25.0
14.0,25.0
13.0,28.0
14.0,25.0
13.0,26.0
14.0,25.0
14.0,25.0
14.0,24.0
14.0,26.0
13.0,26.0
14.0,25.0
13.0,25.0
14.0,25.0
14.0,26.0
15.0,24.0
14.0,25.0
14.0,25.0
14.0,25.0
13.0,27.0
14.0,26.0
14.0,27.0
13.0,25.0
14.0,28.0
15.0,24.0
14.0,27.0
15.0,24.0
14.0,25.0
13.0,27.0
13.0,25.0
14.0,25.0
14.0,26.0
14.0,24.0
13.0,27.0
13.0,26.0
13.0,25.0
14.0,25.0
13.0,27.0
13.0,26.0
14.0,24.0
14.0,26.0
13.0,28.0
13.0,27.0
14.0,26.0
14.0,25.0
14.0,26.0
13.0,28.0
15.0,24.0
14.0,26.0
15.0,24.0
15.0,24.0
14.0,26.0
14.0,24.0
13.0,25.0
13.0,26.0
15.0,25.0
14.0,26.0
14.0,24.0
14.0,25.0
13.0,27.0
14.0,25.0
14.0,25.0
13.0,25.0
13.0,25.0
14.0,25.0
14.0,25.0
14.0,25.0
13.0,25.0
13.0,26.0
14.0,25.0
14.0,26.0
13.0,26.0
13.0,27.0
14.0,25.0
13.0,27.0
15.0,24.0
13.0,25.0
14.0,26.0
13.0,27.0
14.0,25.0
15.0,26.0
13.0,26.0
13.0,26.0
15.0,24.0
13.0,27.0
14.0,26.0
14.0,25.0
13.0,25.0
14.0,26.0
15.0,24.0
13.0,26.0
14.0,25.0
14.0,25.0
14.0,25.0
13.0,26.0
13.0,26.0
14.0,25.0
15.0,25.0
14.0,24.0
14.0,25.0
13.0,25.0
14.0,26.0
14.0,24.0
13.0,25.0
14.0,25.0
14.0,25.0
14.0,25.0
15.0,24.0
13.0,24.0
14.0,25.0
14.0,25.0
14.0,25.0
15.0,24.0
14.0,25.0
13.0,26.0
14.0,24.0
15.0,25.0
13.0,26.0
13.0,26.0
14.0,26.0
15.0,25.0
14.0,24.0
14.0,26.0
13.0,26.0
13.0,26.0
14.0,25.0
13.0,27.0
14.0,25.0
14.0,25.0
13.0,25.0
14.0,24.0
14.0,25.0
15.0,25.0
13.0,26.0
13.0,25.0
14.0,25.0
13.0,26.0
14.0,24.0
14.0,26.0
14.0,26.0
14.0,27.0
13.0,25.0
14.0,24.0
13.0,25.0
14.0,25.0
13.0,26.0
14.0,25.0
14.0,25.0
14.0,25.0
14.0,25.0
13.0,27.0
14.0,30.0
15.0,26.0
13.0,27.0
13.0,26.0
14.0,25.0
13.0,25.0
13.0,29.0
14.0,25.0
14.0,26.0
14.0,26.0
13.0,25.0
14.0,24.0
13.0,26.0
15.0,25.0
13.0,27.0
14.0,26.0
13.0,24.0
13.0,26.0
15.0,25.0
14.0,25.0
14.0,26.0
13.0,27.0
14.0,24.0
13.0,25.0
13.0,26.0
13.0,26.0
14.0,25.0
14.0,26.0
15.0,24.0
13.0,26.0
14.0,25.0
13.0,25.0
14.0,25.0
13.0,25.0
13.0,26.0
14.0,25.0
13.0,28.0
15.0,24.0
13.0,25.0
14.0,25.0
13.0,25.0
14.0,27.0
14.0,24.0
14.0,27.0
15.0,25.0
14.0,25.0
13.0,26.0
15.0,24.0
13.0,27.0
13.0,26.0
14.0,26.0
14.0,25.0
14.0,25.0
14.0,24.0
13.0,25.0
13.0,25.0
14.0,25.0
14.0,27.0
14.0,24.0
14.0,26.0
13.0,25.0
15.0,25.0
14.0,25.0
13.0,26.0
14.0,26.0
13.0,28.0
13.0,25.0
14.0,25.0
15.0,24.0
14.0,24.0
13.0,26.0
13.0,26.0
13.0,25.0
14.0,25.0
13.0,26.0
15.0,24.0
13.0,25.0
14.0,25.0
14.0,26.0
14.0,25.0
13.0,25.0
14.0,26.0
13.0,25.0
13.0,27.0
14.0,25.0
13.0,26.0
13.0,27.0
14.0,28.0
14.0,24.0
13.0,26.0
13.0,26.0
14.0,24.0
14.0,25.0
13.0,25.0
14.0,25.0
13.0,25.0
13.0,26.0
13.0,26.0
13.0,25.0
13.0,25.0
14.0,25.0
14.0,26.0
13.0,25.0
13.0,26.0
15.0,25.0
13.0,26.0
14.0,26.0
14.0,25.0
13.0,26.0
14.0,25.0
14.0,25.0
13.0,25.0
14.0,25.0
14.0,25.0
14.0,25.0
13.0,25.0
14.0,26.0
14.0,26.0
15.0,25.0
14.0,25.0
14.0,24.0
13.0,27.0
15.0,25.0
14.0,25.0
13.0,25.0
13.0,25.0
14.0,25.0
15.0,25.0
13.0,25.0
13.0,27.0
14.0,25.0
14.0,26.0
13.0,26.0
14.0,26.0
14.0,25.0
13.0,25.0
15.0,23.0
14.0,25.0
14.0,25.0
14.0,26.0
13.0,26.0
14.0,27.0
13.0,25.0
