k1,k2
11.0,23.0
13.0,24.0
11.0,24.0
11.0,26.0
12.0,25.0
11.0,25.0
11.0,24.0
11.0,23.0
11.0,25.0
13.0,24.0
11.0,25.0
12.0,22.0
11.0,25.0
11.0,23.0
10.0,25.0
13.0,24.0
11.0,22.0
11.0,24.0
11.0,27.0
12.0,25.0
10.0,26.0
11.0,24.0
10.0,23.0
11.0,26.0
10.0,22.0
13.0,23.0
12.0,22.0
11.0,25.0
13.0,25.0
11.0,24.0
11.0,22.0
13.0,23.0
11.0,24.0
11.0,25.0
11.0,25.0
11.0,25.0
11.0,26.0
11.0,25.0
13.0,23.0
11.0,25.0
11.0,23.0
11.0,24.0
11.0,25.0
13.0,23.0
11.0,23.0
11.0,24.0
11.0,25.0
11.0,23.0
13.0,24.0
14.0,24.0
11.0,25.0
11.0,24.0
14.0,22.0
11.0,25.0
13.0,24.0
11.0,24.0
12.0,23.0
12.0,23.0
11.0,22.0
11.0,25.0
11.0,25.0
13.0,24.0
11.0,23.0
11.0,23.0
11.0,23.0
11.0,24.0
13.0,23.0
11.0,25.0
11.0,25.0
11.0,24.0
14.0,22.0
12.0,23.0
13.0,24.0
11.0,25.0
11.0,24.0
11.0,25.0
12.0,24.0
11.0,23.0
14.0,22.0
11.0,22.0
11.0,25.0
11.0,22.0
12.0,22.0
11.0,23.0
11.0,24.0
13.0,22.0
11.0,24.0
13.0,23.0
12.0,22.0
11.0,25.0
12.0,26.0
10.0,24.0
11.0,24.0
13.0,24.0
11.0,24.0
11.0,22.0
11.0,22.0
11.0,21.0
11.0,24.0
13.0,23.0
12.0,25.0
11.0,25.0
11.0,25.0
12.0,22.0
12.0,24.0
11.0,23.0
11.0,25.0
11.0,22.0
13.0,24.0
11.0,24.0
13.0,23.0
11.0,24.0
12.0,23.0
12.0,24.0
11.0,25.0
11.0,25.0
11.0,22.0
11.0,24.0
10.0,27.0
11.0,24.0
16.0,23.0
13.0,23.0
9.0,26.0
11.0,25.0
13.0,24.0
11.0,23.0
13.0,22.0
12.0,24.0
13.0,22.0
11.0,23.0
14.0,22.0
14.0,23.0
11.0,24.0
12.0,24.0
11.0,24.0
11.0,26.0
9.0,25.0
13.0,22.0
12.0,24.0
13.0,24.0
13.0,24.0
11.0,23.0
11.0,25.0
12.0,22.0
11.0,23.0
11.0,24.0
13.0,24.0
11.0,24.0
10.0,24.0
11.0,23.0
11.0,24.0
14.0,22.0
13.0,22.0
11.0,24.0
11.0,25.0
13.0,24.0
14.0,23.0
11.0,23.0
13.0,23.0
11.0,24.0
12.0,26.0
11.0,26.0
11.0,24.0
13.0,23.0
13.0,25.0
11.0,24.0
12.0,24.0
9.0,23.0
11.0,26.0
14.0,23.0
14.0,23.0
11.0,24.0
11.0,25.0
12.0,25.0
13.0,24.0
11.0,26.0
11.0,24.0
11.0,26.0
11.0,23.0
13.0,23.0
11.0,25.0
11.0,24.0
12.0,22.0
12.0,23.0
11.0,23.0
11.0,22.0
11.0,22.0
14.0,24.0
13.0,24.0
11.0,24.0
11.0,25.0
13.0,23.0
12.0,21.0
13.0,23.0
11.0,25.0
10.0,25.0
11.0,26.0
11.0,23.0
13.0,22.0
13.0,22.0
11.0,24.0
13.0,23.0
11.0,23.0
11.0,25.0
11.0,24.0
11.0,25.0
11.0,24.0
12.0,25.0
14.0,22.0
11.0,24.0
10.0,26.0
13.0,24.0
11.0,22.0
11.0,23.0
13.0,22.0
11.0,26.0
11.0,23.0
11.0,26.0
13.0,24.0
13.0,24.0
11.0,24.0
13.0,23.0
11.0,25.0
12.0,24.0
11.0,24.0
11.0,24.0
11.0,25.0
13.0,23.0
14.0,23.0
12.0,24.0
11.0,23.0
13.0,26.0
11.0,24.0
11.0,23.0
13.0,24.0
11.0,24.0
11.0,25.0
12.0,22.0
11.0,22.0
12.0,24.0
11.0,25.0
11.0,24.0
11.0,24.0
11.0,23.0
11.0,24.0
11.0,23.0
13.0,23.0
10.0,23.0
11.0,24.0
11.0,22.0
11.0,24.0
11.0,24.0
12.0,25.0
11.0,25.0
11.0,27.0
12.0,22.0
13.0,24.0
12.0,22.0
13.0,24.0
11.0,25.0
12.0,25.0
11.0,26.0
12.0,24.0
14.0,23.0
11.0,25.0
11.0,24.0
12.0,22.0
13.0,24.0
14.0,23.0
12.0,23.0
12.0,23.0
11.0,24.0
12.0,24.0
11.0,24.0
13.0,23.0
11.0,23.0
13.0,22.0
11.0,26.0
12.0,24.0
11.0,25.0
11.0,24.0
11.0,22.0
11.0,24.0
11.0,25.0
11.0,23.0
11.0,24.0
11.0,24.0
11.0,24.0
13.0,24.0
12.0,24.0
11.0,24.0
13.0,24.0
11.0,23.0
11.0,22.0
11.0,24.0
10.0,22.0
11.0,25.0
12.0,22.0
11.0,24.0
13.0,24.0
