k1,k2,sse,lr
8.0,18.0,14385.845631484564,146.67552651492255
8.0,19.0,14355.423679037114,127.08523980596284
8.0,20.0,14327.130934660268,108.8287668448014
8.0,21.0,14299.36512711536,90.87722551458836
8.0,22.0,14269.72224824921,71.67358096939459
8.0,23.0,14241.459605468983,53.3269138057757
8.0,24.0,14218.285568491994,38.25632309800364
8.0,25.0,14202.105206831966,27.71930521087098
8.0,26.0,14191.488737170619,20.799095319992286
8.0,27.0,14186.313245398413,17.42363999611248
8.0,28.0,14181.099494405567,14.02198665016932
8.0,29.0,14175.74596880144,10.527837303165073
8.0,30.0,14171.848364622832,7.9831113647397745
8.0,31.0,14168.372507412843,5.713151442566456
8.0,32.0,14166.278400683388,4.345295260218719
8.0,33.0,14165.627150305087,3.919861750918462
8.0,34.0,14165.629616722594,3.9214729909546864
9.0,18.0,14372.506859317324,138.0910982847689
9.0,19.0,14342.256585212217,118.5933830646546
9.0,20.0,14314.365121143188,100.57955766385129
9.0,21.0,14286.999693981586,82.87132997151119
9.0,22.0,14257.569263457473,63.78893983406949
9.0,23.0,14229.563354004464,45.593583140697
9.0,24.0,14206.89943734325,30.842667688948406
9.0,25.0,14191.476756277356,20.791282803975527
9.0,26.0,14181.72551230519,14.4304910669669
9.0,27.0,14177.469175831739,11.652687363144654
9.0,28.0,14172.981261894945,8.722846371077397
9.0,29.0,14168.230357924607,5.62030676598935
9.0,30.0,14164.868258256049,3.4240859501633465
9.0,31.0,14161.811018359836,1.4265557890643052
9.0,32.0,14160.038489854338,0.26822897806108775
9.0,33.0,14159.628064350863,0.0
9.0,34.0,14159.83402377346,0.13460343920426368
10.0,18.0,14365.597179908315,133.64110573161705
10.0,19.0,14335.585552988443,114.2880568120842
10.0,20.0,14308.159995038193,96.56717667075971
10.0,21.0,14281.247169645367,79.14454469266909
10.0,22.0,14252.076779772784,60.22330842848352
10.0,23.0,14224.367214267912,42.21372828786992
10.0,24.0,14202.2370660024,27.805223395597054
10.0,25.0,14187.568000547868,18.242104277399207
10.0,26.0,14178.655895787224,12.42725768590389
10.0,27.0,14175.268695818599,10.216265796050068
10.0,28.0,14171.458817315352,7.72873944120158
10.0,29.0,14167.263109799302,4.988525698527973
10.0,30.0,14164.383377174958,3.107304583496419
10.0,31.0,14161.69755359832,1.3524122273361603
10.0,32.0,14160.206316094283,0.37790769271232677
10.0,33.0,14160.004461007,0.2459901026584458
10.0,34.0,14160.385542821394,0.49503548022168675
11.0,18.0,14360.338723342697,130.25310418725255
11.0,19.0,14330.639659277816,111.09480060109937
11.0,20.0,14303.772641025604,93.72915975892481
11.0,21.0,14277.390027006802,76.64484570853892
11.0,22.0,14248.53051847346,57.92040295774238
11.0,23.0,14221.163706175172,40.12937527660457
11.0,24.0,14199.616670332953,26.09764882536048
11.0,25.0,14185.743998318276,17.052301926755923
11.0,26.0,14177.698124435905,11.802126818786334
11.0,27.0,14175.187970322932,10.163565852223416
11.0,28.0,14172.05058937884,8.115160092062668
11.0,29.0,14168.397734180768,5.729628162275454
11.0,30.0,14165.982946372844,4.152290250388635
11.0,31.0,14163.650189515589,2.6282795509020107
11.0,32.0,14162.423273240081,1.8266235617252924
11.0,33.0,14162.416236620058,1.8220256976012812
11.0,34.0,14162.960378617918,2.177571900373204
12.0,18.0,14355.42254968533,127.08451178691956
12.0,19.0,14326.156207915972,108.19916220291148
12.0,20.0,14299.98788952557,91.28024465572932
12.0,21.0,14274.236178085011,74.60042849522063
12.0,22.0,14245.736806081086,56.10579131902797
12.0,23.0,14218.758980187722,38.564438930869244
12.0,24.0,14197.858169651357,24.951549362645686
12.0,25.0,14184.848107493197,16.46785351855156
12.0,26.0,14177.723266511488,11.818537420782855
12.0,27.0,14176.12805440813,10.777261394257241
12.0,28.0,14173.679692676935,9.178863287368673
12.0,29.0,14170.574689513218,7.151383643380913
12.0,30.0,14168.622690765333,5.876555976308569
12.0,31.0,14166.636188205115,4.579013942130837
12.0,32.0,14165.665478484128,3.944900422715058
12.0,33.0,14165.846168078366,4.062938706442443
12.0,34.0,14166.54702552069,4.520770470124134
13.0,18.0,14351.489292183645,124.54865106119124
13.0,19.0,14322.633434688953,105.92334224584954
13.0,20.0,14297.21384656394,89.48489461523705
13.0,21.0,14272.110539029172,73.22227219003629
13.0,22.0,14243.932914068107,54.93391274869824
13.0,23.0,14217.322893131104,37.62974267472126
13.0,24.0,14197.087827214984,24.449435436544587
13.0,25.0,14184.98268386484,16.555648877808554
13.0,26.0,14178.813748095241,12.530282763723152
13.0,27.0,14178.156235633396,12.1011381600154
13.0,28.0,14176.395064451359,10.951560586591466
13.0,29.0,14173.825152457484,9.27383353724364
13.0,30.0,14172.319863146866,8.290987560417328
13.0,31.0,14170.66288570235,7.208979401649986
13.0,32.0,14169.93447294714,6.7332850079938895
13.0,33.0,14170.293296388538,6.967619901411234
13.0,34.0,14171.143432172563,7.522789819088167
14.0,18.0,14348.962776050912,122.91938192653718
14.0,19.0,14320.514684283115,104.55429466700608
14.0,20.0,14295.937694552045,88.65885690414886
14.0,21.0,14271.515749708604,72.83660427821253
14.0,22.0,14243.625295679602,54.734057040014704
14.0,23.0,14217.36265993889,37.6556266985546
14.0,24.0,14197.809742193092,24.91998485075022
14.0,25.0,14186.633456953121,17.63251768220551
14.0,26.0,14181.428517664397,14.236691152959333
14.0,27.0,14181.696901091522,14.411821375599919
14.0,28.0,14180.592555123949,13.691173093319724
14.0,29.0,14178.518085330665,12.33731233621137
14.0,30.0,14177.415534075988,11.617673938628817
14.0,31.0,14176.04734403977,10.724574520091057
14.0,32.0,14175.527924562284,10.38549580579322
14.0,33.0,14176.039927799586,10.719733261950136
14.0,34.0,14177.01838293324,11.358438526911872
15.0,19.0,14313.637905124617,100.10941260824696
15.0,20.0,14290.942463403595,85.42479503641015
15.0,21.0,14267.825856798452,70.44367807468451
15.0,22.0,14240.534703858493,52.7258997466114
15.0,23.0,14214.869406448619,36.032639955603415
15.0,24.0,14196.27888309553,23.922131368672904
15.0,25.0,14186.314132730573,17.42421881961886
15.0,26.0,14182.316068317132,14.81583850201184
15.0,27.0,14183.708802761486,15.724556915465751
15.0,28.0,14183.384265949202,15.51281412929154
15.0,29.0,14181.886888615607,14.535793336333564
15.0,30.0,14181.245843043185,14.117487235641095
15.0,31.0,14180.204600358495,13.437997318317429
15.0,32.0,14179.919440727692,13.251900302684223
15.0,33.0,14180.601886539152,13.6972626052723
15.0,34.0,14181.722459332115,14.428498910522192
16.0,20.0,14288.764278995879,84.01421943255835
16.0,21.0,14266.923488926244,69.85839083833771
16.0,22.0,14240.016901723273,52.389407600937005
16.0,23.0,14214.797977442513,35.98613895271937
16.0,24.0,14197.110297612759,24.464082165435432
16.0,25.0,14188.327483519926,18.737472286422285
16.0,26.0,14185.490358077375,16.886839489705412
16.0,27.0,14187.93751330093,18.483119967172808
16.0,28.0,14188.301854729223,18.720756500603155
16.0,29.0,14187.284265582146,18.057033120146386
16.0,30.0,14187.009261060446,17.87765301741449
16.0,31.0,14186.2135787252,17.35862531485833
16.0,32.0,14186.098957930495,17.283855178810025
16.0,33.0,14186.904972257838,17.80962654976553
16.0,34.0,14188.128298355196,18.607557576241817
17.0,21.0,14269.27940822637,71.38639211667824
17.0,22.0,14242.151863932131,53.776727539973145
17.0,23.0,14217.02102852937,37.4332580973223
17.0,24.0,14200.087636685907,26.404576149920583
17.0,25.0,14192.420618400747,21.406737403304586
17.0,26.0,14190.67079953437,20.265718366897893
17.0,27.0,14194.077510789593,22.487031429994893
17.0,28.0,14195.010354771926,23.0951903293925
17.0,29.0,14194.348587012786,22.663761155049293
17.0,30.0,14194.324482510043,22.648046220586696
17.0,31.0,14193.678223726663,22.22670775276152
17.0,32.0,14193.661491583982,22.215798717260842
