model,spec,k,aic,bic,r2,adj_r2,rmse_in,cv_random,cv_lad,cv_year,dAIC,dBIC
E0,M1_weather_linear,5,255709.30723560823,255754.35401950398,0.012106564948569543,0.012041176185328184,2.006680202927935,2.0181376097637997,2.0072404653146694,2.0116507940743547,2357.331797148101,1213.1434861957678
E0,M2_+gust_sq,6,254975.87890675713,255029.93504743205,0.02405491332056664,0.023974164608260073,1.9945081139761323,2.0035917146790054,1.9951358695010935,1.9973992174946897,1623.9034682970087,488.72451412383816
E0,M3_+gust_x_pressure,7,254961.15989909082,255024.22539654488,0.02432485684337682,0.02422798358739564,1.994232257378596,2.0039865712114255,1.9948917073174615,1.9975057328138452,1609.1844606306986,483.01486323666177
E0,M4_+socio,12,254547.9740941726,254656.08637552243,0.031132767298403752,0.030956390971391468,1.9872625601397946,1.9964749233045744,1.990875701798628,1.9912894779372516,1195.9986557124648,114.87584221421275
E0,M5_+year_month_FE,26,254396.1539412958,254630.39721755375,0.03401118493687805,0.03361142793274663,1.984308374951104,1.994452828369555,1.9886822659446701,1.993984242057619,1044.1785028356826,89.1866842455347
E0,A1_gust_cubic,27,254307.5475332055,254550.8001662426,0.03545829848531756,0.03504316714548339,1.9828215069224402,1.9928203169238032,1.9871457763390228,1.9930133865071762,955.572094745381,9.589632934395922
E0,A2_log_gust,25,254611.42211229043,254836.65603176923,0.0305322510485162,0.03014710859379144,1.9878783300608962,1.995274652305544,1.9923282096865549,1.9994635531257665,1259.4466738303017,295.4454984610202
E0,A3_hinge_10.8,26,254325.21685659757,254559.4601328555,0.03514433567772046,0.03474504760753361,1.9831441894748179,1.9926887321544626,1.9873301293615884,1.9918495829940324,973.2414181374479,18.249599547300022
E0,A4_gust_bins,28,254379.40808130524,254631.6700711215,0.0343427174343488,0.033911113755604405,1.9839678331372532,1.9943305589798348,1.9882470149577969,1.9917594493299235,1027.4326428451168,90.45953781329445
E0,A5_full_quad_weather,29,254301.58126111107,254562.85260770647,0.035617341662314894,0.03517033605985398,1.9826580265710274,1.9922000747377622,1.9871708108838597,1.9933790914257576,949.6058226509485,21.642074398259865
E0,A6_M5_+LAD_FE,132,253351.97543846013,254541.2105333082,0.05388196812639423,0.05182672457817361,1.9637933103897474,1.9770223484592413,2.101985926604446,1.9770248796731904,0.0,0.0
E0,A7_M5_no_socio,21,254786.63947676722,254975.8359691294,0.027588808545460863,0.027266903357611727,1.9908937841744807,2.0015617414146165,1.9923665035599183,2.000559167124979,1434.6640383070917,434.62543582118815
R0c,M1_weather_linear,7,199769.90495041682,199832.9002557985,0.0937678939695955,0.09367700870648377,1.284426440117822,1.2964474301784208,1.285234950663256,1.3057677182221923,2240.4933118918852,1558.132894508657
R0c,M2_+gust_sq,8,198997.69012367207,199069.684758394,0.1054184370598582,0.10531376566380002,1.276143422778462,1.285276769867352,1.2768755353933812,1.2945673557945554,1468.278485147137,794.9173971041455
R0c,M3_+gust_x_pressure,9,198983.78660505658,199064.78056911874,0.10565617988136156,0.10553658522091958,1.2759738384104085,1.285866336659731,1.276930260325502,1.2944842558828387,1454.3749665316427,790.013207828888
R0c,M4_+socio,14,198762.1803612382,198888.17097200156,0.1091113264196939,0.10891771972032005,1.2735066983792511,1.2831794811642765,1.2768940788301484,1.2926599431939345,1232.7687227132556,613.4036107117136
R0c,M5_+year_month_FE,28,198023.63004938303,198275.6112709098,0.12045195430327926,0.12005487378905311,1.2653751426902504,1.2732502168233812,1.2694558934436466,1.2927957906447174,494.21841085809865,0.84390961995814
R0c,A1_gust_cubic,29,198018.79353461173,198279.77408547874,0.12055244398640774,0.12014069694906337,1.2653028551216912,1.2752148898497537,1.269450833549117,1.2911820305108093,489.38189608679386,5.006724188890075
R0c,A2_log_gust,27,198399.11223338745,198642.09412557396,0.11488549992599961,0.1145007125766605,1.2693729593834449,1.278679765307611,1.2735493956250998,1.3029087197256255,869.7005948625156,367.32676428410923
R0c,A3_hinge_10.8,28,198196.47688643733,198448.4581079641,0.11790746629959326,0.11750923705152605,1.267204153975278,1.2775289929109417,1.2713659574805105,1.298500962140733,667.0652479123964,173.69074667425593
R0c,A4_gust_bins,30,198143.8916177422,198413.87149794944,0.1187412706381622,0.1183139329491868,1.2666050954361168,1.278857291204741,1.270831574335303,1.2968829309440073,614.4799792172562,139.10413665958913
R0c,A5_full_quad_weather,31,197995.78815174237,198274.76736128985,0.12094928289350582,0.12050830967287807,1.2650173474439395,1.2732483936588836,1.2692758871424035,1.2917149291025076,466.37651321743033,0.0
R0c,A6_M5_+LAD_FE,134,197529.41163852494,198735.3217701173,0.130772201656028,0.12883573101650125,1.2579295471413603,1.2697684286121569,1.5038736289642538,1.288719472162536,0.0,460.55440882744733
R0c,A7_M5_no_socio,23,198270.291108194,198477.27568301957,0.11667098362170658,0.11634607284676002,1.268092001459585,1.2763283033850634,1.2695799488019126,1.2941994235930614,740.8794696690748,202.5083217297215
