k1,k2,sse,lr
8.0,18.0,238092.7641099187,256.59622850159417
8.0,19.0,238026.00228642637,239.64716185005128
8.0,20.0,237961.8020079147,223.34391953614096
8.0,21.0,237899.44748913994,207.50518470853098
8.0,22.0,237843.3052063633,193.24087425630276
8.0,23.0,237798.39959194328,181.82908845456038
8.0,24.0,237759.4242261248,171.92259939574396
8.0,25.0,237731.35932151054,164.7882502103064
8.0,26.0,237715.3345954114,160.71424408507207
8.0,27.0,237707.05971303163,158.61039255252751
8.0,28.0,237703.19486816667,157.62774808131823
8.0,29.0,237701.2460078433,157.13224041989596
8.0,30.0,237703.90698134011,157.80880546855158
8.0,31.0,237707.99818220778,158.8489977908614
8.0,32.0,237713.39703869625,160.22163559339506
8.0,33.0,237719.13951214298,161.68160242795398
8.0,34.0,237722.47227379566,162.5289078005412
9.0,18.0,237981.80284019816,228.4234721936952
9.0,19.0,237898.8493692069,207.3532355543095
9.0,20.0,237820.01613770556,187.322732661463
9.0,21.0,237743.88006591785,167.9712392168207
9.0,22.0,237675.80759415703,150.66402157015287
9.0,23.0,237621.89714666482,136.9539375678053
9.0,24.0,237575.36933619805,125.11884722320386
9.0,25.0,237542.420602291,116.7364095351076
9.0,26.0,237524.19990525837,112.1004102054704
9.0,27.0,237515.3057467456,109.83728786847581
9.0,28.0,237511.66784086337,108.91159678129979
9.0,29.0,237510.3697665166,108.58128907730998
9.0,30.0,237514.7274905328,109.69014740034777
9.0,31.0,237520.7559689819,111.22410923997678
9.0,32.0,237528.21600229712,113.12227999756061
9.0,33.0,237535.89054877503,115.07497042030415
9.0,34.0,237540.47927374655,116.24248279822062
10.0,18.0,237907.70147583014,209.6020266527177
10.0,19.0,237810.3523884601,184.86684232360346
10.0,20.0,237718.77674527525,161.58937359876026
10.0,21.0,237630.73667150855,139.20214967658876
10.0,22.0,237552.64269639718,119.33712147389957
10.0,23.0,237491.6473854535,103.81699543627182
10.0,24.0,237439.42895569085,90.52696069441089
10.0,25.0,237403.4067315796,81.35729444204443
10.0,26.0,237384.6646757911,76.58584505445846
10.0,27.0,237376.62007960482,74.5376946455221
10.0,28.0,237374.4927862986,73.99607516506958
10.0,29.0,237375.01781550026,74.12975066826446
10.0,30.0,237382.08308210436,75.92858007797949
10.0,31.0,237390.88111053052,78.16849887773029
10.0,32.0,237401.01147280895,80.7475180845702
10.0,33.0,237411.02272451296,83.2961056339589
10.0,34.0,237417.18326707836,84.86435581937471
11.0,18.0,237832.3891148021,190.46698509746193
11.0,19.0,237721.2260611772,162.21207805902577
11.0,20.0,237618.02468675183,135.96900406784263
11.0,21.0,237519.4268426977,110.88591298565443
11.0,22.0,237433.0007627758,88.89072885226679
11.0,23.0,237366.95107463922,72.07587867289584
11.0,24.0,237311.1262836076,57.860421620779555
11.0,25.0,237274.24788572168,48.46771860535798
11.0,26.0,237257.2031670632,44.12603941963409
11.0,27.0,237252.03736199264,42.81012927754578
11.0,28.0,237253.23796824727,43.1159679857008
11.0,29.0,237257.25165586977,44.138391068654755
11.0,30.0,237268.51042917394,47.0062921888006
11.0,31.0,237281.31468152595,50.26770145981845
11.0,32.0,237295.04695924005,53.76529525302243
11.0,33.0,237308.04215111485,57.07496781754033
11.0,34.0,237316.2574835211,59.16719126698955
12.0,18.0,237769.33481103848,174.44175731893228
12.0,19.0,237646.1847542674,143.13095722408792
12.0,20.0,237533.97597578933,114.58783766072774
12.0,21.0,237427.77922038044,87.56160515511726
12.0,22.0,237336.35356792354,64.28481634890414
12.0,23.0,237268.81996027313,47.08513585332828
12.0,24.0,237212.87815800097,32.83398672367302
12.0,25.0,237178.54753080942,24.086610583036343
12.0,26.0,237166.3616409692,20.981365390367564
12.0,27.0,237166.82887784095,21.100431040351786
12.0,28.0,237173.7292057945,22.858809544779238
12.0,29.0,237183.30946836932,25.300018516537843
12.0,30.0,237200.45745009076,29.669360994185386
12.0,31.0,237218.5841614935,34.287742473378856
12.0,32.0,237236.8219288882,38.93406301026908
12.0,33.0,237253.36382405684,43.148028014098855
12.0,34.0,237264.05680056557,45.87185391923421
13.0,18.0,237693.1328126663,155.06937556997508
13.0,19.0,237560.733377636,121.39547860169833
13.0,20.0,237443.2475357563,91.49892086413296
13.0,21.0,237333.43175878178,63.54078171867438
