model,spec,k,aic,bic,adj_r2,cv_lad,hinge_coefs
E0,quadratic (M5),26,254396.1539412958,254630.39721755375,0.03361142793274663,1.98868226594467,{}
E0,hinge@10.8,26,254325.21685659757,254559.4601328555,0.03474504760753372,1.9873301293615884,{'hinge_10.8': '0.118(p=1.3e-64)'}
E0,hinge@14,26,254313.72510250245,254547.9683787604,0.034928567935038846,1.987187872073114,{'hinge_14': '0.126(p=6e-63)'}
E0,hinge@16,26,254384.41338651744,254618.65666277538,0.03379914135336726,1.9884170773509326,{'hinge_16': '0.119(p=1.3e-41)'}
E0,hinge@18,26,254472.09355187672,254706.33682813466,0.032396389182379526,1.9899482970854458,{'hinge_18': '0.104(p=1e-22)'}
E0,hinge@16+@26,27,254291.8329482922,254535.0855813293,0.03529403871142689,1.9869003239954772,"{'hinge_16': '0.164(p=2.1e-59)', 'hinge_26': '-0.212(p=2.9e-16)'}"
E0,hinge@14+@20+@26,28,254257.5271459072,254509.78913572346,0.03585742426398009,1.9863111990099305,"{'hinge_14': '0.138(p=1.7e-37)', 'hinge_20': '0.031(p=0.16)', 'hinge_26': '-0.189(p=1.2e-10)'}"
R0c,quadratic (M5),28,198023.63004938303,198275.6112709098,0.12005487378905311,1.2694558934436466,{}
R0c,hinge@10.8,28,198196.47688643733,198448.4581079641,0.11750923705152605,1.2713659574805105,{'hinge_10.8': '0.058(p=1.3e-22)'}
R0c,hinge@14,28,198058.05346480757,198310.03468633434,0.11954848224481585,1.269821875511839,{'hinge_14': '0.082(p=1.1e-42)'}
R0c,hinge@16,28,198015.8819359009,198267.86315742767,0.12016881357708653,1.2693741176082007,{'hinge_16': '0.094(p=3.5e-51)'}
R0c,hinge@18,28,198018.31505403793,198270.2962755647,0.12013303497723227,1.2694332139691948,{'hinge_18': '0.104(p=9.1e-48)'}
R0c,hinge@16+@26,29,198011.35153589028,198272.3320867573,0.12025012477637043,1.2693636580350354,"{'hinge_16': '0.086(p=4e-35)', 'hinge_26': '0.036(p=0.12)'}"
R0c,hinge@14+@20+@26,30,197998.72972916768,198268.70960937493,0.12045037856009311,1.2693353053305845,"{'hinge_14': '0.047(p=1.2e-07)', 'hinge_20': '0.074(p=4e-05)', 'hinge_26': '-0.012(p=0.71)'}"
