model,spec,kind,rmse,r2,corr,slope
E0,M1 linear,in-sample,2.006680202927935,0.012106564948569432,0.110029836628841,0.9999999999999933
E0,M1 linear,LAD-CV out-of-fold,2.00724046531467,0.011554850930241556,0.10752704693626167,0.9756330198272165
E0,M5 quadratic (paper),in-sample,1.984308374951104,0.03401118493687816,0.1844212160703811,0.9999999999999998
E0,M5 quadratic (paper),LAD-CV out-of-fold,1.98868226594467,0.02974795001779096,0.17304457199685536,0.9264249265515366
E0,Cubic,in-sample,1.9828215069224402,0.03545829848531801,0.18830373996635844,0.9999999999999983
E0,Cubic,LAD-CV out-of-fold,1.9871457763390226,0.031246637177010483,0.17726332574271164,0.931709054080779
E0,Log gust,in-sample,1.9878783300608962,0.030532251048515535,0.17473480205304157,1.0000000000000027
E0,Log gust,LAD-CV out-of-fold,1.9923282096865549,0.026187072377665488,0.1625141152458993,0.9170147591541618
E0,Gust bins,in-sample,1.9839678331372532,0.03434271743434836,0.18531788212244515,0.999999999999997
E0,Gust bins,LAD-CV out-of-fold,1.9882470149577969,0.030172610061296568,0.17420814223741796,0.9305338723937242
E0,Hinge E0 14/26 · R0c 17,in-sample,1.9820059851066039,0.03625155499818056,0.1903984112280893,1.0000000000000038
E0,Hinge E0 14/26 · R0c 17,LAD-CV out-of-fold,1.9862978270122607,0.03207322826796022,0.179547307702469,0.9346948112168695
E0,M5 + LAD FE,in-sample,1.9637933103897474,0.05388196812639401,0.23212489768741723,0.9999999999999993
E0,M5 + LAD FE,LAD-CV out-of-fold,2.101985926604446,-0.08396029652253878,0.10226824094777788,0.25045482430019866
R0c,M1 linear,in-sample,1.284426440117822,0.09376789396959528,0.3062154371836848,0.9999999999999944
R0c,M1 linear,LAD-CV out-of-fold,1.285234950663256,0.0926266393239914,0.3043521371185319,0.9940186507802881
R0c,M5 quadratic (paper),in-sample,1.2653751426902504,0.12045195430327937,0.34706188828979634,1.0000000000000002
R0c,M5 quadratic (paper),LAD-CV out-of-fold,1.2694558934436466,0.1147698388247057,0.33887267633412305,0.9769444569851204
R0c,Cubic,in-sample,1.2653028551216912,0.12055244398640808,0.3472066301014543,0.9999999999999973
R0c,Cubic,LAD-CV out-of-fold,1.269450833549117,0.11477689564699689,0.3388900678072695,0.9761462243942105
R0c,Log gust,in-sample,1.2693729593834449,0.11488549992599961,0.33894763596461247,0.9999999999999974
R0c,Log gust,LAD-CV out-of-fold,1.2735493956251,0.1090515872280079,0.33034980658987384,0.9739334892009441
R0c,Gust bins,in-sample,1.2666050954361168,0.11874127063816176,0.34458855268009386,0.9999999999999982
R0c,Gust bins,LAD-CV out-of-fold,1.270831574335303,0.11285019108919092,0.3360486749946077,0.9744889632050832
R0c,Hinge E0 14/26 · R0c 17,in-sample,1.2652557427341127,0.12061793360826212,0.3473009265871058,0.999999999999997
R0c,Hinge E0 14/26 · R0c 17,LAD-CV out-of-fold,1.2693483552348868,0.1149198117922392,0.3390976726373453,0.9765363686637022
R0c,M5 + LAD FE,in-sample,1.2579295471413603,0.13077220165602732,0.3616243930600192,1.000000000000001
R0c,M5 + LAD FE,LAD-CV out-of-fold,1.5038736289642538,-0.24234912385916973,0.21022394994615493,0.325766754992219
