k1,k2,sse,lr
8.0,18.0,68096.4790469574,613.6865495087252
8.0,19.0,68065.83615002384,590.6539066077095
8.0,20.0,68032.7162782703,565.7477896731726
8.0,21.0,67996.55088604076,538.5375914747009
8.0,22.0,67959.02255518615,510.28663750510566
8.0,23.0,67923.30395039982,483.3835331524512
8.0,24.0,67889.6682569771,458.03633182496293
8.0,25.0,67860.18354346196,435.8068966038508
8.0,26.0,67834.50079876966,416.43601090994423
8.0,27.0,67813.23583854166,400.3916323506316
8.0,28.0,67793.82835819977,385.7443275925868
8.0,29.0,67776.44493340708,372.62106715809193
8.0,30.0,67762.43763718213,362.04409679095255
8.0,31.0,67751.05585625336,353.44805425935954
8.0,32.0,67743.01345361638,347.37319249276266
8.0,33.0,67738.1917881219,343.7307819013782
8.0,34.0,67734.95793739585,341.2877023159369
9.0,18.0,68068.07633346163,592.338085148992
9.0,19.0,68032.52504853341,565.6039498617596
9.0,20.0,67994.62182180144,537.0857912973813
9.0,21.0,67953.59287285368,506.19793487405315
9.0,22.0,67911.40436574134,474.4176737659357
9.0,23.0,67871.65199890702,444.4544665647515
9.0,24.0,67834.51052092617,416.4433451111744
9.0,25.0,67802.26042843607,392.10873433352515
9.0,26.0,67774.36239067528,371.0486684195358
9.0,27.0,67751.43555174804,353.7348409796271
9.0,28.0,67730.50993963491,337.92717962228966
9.0,29.0,67711.83622799766,323.8165284307454
9.0,30.0,67696.89265347231,312.52172419461283
9.0,31.0,67684.78558595342,303.36900905837024
9.0,32.0,67676.27434787502,296.93369321534976
9.0,33.0,67671.22288762027,293.11391995000577
9.0,34.0,67667.88206140473,290.5875237539145
10.0,18.0,68039.54123991415,570.8811470358513
10.0,19.0,67998.96980153842,540.3579920606679
10.0,20.0,67956.22381694344,508.17915014166414
10.0,21.0,67910.26979229941,473.5627361853867
10.0,22.0,67863.40151994601,438.23349785481446
10.0,23.0,67819.67672207684,405.251799800709
10.0,24.0,67779.14095503028,374.65659396634294
10.0,25.0,67744.29999978388,348.34503886499516
10.0,26.0,67714.3835141379,325.7415954365002
10.0,27.0,67690.00400378947,307.31423544602694
10.0,28.0,67667.7339543126,290.4755194722805
10.0,29.0,67647.93867894154,275.50336415462544
10.0,30.0,67632.22341817335,263.614007571339
10.0,31.0,67619.53115688899,254.00967983966913
10.0,32.0,67610.66217601146,247.29738655795686
10.0,33.0,67605.46449416195,243.36322604076997
10.0,34.0,67602.08913808185,240.80823422141785
11.0,18.0,68012.26748942267,550.3642620986839
11.0,19.0,67966.62576384311,516.0115172731342
11.0,20.0,67919.07011233315,480.1936861411595
11.0,21.0,67868.23257899928,441.87627113575337
11.0,22.0,67816.78149908327,403.0671770493405
11.0,23.0,67769.27161144337,367.2047336206092
11.0,24.0,67725.57790259355,334.20070064819197
11.0,25.0,67688.44109972734,306.1326811814003
11.0,26.0,67656.81286455513,282.2158956197032
11.0,27.0,67631.28600843014,262.9047243508549
11.0,28.0,67607.92790709286,245.22783764009282
11.0,29.0,67587.25435850323,229.57746471267623
11.0,30.0,67570.99543576215,217.26570633006025
11.0,31.0,67557.90968323039,207.3546186051773
11.0,32.0,67548.83190718868,200.478025644484
11.0,33.0,67543.59682068636,196.5119250385481
11.0,34.0,67540.27871661319,193.99797081425257
12.0,18.0,67982.6712453734,528.0909534780334
12.0,19.0,67931.79023544557,489.7766488146043
12.0,20.0,67879.39623679775,450.2930349023467
12.0,21.0,67823.65825634394,408.25595851063446
12.0,22.0,67767.69257059247,366.01237612676914
12.0,23.0,67716.60273816231,327.41867620146496
12.0,24.0,67670.02783418818,292.21021218970805
12.0,25.0,67630.96054563171,262.65846335477124
12.0,26.0,67598.00454585104,237.71621212890216
12.0,27.0,67571.71624282176,217.81158644750354
12.0,28.0,67547.58883432306,199.53630169050987
12.0,29.0,67526.33918276321,183.43536431190043
12.0,30.0,67509.82206688455,170.91678606955796
12.0,31.0,67496.58250317935,160.88010376822888
12.0,32.0,67487.48298742378,153.98077800301928
12.0,33.0,67482.3488443202,150.08761904148935
12.0,34.0,67479.20624510097,147.70447771257292
13.0,18.0,67937.29922496612,493.926400932746
13.0,19.0,67881.48080730157,451.8645292639509
13.0,20.0,67824.58688198695,408.9566024442399
13.0,21.0,67764.1463486117,363.3344693129962
13.0,22.0,67703.91533020796,317.82998553023884
13.0,23.0,67649.66502413763,276.8092596074093
13.0,24.0,67600.69833517414,239.7554222412968
13.0,25.0,67560.30607683316,209.16977948719168
13.0,26.0,67526.63185898055,183.6571605442029
13.0,27.0,67500.1810199383,163.60827136786176
13.0,28.0,67475.76054620622,145.09135788791173
13.0,29.0,67454.37962354148,128.8736920157212
13.0,30.0,67438.02518293961,116.46519808723359
13.0,31.0,67424.98309870834,106.5677089691817
13.0,32.0,67416.13715429214,99.85353285717575
13.0,33.0,67411.31043001056,96.18962070587143
13.0,34.0,67408.52227448225,94.07304364138578
14.0,18.0,67904.8199021235,469.4558695515118
14.0,19.0,67844.4805431629,423.96397811172795
14.0,20.0,67783.73320575886,378.1236087825828
14.0,21.0,67719.21495557635,329.39267398168164
14.0,22.0,67655.42005128965,281.16241461948704
14.0,23.0,67598.80011944498,238.31847321966944
14.0,24.0,67548.23897605448,200.02883655796055
14.0,25.0,67507.32184415782,169.02156159801868
14.0,26.0,67473.66648790044,143.50321856719341
14.0,27.0,67447.71196381425,123.81514700007074
14.0,28.0,67423.54831731436,105.4787528269743
14.0,29.0,67402.53077974958,89.52441423435685
14.0,30.0,67386.76491262336,77.55333421668779
14.0,31.0,67374.26650588866,68.06125831112287
14.0,32.0,67365.93116080583,61.729894369935955
14.0,33.0,67361.58804864854,58.43064148075651
14.0,34.0,67359.29489958136,56.688560896691115
15.0,19.0,67803.73341590115,393.2204431218498
15.0,20.0,67740.48392858633,345.4623563115466
15.0,21.0,67672.83344957972,294.3318129167794
15.0,22.0,67606.39075702912,244.06434281214607
15.0,23.0,67548.420071363,200.16603003540686
15.0,24.0,67497.26289718287,161.3959465792604
15.0,25.0,67456.84398796158,130.74320171413444
15.0,26.0,67424.14349339542,105.93047647439903
15.0,27.0,67399.52723763572,87.24402975241706
15.0,28.0,67376.28804428698,69.59666103818932
15.0,29.0,67356.22981690512,54.35995807012367
15.0,30.0,67341.57599992353,43.225704251962405
15.0,31.0,67330.04472374091,34.46231380095353
15.0,32.0,67322.53918512243,28.757545025318787
15.0,33.0,67318.90708496075,25.99664982153864
15.0,34.0,67317.29775624542,24.773291239043115
16.0,20.0,67704.7485969739,318.4597939778974
16.0,21.0,67634.85215603664,265.602967591714
16.0,22.0,67566.63161110695,213.9607792858604
16.0,23.0,67508.31894741558,169.77739647330543
16.0,24.0,67457.55518268867,131.2827137008961
16.0,25.0,67418.6356632741,101.75001990538125
16.0,26.0,67387.78880702645,78.33086598132151
16.0,27.0,67365.30154284123,61.2516171441457
16.0,28.0,67343.60557320475,44.76795785869839
16.0,29.0,67325.04699995807,30.66374196853497
16.0,30.0,67311.96319522955,20.71792483386039
16.0,31.0,67301.76281981528,12.962641215686453
16.0,32.0,67295.35539736968,8.090515669468619
16.0,33.0,67292.6208953294,6.01109257713747
16.0,34.0,67291.84738174352,5.422867037631101
17.0,21.0,67609.70903674822,246.57597165454186
17.0,22.0,67539.88341712303,193.69846479515581
17.0,23.0,67481.8493022022,149.70880645036945
17.0,24.0,67432.19682672416,112.04236155067964
17.0,25.0,67395.58900650192,84.25384572375805
17.0,26.0,67367.3287544355,62.79153362454113
17.0,27.0,67347.61584551341,47.81518933748387
17.0,28.0,67327.94040799991,32.8629411485702
17.0,29.0,67311.29103626673,20.20692261807392
17.0,30.0,67300.12184777841,11.714910364746816
17.0,31.0,67291.5218834762,5.175336857279558
17.0,32.0,67286.41195197393,1.2892536423137346
17.0,33.0,67284.7167580452,0.0
17.0,34.0,67284.89711910016,0.13717236751885703
18.0,22.0,67519.84288547229,178.51208523160835
18.0,23.0,67462.90063344761,135.3375881108008
18.0,24.0,67415.29065044345,99.21098026903812
18.0,25.0,67382.03382097934,73.9604528513612
18.0,26.0,67357.24850868566,55.13388975290214
18.0,27.0,67341.06318826668,42.836016151478475
18.0,28.0,67323.92184523375,29.808517554971477
18.0,29.0,67309.60659480051,18.926320205347256
18.0,30.0,67300.70466760719,12.158067214084285
18.0,31.0,67293.97312511831,7.03939194817561
18.0,32.0,67290.35883383059,4.290868023891113
18.0,33.0,67289.84748814454,3.9019981669162505
18.0,34.0,67291.10570071662,4.85884251119255
19.0,23.0,67446.92583520344,123.21870284102027
19.0,24.0,67403.00527580791,89.88465740394231
