k1,sse,bic
8.0,96223.27348218174,28734.946801609913
9.0,96179.3459215757,28707.625326308636
10.0,96128.92812187273,28676.25175477044
11.0,96069.67764299497,28639.360818424997
12.0,96004.89311316625,28598.998185417353
13.0,95920.31778622435,28546.264306255882
14.0,95859.79392307102,28508.49829479759
15.0,95815.9166672716,28481.104612402738
16.0,95792.25490192523,28466.326765890903
17.0,95786.58090360847,28462.78255377627
18.0,95796.15032278572,28468.75988402793
19.0,95819.43548142308,28483.301959850403
20.0,95853.21951943684,28504.394526773318
21.0,95898.9452831019,28532.930897122114
22.0,95956.13046261713,28568.59967595576
23.0,96006.70620410705,28600.128163853453
24.0,96054.55278946766,28629.940033906714
25.0,96095.02333067717,28655.144506874403
26.0,96132.27432986799,28678.334515167808
27.0,96161.925509841,28696.786956458767
28.0,96196.82529951517,28718.498409974556
29.0,96233.59218500998,28741.362881010104
30.0,96263.05592383155,28759.67939072325
