term,coef,se,p_t_G1,se_lad
Intercept,2.6037246216858407,0.7769146228785782,0.001125226297993767,0.7641075433187707
z_gust_0h,-0.05447618260905333,0.08897257506823217,0.54170145499924,0.04317870489922629
z_precipitation_24h_sum,0.06039950150937571,0.023402591785042184,0.01126280488059812,0.01775538149395604
z_temperature_0h,-0.13372587989107373,0.06341001979582013,0.03737726951029327,0.028380501560170347
z_pressure_msl_0h,-0.10170053300783588,0.03369448469200695,0.0032037586254923707,0.022999030873324316
urban_binary,0.002785827329820289,0.05093172477364457,0.9564855832752018,0.055832123708595194
log_population,-0.13807931489924105,0.06278372354229027,0.030093906745003392,0.06351792170475655
income_deprivation_rate,-4.124682511983088,1.2522481477925544,0.0013553811593223122,1.2554996345630962
deprivation_gap_pct,1.3488223724646393,0.5179768421626759,0.01057472459323765,0.5629412339061479
morans_i,0.1131095276321233,0.24904286478887372,0.6506571054589174,0.2717074849727268
incident_year[2022],0.2591614245934789,0.04716377215387129,2.8427492106201515e-07,0.033272823612968495
incident_year[2023],0.10757109903365869,0.04996735000980863,0.0336667493684115,0.04048954486649528
incident_year[2024],-0.1539546282416504,0.148565540484998,0.30250104435584446,0.08816699116079285
incident_month[2],0.7589792236461724,0.1655363572467023,1.2807763815674132e-05,0.07516966775992998
incident_month[3],-0.35055517439341266,0.13255311422234672,0.009457665057538624,0.08508743529511197
incident_month[4],-0.30657539030549236,0.1407384796430956,0.03166208916122416,0.0942999979522592
incident_month[5],-0.21218619045011836,0.15760785071674593,0.18116376718140673,0.10226614522894202
incident_month[6],0.14378892457447365,0.167395640743489,0.3923481392283363,0.10026920204866022
incident_month[7],0.0990682695100488,0.1633679344948236,0.5455754581886978,0.09930258157074849
incident_month[8],0.11435562822715216,0.1671705272190903,0.4954698601342256,0.097070532863491
incident_month[9],0.004685527504319552,0.17053062022732246,0.9781331153899804,0.10906777820326698
incident_month[10],-0.07280006223928036,0.16759154310801186,0.6649140282452044,0.10868245740763541
incident_month[11],-0.2599934447203421,0.14763607876721044,0.08119891394321875,0.10165253700057637
incident_month[12],-0.2962260542756947,0.13869542566312248,0.035065350193693154,0.09099309024833618
z_customers_v2_log1p,-0.29481116590424716,0.03060046416498267,4.81745477275966e-16,0.019174818043152506
z_cust_sq,0.09228577961432083,0.027616435393099117,0.0011611395387189445,0.024900359218497245
gust_hinge_11,0.06959468779996117,0.018529330079340985,0.00028635667962991765,0.007932968702921303
z_temperature_sq,0.06413472045328422,0.015253148298412053,5.5859298089453046e-05,0.007674585774695353
z_gust_precip,-0.05623157363410448,0.02189782403180537,0.011666428026759056,0.013013481954354617
