term,coef,se,p_t_G1,se_lad
Intercept,2.9251496903094907,0.7452877138731093,0.00015692688557725987,0.7490745393216375
z_gust_0h,0.2558494692275495,0.03069591802419161,3.5986506593843424e-13,0.020013805996183107
z_precipitation_24h_sum,0.05699033371992684,0.02361984290216383,0.01759724466099602,0.01843251651048428
z_temperature_0h,-0.051244693079677744,0.05667141140442732,0.3679769920230606,0.024739660024141658
z_pressure_msl_0h,-0.1061938040231434,0.04033228497874516,0.009767048488078326,0.023620192870099487
z_gust_sq,0.10741937461451014,0.049020093796625475,0.03068092243035915,0.02070666786625952
z_gust_pressure,0.06332434343901773,0.033339065221063356,0.06030899945811355,0.02516393812883834
urban_binary,0.0005923611316957509,0.04875872899131786,0.9903303811354495,0.053844881876024146
log_population,-0.13283609798193052,0.06124019189342181,0.032375504963753396,0.06218977581307735
income_deprivation_rate,-4.026164778949498,1.170949611667316,0.0008457460834734167,1.1923829002715638
deprivation_gap_pct,1.3309830009082357,0.5020599338680315,0.009291615754563099,0.5576880573430403
morans_i,0.08405633938434864,0.23505551871014285,0.7213728545243818,0.2587802955356448
incident_year[2022],0.27462964749565705,0.0528598708100657,1.0364733537845958e-06,0.033240485583532424
incident_year[2023],0.073633547475081,0.04894332707559488,0.1355218622927317,0.04068701590544316
incident_year[2024],-0.21111607002651903,0.14650563590905155,0.15261508093643433,0.08763870412866483
incident_month[2],0.7493456144347704,0.16353405515040956,1.2949477375098607e-05,0.0725660143317585
incident_month[3],-0.3613083301393621,0.13163121940151246,0.007144014386450765,0.07954146963465152
incident_month[4],-0.3508452891511795,0.1325124496622247,0.009379532187763424,0.08849968410647717
incident_month[5],-0.32054760920228587,0.1413108915371138,0.025391949980035137,0.09335191671006168
incident_month[6],0.011475628183165068,0.15701971200253306,0.9418810130090934,0.09134893819486122
incident_month[7],0.033730433910367376,0.1537149544844427,0.8267455189960986,0.0934472215978213
incident_month[8],-0.025184458645993012,0.15983947095016757,0.875111243974441,0.09105147387236588
incident_month[9],-0.13041277314811484,0.15837379145516475,0.4121551418208037,0.10159602066086504
incident_month[10],-0.22250236297689616,0.15319084816135173,0.14941552949047965,0.10223805056769468
incident_month[11],-0.31133993866233495,0.14279686293294558,0.0315119921021505,0.09421880072596575
incident_month[12],-0.30083269532091456,0.14147411715502717,0.035857845016769134,0.08712602756970451
z_customers_v2_log1p,-0.283188090961408,0.030323384119344075,2.1825613908950588e-15,0.018892897327258767
z_cust_sq,0.09430991956006499,0.026654317999819134,0.000605721696060854,0.024560234002598488
