k1,k2
17.0,34.0
16.0,33.0
17.0,30.0
17.0,33.0
16.0,33.0
18.0,31.0
17.0,34.0
20.0,26.0
19.0,33.0
18.0,34.0
17.0,34.0
16.0,33.0
19.0,33.0
17.0,33.0
17.0,34.0
17.0,34.0
16.0,33.0
17.0,30.0
17.0,33.0
16.0,31.0
18.0,33.0
17.0,32.0
16.0,33.0
17.0,34.0
19.0,33.0
17.0,34.0
19.0,30.0
17.0,32.0
20.0,31.0
16.0,33.0
18.0,34.0
19.0,34.0
16.0,34.0
16.0,34.0
18.0,31.0
18.0,34.0
18.0,33.0
17.0,32.0
16.0,33.0
18.0,33.0
17.0,32.0
17.0,33.0
19.0,32.0
17.0,34.0
16.0,34.0
17.0,32.0
17.0,34.0
16.0,33.0
16.0,34.0
17.0,32.0
17.0,34.0
17.0,33.0
17.0,32.0
17.0,33.0
17.0,32.0
18.0,30.0
16.0,32.0
18.0,33.0
17.0,34.0
17.0,34.0
19.0,33.0
18.0,33.0
17.0,34.0
18.0,32.0
17.0,33.0
19.0,34.0
17.0,34.0
17.0,34.0
16.0,32.0
17.0,33.0
18.0,34.0
17.0,34.0
16.0,34.0
17.0,34.0
17.0,34.0
18.0,34.0
17.0,33.0
16.0,32.0
20.0,28.0
18.0,34.0
17.0,34.0
18.0,34.0
17.0,32.0
18.0,32.0
18.0,31.0
17.0,34.0
16.0,34.0
16.0,32.0
17.0,34.0
17.0,32.0
17.0,34.0
17.0,33.0
18.0,32.0
18.0,33.0
17.0,34.0
19.0,34.0
17.0,34.0
16.0,34.0
18.0,32.0
17.0,32.0
16.0,34.0
18.0,34.0
17.0,30.0
19.0,32.0
16.0,34.0
18.0,34.0
17.0,33.0
17.0,34.0
16.0,34.0
16.0,34.0
16.0,34.0
17.0,34.0
17.0,34.0
18.0,34.0
18.0,34.0
17.0,34.0
17.0,32.0
19.0,26.0
17.0,32.0
18.0,33.0
18.0,29.0
18.0,34.0
16.0,34.0
16.0,34.0
16.0,33.0
16.0,32.0
17.0,32.0
17.0,32.0
17.0,34.0
17.0,34.0
17.0,33.0
18.0,30.0
20.0,32.0
16.0,34.0
17.0,31.0
17.0,33.0
17.0,31.0
16.0,32.0
17.0,33.0
16.0,34.0
18.0,34.0
16.0,33.0
17.0,33.0
17.0,31.0
16.0,34.0
16.0,34.0
18.0,32.0
16.0,33.0
18.0,34.0
16.0,33.0
17.0,34.0
20.0,32.0
17.0,33.0
17.0,34.0
18.0,31.0
17.0,34.0
18.0,32.0
19.0,31.0
20.0,33.0
17.0,32.0
16.0,34.0
16.0,33.0
16.0,34.0
19.0,26.0
18.0,34.0
16.0,33.0
18.0,34.0
17.0,31.0
17.0,34.0
19.0,32.0
17.0,33.0
20.0,30.0
19.0,34.0
16.0,32.0
17.0,33.0
18.0,33.0
19.0,29.0
19.0,31.0
17.0,33.0
17.0,34.0
17.0,34.0
16.0,32.0
18.0,34.0
17.0,32.0
18.0,33.0
17.0,33.0
16.0,34.0
16.0,30.0
19.0,33.0
19.0,34.0
16.0,32.0
17.0,34.0
17.0,32.0
19.0,32.0
18.0,34.0
18.0,33.0
17.0,34.0
17.0,33.0
18.0,33.0
18.0,31.0
17.0,34.0
17.0,34.0
17.0,33.0
20.0,29.0
18.0,34.0
20.0,33.0
19.0,33.0
17.0,32.0
17.0,34.0
18.0,34.0
19.0,32.0
16.0,33.0
17.0,31.0
16.0,32.0
16.0,32.0
17.0,34.0
17.0,34.0
19.0,30.0
18.0,32.0
18.0,32.0
17.0,34.0
19.0,33.0
17.0,32.0
17.0,34.0
17.0,31.0
18.0,29.0
16.0,34.0
16.0,34.0
17.0,34.0
19.0,34.0
17.0,32.0
17.0,33.0
17.0,32.0
19.0,34.0
18.0,33.0
17.0,34.0
18.0,32.0
16.0,34.0
18.0,32.0
17.0,32.0
18.0,34.0
17.0,34.0
18.0,34.0
18.0,31.0
18.0,34.0
17.0,34.0
17.0,33.0
17.0,34.0
18.0,34.0
17.0,32.0
17.0,34.0
17.0,32.0
16.0,32.0
16.0,34.0
19.0,34.0
19.0,32.0
18.0,34.0
17.0,34.0
17.0,34.0
17.0,33.0
18.0,33.0
17.0,33.0
18.0,31.0
20.0,33.0
17.0,34.0
16.0,34.0
16.0,29.0
17.0,34.0
17.0,34.0
17.0,34.0
18.0,32.0
16.0,33.0
16.0,33.0
16.0,33.0
18.0,33.0
17.0,34.0
18.0,32.0
19.0,34.0
17.0,31.0
17.0,32.0
16.0,33.0
16.0,34.0
16.0,33.0
17.0,31.0
17.0,34.0
17.0,34.0
17.0,34.0
16.0,31.0
18.0,31.0
18.0,33.0
18.0,33.0
17.0,30.0
17.0,34.0
16.0,34.0
17.0,33.0
17.0,32.0
19.0,32.0
17.0,34.0
17.0,32.0
17.0,33.0
